qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,moistureCorrectedKernelMassPerEar,moistureCorrectedHundredKernelMass,earHeight.sp,flagLeafHeight.sp,combineMoisture.sp,combineTestWeight.sp,earFillLength.sp,earWidth.sp,shelledCobWidth.sp,shelledCobMass.sp,earLength.sp,kernelsPerEar.sp,percentStarch.sp,percentProtein.sp,percentOil.sp,percentFiber.sp,percentAsh.sp,yieldPerAcre.sp,GDDToAnthesis.sp,GDDToSilk.sp,kernelsPerRow.sp,kernelRowNumber.sp,moistureCorrectedKernelMassPerEar.sp,moistureCorrectedHundredKernelMass.sp,anthesisSilkingIntervalGDD.sp,daysToAnthesis.sp,daysToSilk.sp,anthesisSilkingInterval.sp
22-A-1583811,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,17,4,1583811,PHW52 X PHM49,2022-05-22,,,NA,NA,NA,NA,NA,NA,86,200,31500,16.16,131.93,22.4,NA,16.737,NA,4.551,2.274,NA,14.5,483,33.416,161.4,18.6,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,170.816162025443,35.3655072505713,90.6379892863235,199.620803219984,22.4,NA,NA,4.56402482879167,2.38714246870289,19.2832817168787,16.7151511384916,501.758098198996,NA,NA,NA,NA,NA,130.892810622528,NA,NA,NA,14.9790660732536,161.808711227983,32.9689899372602,NA,NA,NA,NA
22-A-1583813,Ames,Ames B1,0,Medium,150,LC_4232,17.5,65,1,19,4,1583813,B14A X MO17,2022-05-22,,,NA,NA,NA,NA,NA,NA,103,205,32500,14.25,120.53,19.6,NA,17.068,NA,4.36,2.492,NA,13.5,486,25.871,125.7,20.467,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,133.033404997511,27.3803279291217,97.9757783267357,200.625972095966,19.6,NA,NA,4.42901996510335,2.4944759783398,19.7546955298126,16.4766839090874,483.180484997882,NA,NA,NA,NA,NA,117.501392453063,NA,NA,NA,14.3853047656282,135.433353142027,28.4543498681112,NA,NA,NA,NA
22-A-1583814,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,20,4,1583814,PHB47 X PHK56,2022-05-22,,,NA,NA,NA,NA,NA,NA,87,199,34500,15.43,138.47,14.7,NA,14.911,NA,4.468,2.451,NA,15,504,28.366,143,18.3,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,151.342696218329,30.020887558945,88.7334838235519,196.926357699182,14.7,NA,NA,4.4579061842359,2.47155663283773,18.4073925768915,15.1962004365163,484.571407172777,NA,NA,NA,NA,NA,122.508697300124,NA,NA,NA,15.0886902724523,140.84651384489,29.5135068374905,NA,NA,NA,NA
22-A-1583816,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,22,4,1583816,LH195 X PHZ51,2022-05-22,,,NA,NA,NA,NA,NA,NA,115,227,35500,11.55,104.99,13.6,NA,16.773,NA,4.424,2.632,NA,14,481,29.924,144,26.967,NA,NA,NA,NA,NA,NA,,1.41,2022-10-16,counting;Check;Tattoo sensor,152.401036751325,31.6697821093517,101.278262627708,209.482565196088,13.6,NA,NA,4.38643738732835,2.57691050638671,22.1819826250548,15.7232337694973,455.237657753249,NA,NA,NA,NA,NA,97.5479756060588,NA,NA,NA,14.4963036110379,133.891307908775,29.8155345221195,NA,NA,NA,NA
22-A-1583817,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,17,5,1583817,PHB47 X 3IIH6,2022-05-22,,,NA,NA,NA,NA,NA,NA,90,215,31000,8.7,86.68,5.3,NA,17.463,NA,4.221,2.482,NA,15,478,24.524,117.1,16.3,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor,123.931676413751,25.954743231177,93.4983521426126,209.678424272925,5.3,NA,NA,4.39803809349353,2.49338739973367,18.1567860634935,17.0704878956241,498.718814457776,NA,NA,NA,NA,NA,106.745220617939,NA,NA,NA,15.2216942382786,138.346950481143,28.1078835187274,NA,NA,NA,NA
22-A-1583818,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,18,5,1583818,PHB47 X LH185,2022-05-22,,,NA,NA,NA,NA,NA,NA,93,206,34500,12.42,118.12,9.6,NA,15.58,NA,4.37,2.444,NA,13.8,427,29.139,124.5,14.7,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor;Tattoo sensor,131.763396357916,30.8389847909504,94.735995930224,204.095904959542,9.6,NA,NA,4.4534816056736,2.47348334037921,17.1267275480031,15.9380091470146,462.312335772889,NA,NA,NA,NA,NA,119.436828957202,NA,NA,NA,14.5784264537759,138.644630600195,30.2984513195419,NA,NA,NA,NA
22-A-1583819,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,19,5,1583819,2369 X PHN82,2022-05-22,,,NA,NA,NA,NA,NA,NA,88,193,33000,13.5,123.28,13.2,NA,15.378,NA,4.672,2.802,NA,17,532,27.424,145.9,21.433,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor,154.411883764016,29.0239307768634,91.6417089323235,196.500876450595,13.2,NA,NA,4.58315649080444,2.6541018405997,20.2581542762842,15.6460304170435,506.233970385722,NA,NA,NA,NA,NA,118.946598324281,NA,NA,NA,16.1353675431147,146.351688307562,29.139249011915,NA,NA,NA,NA
22-A-1583820,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,20,5,1583820,LH195 X LH123HT,2022-05-22,,,NA,NA,NA,NA,NA,NA,111,232,33000,12.71,108.71,18.7,NA,18.057,NA,4.665,2.602,NA,14,549,32.981,181,29.1,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,191.559636472151,34.9051291187183,101.679212687618,214.865617614295,18.7,NA,NA,4.55532489664664,2.55114770171172,23.8187273258936,16.7945516537089,507.587882758551,NA,NA,NA,NA,NA,108.51251091545,NA,NA,NA,14.592303851075,161.308701095046,31.8280057471922,NA,NA,NA,NA
22-A-1583821,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,21,5,1583821,F42 X MO17,2022-05-22,,,NA,NA,NA,NA,NA,NA,104,209,33000,11.23,101.6,14,NA,15.09,NA,4.272,2.369,NA,14,428,26.885,115,18,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,121.709161294461,28.4534852295789,96.4604529242092,202.151400645328,14,NA,NA,4.33502650572945,2.43490686398161,17.9734167762635,15.1200728310128,439.287563278842,NA,NA,NA,NA,NA,101.712875354429,NA,NA,NA,14.5496105387242,122.766225159589,28.3501700149169,NA,NA,NA,NA
22-A-1583822,Ames,Ames B1,0,Medium,150,LC_4232,17.5,73,1,22,5,1583822,WF9 X H95,2022-05-22,,,NA,NA,NA,NA,NA,NA,86,208,36500,5.21,51.91,5.3,NA,13.999,NA,4.718,2.439,NA,17.5,496,24.769,122.9,17.067,NA,NA,NA,NA,NA,NA,,0,2022-10-16,counting;Check;Tattoo sensor,130.070051505124,26.2140366617609,86.9524392535359,200.407925698996,5.3,NA,NA,4.53483482635225,2.47914970769309,17.2188210758112,14.3835940251056,464.592514678177,NA,NA,NA,NA,NA,73.5482876401804,NA,NA,NA,16.257386600692,123.32927306405,26.9783070619648,NA,NA,NA,NA
22-A-1583823,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,17,6,1583823,LH82 X PHJ89,2022-05-22,,,NA,NA,NA,NA,NA,NA,100,178,27500,13.54,125.35,12,NA,15.303,NA,4.409,2.273,NA,16,536,22.217,119,13.267,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor,125.942523426442,23.5131516215568,99.3410690704631,193.607123639561,12,NA,NA,4.4910514143986,2.39194758656774,16.6656966017971,15.9826787739125,527.180751507802,NA,NA,NA,NA,NA,124.993682988559,NA,NA,NA,15.7145250222578,139.33286634367,26.7490838715458,NA,NA,NA,NA
22-A-1583824,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,18,6,1583824,LH74 X PHM49,2022-05-22,,,NA,NA,NA,NA,NA,NA,95,198,31000,13.97,125.07,14.9,NA,15.853,NA,4.476,2.335,NA,14.5,453,29.604,134.2,17.7,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor,142.029299527971,31.3311131387932,96.7301107440155,202.187470476666,14.9,NA,NA,4.50477546430765,2.42312939392343,18.6500667445558,16.0777715288608,475.053095251073,NA,NA,NA,NA,NA,122.408623428383,NA,NA,NA,14.9249876912106,143.882358535174,30.4136241316493,NA,NA,NA,NA
22-A-1583825,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,19,6,1583825,PHK56 X LH198,2022-05-22,,,NA,NA,NA,NA,NA,NA,104,210,27500,13.31,121.12,13.5,NA,16.173,NA,5.013,2.503,NA,17.5,651,28.999,188.7,29.067,NA,NA,NA,NA,NA,NA,,1.82,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor,199.708858576215,30.690817116331,100.718648315537,206.725001924354,13.5,NA,NA,4.75179301324983,2.50874632935941,24.0930896162207,16.0578642375335,565.785318725199,NA,NA,NA,NA,NA,117.968188202806,NA,NA,NA,16.3855257102218,169.229271851207,29.8488666413224,NA,NA,NA,NA
22-A-1583826,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,20,6,1583826,PHP02 X LH82,2022-05-22,,,NA,NA,NA,NA,NA,NA,101,187,35500,11.6,113.74,6.8,NA,15.15,NA,4.129,2.513,NA,16,436,22.433,97.7,12.333,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check,103.399870073642,23.7417531766838,97.561543221112,193.665973189585,6.8,NA,NA,4.28624363128497,2.51059270962848,15.4455304110709,15.3664568176142,451.601995983248,NA,NA,NA,NA,NA,111.775296656283,NA,NA,NA,15.5959791979086,117.582535155374,26.1294897997456,NA,NA,NA,NA
22-A-1583827,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,21,6,1583827,HOEGEMEYER 8065RR,2022-05-22,,,NA,NA,NA,NA,NA,NA,58,NA,30500,18.04,159.04,16.2,NA,15.47,NA,4.848,2.45,NA,15,448,31.193,139.7,14.833,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check,147.850172459445,33.0128162457227,73.9242377457036,NA,16.2,NA,NA,4.62315302671601,2.47730299520811,16.3911820570902,15.3465492595272,450.444957856291,NA,NA,NA,NA,NA,131.867676860436,NA,NA,NA,15.0568841025423,136.315308903243,30.5199455617993,NA,NA,NA,NA
22-A-1583828,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,22,6,1583828,PHK76 X LH82,2022-05-22,,,NA,NA,NA,NA,NA,NA,89,174,34500,12.44,121.32,7.3,NA,15.025,NA,4.109,2.357,NA,14.5,454,23.31,105.9,15.8,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check,112.078262444203,24.6699178241207,88.6598776211843,183.778157029689,7.3,NA,NA,4.23173226935292,2.4372046106142,16.5755061397903,14.9441417233074,445.446050706834,NA,NA,NA,NA,NA,110.401654295651,NA,NA,NA,14.7683225932677,114.936836383667,26.1032538264343,NA,NA,NA,NA
22-A-1583829,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,17,7,1583829,LH82 X PHB47,2022-05-22,,,NA,NA,NA,NA,NA,NA,86,178,31500,13.52,127.16,10.6,NA,16.102,NA,4.274,2.426,NA,15.5,563,22.694,127.8,17.033,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor;Tattoo sensor,135.255920116801,24.0179800557956,93.1346676899589,195.835589017518,10.6,NA,NA,4.42256480565876,2.47230661909821,18.5760872361002,16.3741758163539,540.144177027166,NA,NA,NA,NA,NA,125.389286433327,NA,NA,NA,15.457591907381,143.970071398972,26.8881629678826,NA,NA,NA,NA
22-A-1583831,Ames,Ames B1,0,Medium,150,LC_4232,17.5,64,1,19,7,1583831,B84 X 3IIH6,2022-05-22,,,NA,NA,NA,NA,NA,NA,120,204,32000,10.69,104.59,7,NA,15.587,NA,4.571,2.633,NA,17.5,496,23.289,115.4,20.933,NA,NA,NA,NA,NA,NA,,6.25,2022-10-16,Check;Tattoo sensor,122.132497507659,24.6476926729278,109.676039667231,205.232216747388,7,NA,NA,4.52892954010701,2.57739947106524,20.0412170009953,15.779207735492,488.334788934025,NA,NA,NA,NA,NA,109.915389247989,NA,NA,NA,16.385789813673,130.670190512301,26.7219126220584,NA,NA,NA,NA
22-A-1583832,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,20,7,1583832,LH123HT X PHB47,2022-05-22,,,NA,NA,NA,NA,NA,NA,111,233,33000,11.03,106.87,7.9,NA,16.79,NA,4.436,2.481,NA,13,449,26.981,121.2,22.733,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check,128.270872599032,28.5550859207465,103.35810790026,217.790273294607,7.9,NA,NA,4.43866239472286,2.49829874075378,20.6551269514531,16.2119734848671,458.613596270839,NA,NA,NA,NA,NA,108.980641038443,NA,NA,NA,14.0997421834005,130.371756523995,28.4347518866261,NA,NA,NA,NA
22-A-1583833,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,21,7,1583833,PHK56 X 3IIH6,2022-05-22,,,NA,NA,NA,NA,NA,NA,54,167,28500,11.57,112.84,7.3,NA,12.486,NA,4.325,2.418,NA,15.5,364,27.445,99.9,16.4,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check,105.728219246232,29.0461559280563,72.4186276580857,182.718844523511,7.3,NA,NA,4.36177954740419,2.46357661998649,17.178927514878,13.8912391009339,409.602361567879,NA,NA,NA,NA,NA,109.887414118034,NA,NA,NA,15.3141574516153,115.732915271717,28.4392306135741,NA,NA,NA,NA
22-A-1583834,Ames,Ames B1,0,Medium,150,LC_4232,17.5,59,1,22,7,1583834,LH82 X W606S,2022-05-22,,,NA,NA,NA,NA,NA,NA,74,179,29500,13.41,119.92,15,NA,16.578,NA,4.179,2.692,NA,17,519,22.551,117,18.667,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check,123.825842360451,23.8666373595773,81.4225171634942,186.646968190893,15,NA,NA,4.26812972284857,2.60416427037082,18.0043629749527,15.7685047935143,479.798586610587,NA,NA,NA,NA,NA,111.346238632362,NA,NA,NA,16.0290782199479,121.414086252566,25.6082807531629,NA,NA,NA,NA
22-A-1583835,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,17,8,1583835,B73 X PHZ51,2022-05-22,,,NA,NA,NA,NA,NA,NA,120,246,30500,13.62,120.22,16.1,NA,17.204,NA,4.366,2.718,NA,15.5,561,25.791,144.6,25.033,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,153.036041071122,27.2956606864821,110.840162982224,231.754602140985,16.1,NA,NA,4.4675782751552,2.62273209874498,22.6047714758324,16.9169052415532,538.609226359491,NA,NA,NA,NA,NA,122.063154045246,NA,NA,NA,15.450916125792,152.840655482766,28.4430035355441,NA,NA,NA,NA
22-A-1583836,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,18,8,1583836,PHZ51 X LH145,2022-05-22,,,NA,NA,NA,NA,NA,NA,90,225,31500,11.31,112.32,5.6,NA,16.618,NA,4.21,2.672,NA,16,451,23.92,107.8,23.667,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,114.089109456895,25.3155055492478,95.9490827995401,219.132264379653,5.6,NA,NA,4.36836312987143,2.60017706340687,21.6771748806859,16.4664888727425,473.535837532916,NA,NA,NA,NA,NA,116.147008725257,NA,NA,NA,15.6686874066505,130.121844393912,27.2131604452392,NA,NA,NA,NA
22-A-1583837,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,19,8,1583837,PHG39 X PHM49,2022-05-22,,,NA,NA,NA,NA,NA,NA,104,216,33000,11.44,102.3,15,NA,15.551,NA,4.403,2.375,NA,14,471,28.96,136.4,18.733,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,144.35764870056,30.6495418355442,102.488854919036,212.468024088536,15,NA,NA,4.44306608415869,2.45164063866053,18.9538313637064,15.7755724043739,475.883455061718,NA,NA,NA,NA,NA,109.196597720274,NA,NA,NA,14.6361885151776,142.011872743643,29.6402909299035,NA,NA,NA,NA
22-A-1583838,Ames,Ames B1,0,Medium,150,LC_4232,17.5,53,1,20,8,1583838,2369 X PHP02,2022-05-22,,,NA,NA,NA,NA,NA,NA,105,221,26500,13.34,126.31,10,NA,16.236,NA,4.318,2.614,NA,15,478,23.112,110.4,14.3,NA,NA,NA,NA,NA,NA,,1.89,2022-10-16,Check,116.840794842682,24.4603663985876,101.058756544352,212.721084619968,10,NA,NA,4.37858119349146,2.56822117832855,16.4481633018063,15.960655778106,473.622609678041,NA,NA,NA,NA,NA,119.319152319227,NA,NA,NA,15.1036202025118,125.010443947977,26.3056414582189,NA,NA,NA,NA
22-A-1583839,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,21,8,1583839,LH198 X PHB47,2022-05-22,,,NA,NA,NA,NA,NA,NA,84,183,30500,7.01,69.84,5.3,NA,11.503,NA,3.75,2.361,NA,12,259,22.358,57.8,12.8,NA,NA,NA,NA,NA,NA,,6.56,2022-10-16,Check,61.172082807129,23.6623776367092,87.9519701148597,191.383119033714,5.3,NA,NA,4.07440607032639,2.43770827226307,15.3870902034389,13.4367390335354,358.259207358838,NA,NA,NA,NA,NA,89.2344941226709,NA,NA,NA,13.5714419899772,93.9334363391748,25.6664591172815,NA,NA,NA,NA
22-A-1583840,Ames,Ames B1,0,Medium,150,LC_4232,17.5,42,1,22,8,1583840,PHP02 X PHN46,2022-05-22,,,NA,NA,NA,NA,NA,NA,85,179,21000,12.78,115.36,14.2,NA,11.704,NA,4.344,2.501,NA,15,319,22.759,72.6,6.733,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Severe bend in ear. String used to measure cob length;Check,76.8355226954596,24.0867721904403,87.2559773778871,187.06874666377,14.2,NA,NA,4.35202719375808,2.50850304987659,12.0396782452947,13.3798223649248,381.650886684963,NA,NA,NA,NA,NA,110.181320949916,NA,NA,NA,15.0396376210275,98.5223908717217,25.6384008317818,NA,NA,NA,NA
22-A-1583841,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,17,9,1583841,LH198 X PHZ51,2022-05-22,,,NA,NA,NA,NA,NA,NA,109,248,34500,14.34,126.88,15.9,NA,NA,NA,4.417,NA,NA,13.5,435,29.364,127.8,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,135.255920116801,31.0771114108743,105.919790783212,234.233870828951,15.9,NA,NA,4.49209182315563,NA,NA,NA,475.07620094707,NA,NA,NA,NA,NA,126.226548677184,NA,NA,NA,14.4445214906418,143.931136724668,30.2800478255739,NA,NA,NA,NA
