qr,loc,plot,field,nLvl,irrigation,rep,row,range,genotype,population,anthesisDate,silkDate,notes,leafDimHtDate,earHt,flagLeafHt,tasselTipHt,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,earFillLen,earWidth,shelledCobLen,shelledCobWidth,shelledCobWt,kernelsPerEar,kernelMass,kernelColor,kernelStriping,kernelsPerRow,kernelRows,hundredKernelWt,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,pctMoistureNIR,latitude,longitude,yieldPerAc,plantDensity,pctRootLodge,pctStalkLodge,plantDate,totalStandCt,plotLen,daysToAnthesis,daysToSilk,moistureCorrectedKernelMass,moistureCorrectedHundredKernelWt,earLen,earWt,lbsNPerAc,ASI,GDDToAnthesis,GDDToSilk,ASI.GDD,exp,earHt.sp,flagLeafHt.sp,tasselTipHt.sp,combineMoisture.sp,combineTestWt.sp,earLen.sp,earFillLen.sp,earWidth.sp,shelledCobWidth.sp,shelledCobWt.sp,shelledCobLen.sp,kernelsPerEar.sp,moistureCorrectedStarch.sp,moistureCorrectedProtein.sp,moistureCorrectedOil.sp,moistureCorrectedFiber.sp,moistureCorrectedAsh.sp,yieldPerAc.sp,GDDToAnthesis.sp,GDDToSilk.sp,kernelsPerRow.sp,kernelRows.sp,moistureCorrectedKernelMass.sp,moistureCorrectedHundredKernelWt.sp,ASI.GDD.sp,daysToAnthesis.sp,daysToSilk.sp,ASI.sp
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT994$ROW2$RANGE32$PHP02 X LH198,North Platte2,994,Partial Irrigation,High,Partial,1,2,32,PHP02 X LH198,Hybrid,2022-07-22,2022-07-27,,NA,130,280,NA,2022-10-26 05:00:00,20.562868,13.991799,59.484299,NA,11.5,4,13.1,2.5,19.3,376.5,110.4,yellow,N,29.8,15.5,NA,69.26,10.18,2.98,0.82,0.93,0.03,NA,NA,186.062406411171,32000,0,0,2022-05-17 05:00:00,64,17.5,66,71,113.814432989691,31.6494845360825,NA,NA,225,5,1324.76,1443.31,118.55,NA,127.720443599209,281.532988117174,NA,13.8909799466978,59.5251627999128,NA,13.3618232438559,4.03515706340571,2.52172235170477,19.8987475584643,14.9366822348894,426.797491317682,69.8172016289118,9.49691739301971,3.30740131107832,0.807681776723449,0.917152096340677,184.735489793701,1339.71701034697,1427.02976492061,32.4540819943168,15.4203410645145,126.135800739879,30.3000220959348,91.3485988896267,66.5772447918851,70.3104747404957,3.78313623734184
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT1004$ROW12$RANGE32$B37 X MO17,North Platte2,1004,Partial Irrigation,High,Partial,2,12,32,B37 X MO17,Hybrid,2022-07-26,2022-07-28,,NA,150,300,NA,2022-10-27 05:00:00,14.099157,16.669201,57.7505,NA,15.6,3.9,16.5,2.5,24.1,502.2,146.5,yellow,N,37.2,13.5,NA,69.45,7.88,3.52,0.81,0.81,0.04,NA,NA,123.60435557461,33000,0,0,2022-05-17 05:00:00,66,17.5,70,72,152.604166666667,29.7916666666667,NA,NA,225,2,1419.11,1464.21,45.0999999999999,NA,138.400078546365,291.539907947975,NA,15.5246442294061,58.3984073791562,NA,15.5569408384115,4.04207742912922,2.5631592702379,22.9911350147073,16.775661512675,495.126011015342,69.9620771887357,8.45138023619852,3.66995843437787,0.79211907509457,0.867486600909598,154.618199644609,1379.23373868621,1433.63741557224,36.0714261070143,14.6252327306156,152.326309179266,30.2053515477611,56.1328729187019,68.2306048236133,70.651721048295,2.47772630197305
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT976$ROW16$RANGE30$PIONEER P0589 AMXT,North Platte2,976,Partial Irrigation,High,Partial,2,16,30,PIONEER P0589 AMXT,Hybrid,2022-07-20,2022-07-22,,NA,130,270,NA,2022-10-28 05:00:00,24.477791,12.506481,60.091698,NA,17.2,4.5,19,3,23.9,554.2,182.1,yellow,N,37.8,15.5,NA,69.33,8.96,3.4,1.06,1.03,0.03,NA,NA,225.311411697996,30000,0,3.33333333333333,2022-05-17 05:00:00,60,17.5,64,66,187.731958762887,32.8865979381443,NA,NA,225,2,1282.71,1324.76,42.05,NA,129.399280527457,277.207667777248,NA,13.3769565735278,59.4556347854422,NA,16.4332543289472,4.35461245252073,2.87660151106467,23.0230720961564,18.1950817043035,525.327530960745,69.8768404699942,9.02765571099009,3.61176663709073,0.899355949662803,0.987315135556349,216.480345930886,1304.03051790143,1358.90795693051,36.1377096646296,15.7013425131068,169.825640849917,32.1091881905087,57.549904917436,64.9290704897792,67.4348227473731,2.62385781978982
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT961$ROW1$RANGE30$2FACC X 3IIH6,North Platte2,961,Partial Irrigation,High,Partial,1,1,30,2FACC X 3IIH6,Hybrid,2022-07-18,2022-07-20,,NA,120,280,NA,2022-10-26 05:00:00,21.928473,12.701191,60.265499,NA,14.4,4.4,16.6,3,20.6,457.5,139.9,yellow,N,29.8,15.5,NA,69.52,7.92,3.96,0.96,1.02,0.03,NA,NA,201.396440851158,31000,0,0,2022-05-17 05:00:00,62,17.5,62,64,144.226804123711,30.7216494845361,NA,NA,225,2,1235.16,1282.71,47.55,NA,122.727447426233,281.234967658925,NA,13.1900448240584,59.9452856863548,NA,14.7884910430142,4.23062332453115,2.82703165771645,20.4336412752926,16.6673685920047,469.293567911062,69.8406200614912,8.33771688791618,3.77125481556039,0.84893385225103,0.979155460428559,190.71003862476,1293.84314540642,1348.54620883357,32.134902754003,15.4213909482457,140.57630461842,29.9643155457202,58.2852916808281,64.5333780945273,66.8920838123902,2.46813447775216
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP2$PLOT783$ROW15$RANGE17$B14A X MO17,North Platte2,783,Partial Irrigation,Medium,Partial,2,15,17,B14A X MO17,Hybrid,2022-07-27,2022-07-24,,NA,160,300,NA,2022-10-28 05:00:00,19.468128,13.978898,58.8601,NA,16.1,3.6,16.2,2.6,17.8,466.8,133.1,yellow,N,33.8,14,NA,68.06,9.9,2.71,1.3,0.99,0.03,NA,NA,176.183112069746,32000,0,9.375,2022-05-17 05:00:00,64,17.5,71,68,137.216494845361,28.5567010309278,NA,NA,150,-3,1443.31,1377.81,65.5,NA,141.354185133494,290.404520360949,NA,14.0444988193264,58.8645319117872,NA,15.8034373827917,3.8779169272756,2.61072260615787,19.4431250727115,16.4977808660107,463.729449758949,68.9748781130866,9.91005793124674,3.32461328189622,1.12989374289887,0.977354918908317,172.431957521698,1417.70952421665,1344.31295260863,33.5060763280004,14.7365287389116,143.736509889568,30.323366028012,71.222366708213,69.922104541691,66.6297332754454,-3.21346661775902
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP2$PLOT782$ROW14$RANGE17$PHB47 X PHK56,North Platte2,782,Partial Irrigation,Medium,Partial,2,14,17,PHB47 X PHK56,Hybrid,2022-07-23,2022-07-20,,NA,130,300,NA,2022-10-28 05:00:00,5.587961,15.977198,57.609798,NA,12,3.2,13.4,2.1,16,239,58.1,yellow,N,22.2,14.2,NA,67.39,12.32,3.58,1.77,1.01,0.04,NA,NA,49.3952978826557,34000,0,0,2022-05-17 05:00:00,68,17.5,67,64,60.5208333333333,25.9375,NA,NA,150,-3,1348.66,1282.71,65.95,NA,126.510593657174,290.531378140421,NA,14.9777629642584,58.3645723604107,NA,13.7378070309688,3.67432355347373,2.36198347082489,18.4767674501134,15.0951691841327,351.484738660739,68.6272823726842,11.1156417367698,3.75944681934855,1.3754020482376,0.995815163699924,109.237698503272,1365.41529410212,1292.84353223,27.7600137116051,14.8438183047858,104.746572545888,28.849261530559,71.1117131548153,67.7111932509501,64.4662093057787,-3.18798580890807
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT970$ROW10$RANGE30$PHK56 X PHJ89,North Platte2,970,Partial Irrigation,High,Partial,2,10,30,PHK56 X PHJ89,Hybrid,2022-07-24,2022-07-27,,NA,120,270,NA,2022-10-27 05:00:00,18.17894,13.964374,59.434502,NA,15.4,4.5,16.1,3,24.8,472.2,143.5,yellow,N,33.5,15.5,NA,71.28,9.36,3.87,0.49,0.82,0.04,NA,NA,164.543966177612,32500,0,0,2022-05-17 05:00:00,65,17.5,68,71,149.479166666667,30.1041666666667,NA,NA,225,3,1377.81,1443.31,65.5,NA,123.730788620753,276.818497009181,NA,14.1854250897797,59.2964973584997,NA,15.4083234056973,4.32501704828477,2.85679663605722,23.0972959328661,16.4656370656839,474.635781864648,70.7695940707057,9.15959612236886,3.79887094602737,0.618714802942423,0.884675776274045,173.930120368815,1357.01578906969,1422.44965194773,33.8034643543125,15.5893596597198,147.689471613714,30.2930139533052,68.4689103563221,67.170814583582,70.1177930078301,3.0615654492962
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT971$ROW11$RANGE30$LH82 X PHJ89,North Platte2,971,Partial Irrigation,High,Partial,2,11,30,LH82 X PHJ89,Hybrid,2022-07-19,2022-07-22,,NA,110,250,NA,2022-10-27 05:00:00,20.390539,13.345792,59.930901,NA,15.4,4.2,17.4,3,16.8,596.8,149,yellow,N,35.5,18,NA,73.31,8.21,3.72,0.2,0.86,0.04,NA,NA,185.888894812395,31500,0,0,2022-05-17 05:00:00,63,17.5,63,66,155.208333333333,26.5625,NA,NA,225,3,1260.11,1324.76,64.6499999999999,NA,118.842216480079,266.883393435568,NA,13.8867822141322,59.5117172733963,NA,15.4154432757398,4.17994964574525,2.86009899438389,19.1599259781158,17.1349351054028,538.283698786019,71.8004239351295,8.59591573440128,3.73186720336046,0.470890607929141,0.904495747255262,186.341832696871,1297.25994482713,1362.46367198216,34.817402393612,16.8580235179658,151.055736841365,28.5930070489406,68.178276094516,64.6305270053217,67.5873044108965,3.07195279863887
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT774$ROW6$RANGE17$PHB47 X LH185,North Platte2,774,Partial Irrigation,Medium,Partial,1,6,17,PHB47 X LH185,Hybrid,2022-07-27,2022-07-20,,NA,110,290,NA,2022-10-27 05:00:00,20.614355,16.2892,57.927299,NA,15.9,4.1,16.5,2.5,19.4,449.2,154.1,yellow,N,35.8,13.5,NA,68.91,9.82,3.06,1.45,0.95,0.05,NA,NA,181.545849801089,34000,0,0,2022-05-17 05:00:00,68,17.5,71,64,162.210526315789,30.3157894736842,NA,NA,150,-7,1443.31,1282.71,160.6,NA,117.052484092899,285.83808237506,NA,15.4148543518392,58.5106471720599,NA,15.5622933554382,4.09637903498861,2.58654174586889,19.6457923402027,16.6242586024874,463.222967806715,69.2865164002212,9.86120610863222,3.49811512220769,1.24636601946528,0.996453150393086,176.730085793899,1425.53234258115,1315.96048628283,34.7955687816077,14.5540272196083,150.44493373261,29.7223366436989,115.843515238241,70.2445717479141,65.4304610503788,-4.98417810524612
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP2$PLOT780$ROW12$RANGE17$PHK76 X W606S,North Platte2,780,Partial Irrigation,Medium,Partial,2,12,17,PHK76 X W606S,Hybrid,2022-07-22,2022-07-20,,NA,130,290,NA,2022-10-27 05:00:00,17.482571,13.538508,59.901501,NA,15.9,3.8,17.2,2.5,19.6,406.8,117.5,orange,N,33,13.5,NA,71.48,9.61,4.07,0.18,0.82,0.04,NA,NA,159.024159306587,30500,0,0,2022-05-17 05:00:00,61,17.5,66,64,122.395833333333,30.1041666666667,NA,NA,150,-2,1324.76,1282.71,42.05,NA,126.814571830838,285.739345148258,NA,13.7329210504807,59.6838956855889,NA,15.6565393823552,3.96725168688626,2.56602647192502,20.1440480112098,16.9899455918029,438.834859703738,70.6470909296383,9.75155097317118,4.00411389450368,0.598287063687983,0.920627034319386,164.445420945732,1349.03729614041,1290.91376554405,33.2903897548477,14.5085296071615,134.400653479096,30.6035969576098,58.4971659542721,67.0221616254582,64.3803149298507,-2.63702705311832
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT771$ROW3$RANGE17$B105 X 3IIH6,North Platte2,771,Partial Irrigation,Medium,Partial,1,3,17,B105 X 3IIH6,Hybrid,2022-07-26,2022-07-22,,NA,110,290,NA,2022-10-26 05:00:00,15.863371,12.307783,60.540901,NA,17.6,4.1,20,2.6,20.7,624.8,163.7,yellow,N,38.8,16.5,NA,68.21,8.87,4.07,1.21,1.14,0.04,NA,NA,146.349624769853,30500,0,4.91803278688525,2022-05-17 05:00:00,61,17.5,70,66,170.520833333333,26.5625,NA,NA,150,-4,1419.11,1324.76,94.3500000000001,NA,116.426187799467,285.399411721566,NA,12.9948976274912,60.134279215552,NA,16.3648216191106,4.08615923872772,2.65470035741621,20.0966181899121,18.3664030857568,547.530578528702,68.8987288468885,9.41396396673238,4.0026157382315,1.10893763595961,1.07224492000389,159.562625159425,1396.37271368485,1314.89764674119,35.9073660509817,16.0786444611957,152.654342233667,27.352059738321,81.769089000447,69.0192360847456,65.5128405997962,-3.4077608214451
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT776$ROW8$RANGE17$LH195 X LH185,North Platte2,776,Partial Irrigation,Medium,Partial,1,8,17,LH195 X LH185,Hybrid,2022-07-27,2022-07-24,,NA,120,280,NA,2022-10-27 05:00:00,20.490644,15.768801,58.292603,NA,16.8,4,17.5,2.5,20.1,486,159.9,yellow,N,36.8,14,NA,69.24,9.63,2.63,1.21,0.89,0.04,NA,NA,181.57818592015,32000,0,0,2022-05-17 05:00:00,64,17.5,71,68,166.5625,34.0625,NA,NA,150,-3,1443.31,1377.81,65.5,NA,122.170557694953,280.923142330859,NA,15.2273247409138,58.6315152658213,NA,16.0438206690215,4.0533152990522,2.5782109552587,20.1285631760839,17.1294915970717,482.225432448088,69.4767079834474,9.75636205468424,3.2834480455845,1.13003137563553,0.976094354459354,176.436360132551,1424.81733114111,1363.84011058218,35.3684147062565,14.7884314967457,153.912843027544,31.9247517231597,68.9281746263458,70.2163252715835,67.4269202792951,-3.03512422959565
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT773$ROW5$RANGE17$LH123HT X 3IIH6,North Platte2,773,Partial Irrigation,Medium,Partial,1,5,17,LH123HT X 3IIH6,Hybrid,2022-07-27,2022-07-23,,NA,150,320,NA,2022-10-27 05:00:00,14.745985,12.307041,60.711502,NA,17.9,3.9,18.1,2.5,22.7,527.8,138.1,yellow,N,36,16,NA,67.69,10.1,3.22,1.18,1.04,0.04,NA,NA,136.042183715335,32500,0,3.07692307692308,2022-05-17 05:00:00,65,17.5,71,67,143.854166666667,27.5,NA,NA,150,-4,1443.31,1348.66,94.6499999999999,NA,136.899008789991,300.729452522264,NA,13.2756528842258,60.0316951912255,NA,16.5464880580633,3.9929442019224,2.59187451024218,21.2294020971483,17.4216407115624,501.681840421483,68.6639205674245,10.0091120551162,3.577948660816,1.10688342149408,1.03552992520481,154.12421507847,1421.80237741477,1343.76040389086,34.8023606341271,15.8120983353596,140.619009400073,28.1498990186202,82.5520019553957,70.0861469443488,66.7198055003284,-3.45870553795627
