"genotype","accession","additional accession names","release year","received/donation year","origin","description","narrative","developer(s)","IPR"
"B84","PI 608767","Ames 18886/NSSL 386103","1978",NA,"Iowa, United States","B84 is a selection from Iowa BSSS(HT)C7 [renamed BS13(S2)C0] that was tested as BS13(S2)CO-45-6-2-1-1.","B84 is a yellow dent maize inbred line selected from BSSS(HT)C7, which is an improved Iowa Stiff Stalk synthetic developed by seven cycles of recurrent selection for yield and other traits. Selection was based on half-sib progeny performances with Ia13 double-cross as the tester parent. The designation was changed to BS13(S2)CO because S2 progeny became the basis for evaluation in the next cycle of selection. B84 evolved from one of the 10 S2 lines selected for recombination to give BS13(S2)C1 [BS13(S2)C1 (PI 608782) is registered in Crop Sci. 19:755]. The line has been developed by selection and self-pollination in the ear-to-row system for six generations. The plant has an erect-leaf orientation and will produce a high frequency of harvestable second ears when the plant density is less than 40,000 plants/ha. Pollen production is good, and silks emerge 1 to 2 days after the first shedding of pollen. The date of silk emergence is 1 to 2 days later than that of B73. Most ears have 14 to 16 kernel rows; the seed is yellow with a rounded crown and shallow dent and intermediate in size. Seed yield is good, being slightly higher than that of B73. Inbred B84 has intermediate resistance to leaf feeding by the European corn borer (Ostrinia nubilalis Hubner). Data from single-cross evaluations for 4 years in south-central and southern Iowa show that B84 yields better than B73 in single-cross hybrids, has similar root and stalk strength, but drops fewer ears. Although B84 was developed from the same recurrent selection program as was B73, but two cycles later, the yield performance of the single cross between the two lines indicates that they should not be considered sister lines. Maturity classification is AES800.","Russell, W. A., Iowa State University",NA
"C.I. 540","PI 151090","CI 540/91:2747/NSSL 546866","1948",NA,"Maryland, United States","Ill. Two-ear (from H.A. Wallace, Pioneer TEA54)",NA,"USDA, ARS",NA
"CI 3A","PI 693347","CI3A/Ames 26116/NSSL 426736/3104-2","1945",NA,"Maryland, United States","(CI3 X related inbred) CI3 ^2","Inbred CI.3A is a yellow inbred that traces its ultimate heritage to Boone County White and an Illinois 2-ear strain obtained by the USDA from H. A. Wallace in 1926. CI.3A differs from CI.3 by having a more intense yellow kernel color. CI.3A is somewhat more susceptible to root and stalk lodging than CI.3. It was released in 1945 to replace CI.3 in hybrids US 99, US 262, US 265, US 282, and US 357.","Jenkins, Merle T., USDA",NA
"F42","PI 601026","F42'/NSSL 182031","1983",NA,"Indiana, United States","Mutation induction of B73 with nitrosoquanidine.",NA,"Alvey, D.D., FFR Cooperative","PVP 8300157"
"H95","PI 693333","H95/Ames 19319/NSSL 426713","1968",NA,"Indiana, United States","OH43 x CI90A",NA,NA,NA
"I159","Ames 24589","90:8966",NA,1998,"Iowa, United States","Iodent",NA,"Iowa Agric. and Home Econ. Exp. Station",NA
"K201","NSL 22632","K201/NSL 22632",NA,1963,"Kansas, United States","See Hansey et.al. 2011","Inbred Lines of Corn Released to Private Growers from State and Federal Agencies. 3rd revision, April 1960, p.4",NA,NA
"K64","PI 154387","K64/K 64/NSSL 426799","PRE 1956",NA,"Kansas, United States","Pride of Saline",NA,NA,NA
"KYS","NSL 22633","Kys'/Kansas Yellow Saline","PRE 1963",NA,"Kansas, United States",NA,"Inbred Lines of Corn Released to Private Growers from State and Federal Agencies. 3rd revision, April 1960, p.4",NA,NA
"L 289","NSL 65872","V944-7/V944-2/V944-8","1934",NA,"Iowa, United States","L 289-4-3-5-2-4-1-1-3-3. Lancaster Surecrop. Bryan, A. A. & R. W. Jugenheimer. 1937. Hybrid corn in Iowa. Bull. Iowa Agric. Exp. Sta. 366.","""Developed from Lancaster Surecrop, a strain of corn developed by Isaac Hershey of Lancaster County, Pennsylvania. Plants make rapid, vigorous development throughout the growth period. Susceptible to stalk smut and to diplodia stalk rot, plants sometimes break badly after maturity. This line usually produces a high yield of quality seed. It is preferably used as a seed parent in making single crosses because of the high production and quality of seed, its poor pollen-producing ability and its few or no suckers to detassel.""","Iowa Agric. and Home Econ. Exp. Station",NA
"LH123HT","PI 601079","LH123HT'/NSSL 187427/'LH123'","1983",NA,"Iowa, United States","Pioneer 3535 hybrid","Dent type adapted to most areas of the U.S. Maturity 76 days from emergence to 50% of plants in silk (1503 heat units). Plant 276 cm in height to tassel tip, 101 cm to base of top ear, top ear internode is 18 cm long, no tillers, single ear per stalk, and normal cytoplasm. Leaf color 5GY 4/4 (Munsell Color Charts for Plant Tissues), 30-60 degree angle from stalk, medium sheath pubescence, few marginal waves, few longitudinal creases, 11 cm at widest point of ear node leaf, 76 cm ear node leaf, with 13 leaves per mature plant. Tassel has 7 lateral branches, 30-40 degree branch angle from central spike, penduncle length from top leaf to basal branches 9 cm, medium pollen shed, anther yellow and glume green with purple stripe. Ear 15 cm long, 40 mm mid-point diameter, 123 grams, 14 distinct and straight kernel rows, green silk, husk light green when fresh and buff when dry, husk extension barely covering ear, husk leaf less than 8 cm, shank 10 cm long with 7 internodes, upright at dry husk stage, slight taper, and average drying time (unhusked ear). Kernel 12 mm long, 8 mm wide, 4 mm thick, 40-60% rounds, light brown-copper (transparent) variegated pericarp, aleurone homozygous and white, endosperm yellow, normal starch type endosperm, and 21 grams per 100 seeds. Cob 28 mm diameter at mid-point, strong, and red. Resistant to Northern Leaf Blight. Insect resistance not tested. Most closely resembles LH51 for maturity and usage, and Oh43Ht for plant type. It is a parent of LH185, LH186, LH189, LH218, LH211, LH212, LH213, LH216, and LH281 among other lines. LH123HT was designated LH123 in early developement, but after a couple of years of evaluation was found to posses the HT gene conferring northern leaf blight resistance. From that time on it was designated LH123HT. The designations LH123 and LH123HT are synonymous.","Holden's Foundation Seeds, Inc.","PVP 8400030"
"LH145","PI 600959","LH145'/EX654/NSSL 180118","1983",NA,"Iowa, United States",NA,"Dent type. Best adapted to most regions in the United States. 60 days from emergence to 50% of plants in silk (1294 heat units). Plant 207 cm tall (to tip of tassel), 82 cm ear height (to base of top ear), top ear internode 15 cm long, no tillers, slight two-ear tendency per stalk, normal cytoplasm type. Leaf color 7.5 Gy 5/6 (Munsell color charts for plant tissues), 30-60 degree angle from stalk (upper half), sheath pubescence light, few marginal waves, few longitudinal creases, 8 cm width at widest point of ear node leaf, 78 cm length of ear node leaf, 12 leaves per mature plant. Tassel has 6 lateral branches, 30-40 degree angle from central spike, penduncle 0 cm long from top leaf to basal branches, medium pollen shed, anther pink, glume green with purple stripes, pollen restoration for cytoplasms not tested. Ear 16 cm long, 32 mm midpoint diameter, 58 grams, 14 distinct and straight kernel rows, silk green, fresh husk dark green, dry husk buff, medium husk extension at harvest (barely covering ear), short (<8 cm) husk leaf, shank 8 cm long with 7 internodes, horizontal at dry husk stage, average taper, average drying time for unhusked ear. Kernel 10 mm long, 5 mm wide, 3 mm thick, shape grade 40-60% rounds, variegated pericarp colorless brown and light bronze at embryo end, aleurone homozygous and white, endosperm yellow and normal starch type, 22 grams per 100 seeds (unsized sample). Cob 20 mm in diameter at mid-point, strong, red. Resistant to northern leaf blight (race 1). Most closely resembles A635Ht for maturity, and A632Ht for plant type, ear type, kernel type, and usage.","Holden's Foundation Seeds, Inc.","PVP 8300102"
"LH162","PI 539921","LH162'/NSSL 253255","1990",NA,"Minnesota, United States","ND246 X Early Mo17 Composite",NA,"Holden's Foundation Seeds, Inc.","PVP 9000123"
"LH185","PI 576171","LH185'/NSSL 288651","1993",NA,"Iowa, United States","LH59 X LH123Ht",NA,"Holden's Foundation Seeds, Inc.","PVP 9400036"
"LH195","PI 537097","LH195'/NSSL 250975","1989",NA,"Iowa, United States","LH117 X LH132 . LH117 and LH132 are both proprietary lines of Holden's derived from public inbreds H93 and B73.",NA,"Holden's Foundation Seeds, Inc.","PVP 9000047"
"LH198","PI 557563","LH198'/NSSL 259536","1991",NA,"Iowa, United States","LH132 X (LH132 X B84)",NA,NA,"PVP 9200021"
"LH74","PI 600957","LH74'/NSSL 180116","1981",NA,"Iowa, United States","A632 X B73 . A632 is a public inbred line released by the University of Minnesota. B73 is a public inbred line released by Iowa State University.",NA,"Holden's Foundation Seeds, Inc.","PVP 8200063"
"LH82","PI 601170","LH82'/NSSL 195204","1984",NA,"Iowa, United States","610 X LH7","Dent corn best adapted to most regions of the United States. Maturity of 73 days from emergence to 50% of plants in silk (1428 heat units). Plant is 176 cm in height to tassel tip, 76 cm ear height to base of top ear, 13 cm length of top ear internode, no tillers, strong two-ear tendency per stalk, and normal cytoplasm. Leaf 5GY 4/6 (Munsell Color Charts for Plant Tissues), less than 30 degrees angle from stalk (upper half), light sheath pubescence, few marginal waves, few longitudinal creases, 11 cm at widest point of ear node leaf and 73 cm long, and 11 leaves per mature plant. Tassel has 8 lateral branches, branch angle is less than 30 degrees from central spike, penduncle length is 0 cm from top leaf to basal branches, medium pollen shed, pink anther, and glume green with brown margin. Ear 14 cm long, 40 mm mid-point diameter, 116 grams, kernel rows distinct and 22 in number, silk color green, husk color light green when fresh and buff when dry, medium husk extension (barely covering ear) at harvest stage, husk leaf short (<8 cm), shank 14 cm long, 7 internodes, upright position at dry husk stage, slight taper, and average drying time. Kernel (from ear mid-point) 11 mm long, 7 mm wide, and 3 mm thick, shape grade 20-40, pericarp colorless, aleurone homozygous and white, endosperm yellow with normal starch, and 20 grams in weight per 100 seeds. Cob 27 mm in diameter at mid-point, strong, and red. Most closely resembles A632Ht for maturity, W153R for plant type, Wf9 for ear type, and LH39 for usage.","Holden's Foundation Seeds, Inc.","PVP 8500037"
"MO17","PI 558532","Mo17'/90-91:6485-6504/NSSL 30044","1964",NA,"Missouri, United States","CI 187-2/C103","Endosperm yellow. Cob red. Relative maturity similar to C103 with better kernel type than C103. Easier to maintain in Missouri than C103. Resistance to leaf blight (Helminthosporium turcicum) and stalk quality similar to C103. Pollinates itself readily under semi-drought conditions. Maturity AES800.","Zuber, M.S., USDA, ARS",NA
"N209","PI 595366","N209/NSSL 336660","1997",NA,"Nebraska, United States","Developed by self pollination directly from NSS1(6). NSS1(6) is first replication of Nebraska Stiff Stalk Synthetic which had undergone six cycles of per se selection when selfing was initiated.","Medium-short S5 line with prolific tendency. Ears medium to large, deep, soft kernels, 16 to 18 kernel rows. Requires approximately 1460 heat units for flowering. Selection based on yield potential in hybrid combination and general plant health. Anthers green, silks colorless, cob pink.",NA,"Kaeppler, S. M., W. A. Compton, & D. D. Galusha. 1997. N209 and N215 Maize Inbred Lines. Crop Sci. (Madison) 37(5):1677."
"ND203","PI 550490","ND203/NSL 32732","1950",NA,"North Dakota, United States","Haney's Minn. #13","North Dakota AES description",NA,NA
"OH43","PI 690332","Oh43'/Ames 19288/NSSL 426705","1949",NA,"Ohio, United States","Oh40B X W8",NA,NA,NA
"OS426","Ames 22756","Os426/Ames 22756/V959-1/V959-2/V959-6","1934",NA,"Iowa, United States","Ames 26770",NA,"Iowa Agricultural Experiment Station",NA
"PHB47","PI 601009","PHB47'/NSSL 181986/'B47'","1983",NA,"Minnesota, United States","B37 X SD105 specifically B37<3-XX#-SD105-#)F21323X11X. B37 is a public inbred line developed from Iowa Stiff Stalk Synthetic at Iowa State University. SD105 is an early public inbred line developed at South Dakota State University.",NA,"Pioneer Hi-Bred International, Inc.","PVP 8300141"
"PHG39","PI 600981","PHG39'/AD38/NSSL 180757/'G39'","1983",NA,"Indiana, United States","A33GB4 x A34CB4 specifically A33GB4/A34CB4)X312XE","Dent type. Best adapted to most regions in the United States. 79 days from emergence to 50% of plants in silk (1575 heat units). Plant 253 cm tall (to tip of tassel), 96 cm ear height (to base of top ear), top ear internode 6 cm long, no tillers, one ear per stalk, normal cytoplasm type. Leaf color dark green, <30 degree angle from stalk (upper half), sheath pubescence light, no marginal waves, few longitudinal creases, 10 cm width at widest point of ear node leaf, 91 cm length of ear node leaf, 19 leaves per mature plant. Tassel has 8 lateral branches, >45 degree angle from central spike, penduncle 25 cm long from top leaf to basal branches, heavy pollen shed, anther yellow, glume green, pollen restoration for cytoplasms not tested. Ear 18 cm long, 34 mm midpoint diameter, 78 grams, 12 indistinct kernel rows, silk green, fresh husk dark green, dry husk buff, long husk extension at harvest (8-10 cm beyond ear tip), long (>15 cm) husk leaf, shank 13 cm long with 6 internodes, upright at dry husk stage, slight taper. Kernel 9 mm long, 8 mm wide, 7 mm thick, shape grade 20-40% rounds, colorless pericarp, aleurone homozygous and white, endosperm yellow and normal starch type, 29 grams per 100 seeds (unsized sample). Cob 22 mm in diameter at mid-point, strong, white. Tolerant of stalk rot (Diplodia, Fusarium, and Gibberella), southern leaf blight, common corn smut, and head smut. Susceptible to northern leaf blight, southern rust, maize dwarf mosaic, and Stewart's bacterial wilt. Susceptible to European corn borer, earworm, Western rootworm, and aphid. Most closely resembles B73 for maturity, plant type, ear type, kernel type, and usage.","Pioneer Hi-Bred International, Inc.","PVP 8300143"
"PHG47","PI 601318","PHG47'/NSSL 203133","1986",NA,"Minnesota, United States","041 X MKSDTE C10 specifically 041/MKSDTE)3221112. 041 is a proprietary Pioneer inbred line. MKSDTE C10 is a broad based breeding population that has undergone 10 cycles of recurrent selection.",NA,"Pioneer Hi-Bred International, Inc.","PVP 8400157"
"PHJ40","PI 601321","PHJ40'/NSSL 203136","1986",NA,"Ontario, Canada","B09 X B36 specifically B09/B36)X4122241X",NA,"Pioneer Hi-Bred International, Inc.","PVP 8800037"
"PHJ89","PI 548798","PHJ89'/NSSL 256387","1991",NA,"Minnesota, United States","PHT77 X PHG47 specifically PHT77/PHG47)X6K1134K113X",NA,"Pioneer Hi-Bred International, Inc.","PVP 9100092"
"PHK56","PI 543842","PHK56'/NSSL 255356","1990",NA,"Iowa, United States","PHG47 X PHG35 specifically PHG47/PHG35)X9312X",NA,"Pioneer Hi-Bred International, Inc.","PVP 9000247"
"PHK76","PI 601496","PHK76'/NSSL 220731","1987",NA,"Minnesota, United States","AD18 X B02 specifically AD18/B02)X4424XX",NA,"Pioneer Hi-Bred International, Inc.","PVP 8700017"
"PHM49","PI 601568","PHM49'/NSSL 236218","1988",NA,"Nebraska, United States","PHB81 X PHR33 specifically PHB81/PHR33)XM213X",NA,"Pioneer Hi-Bred International, Inc.","PVP 8800211"
"PHN46","PI 543844","PHN46'/NSSL 255358","1990",NA,"Illinois, United States","PHZ51 X PHV78 specifically PHZ51/PHV78)X1113X",NA,"Pioneer Hi-Bred International, Inc.","PVP 9000249"
"PHN82","PI 601783","PHN82'/NSSL 246818","1989",NA,"Iowa, United States","PHG29 X HD38 specifically PHG29/HD38)X5333X",NA,"Pioneer Hi-Bred International, Inc.","PVP 8900317"
"PHP02","PI 601570","PHP02'/NSSL 236220","1988",NA,"Wisconsin, United States","PHG44 X PHG29 specifically PHG44/PHG29)X1211X",NA,"Pioneer Hi-Bred International, Inc.","PVP 8800212"
"PHT69","PI 559949","PHT69'/NSSL 259705","1992",NA,"Wisconsin, United States","PHR73 X PHJ40 specifically PHR73/PHJ40)XA1K44K21K531X",NA,"Pioneer Hi-Bred International, Inc.","PVP 9200092"
"PHW52","PI 601575","PHW52'/NSSL 236225","1988",NA,"Iowa, United States","B73 X G39 specifically B73/G39)X411242X",NA,"Pioneer Hi-Bred International, Inc.","PVP 8800215"
"PHZ51","PI 601322","PHZ51'/NSSL 203137","1986",NA,"Iowa, United States","814 (PH814) x 848 (PH848) specifically 814/848)X1111X. The varieties C103, OS420, 38-11, OS426 contributed greatly to the genotype in the derivation of PH814. Varieties SRS303, OH43, OS420, OS426, MINN49, IDT, AR4, I205, SRS303, and LF51 contributed to the genotype in the derivation of PH848.",NA,"Pioneer Hi-Bred International, Inc.","PVP 8500098"
"W606S",NA,NA,NA,1963,NA,NA,NA,NA,NA
"WF9","PI 146374","Wf9'/Indiana WF 9/Indiana W F 9/NSSL 426706",NA,1943,"Indiana, United States","See Hansey et.al. 2011",NA,"Purdue University",NA
"'IOWA I 205'","PI 151523","I205/I 205/V942-1/V942-3/90:8970/V942-4/NSSL 65871","1934",NA,"Iowa, United States","Iodent",NA,NA,NA
