qr	loc	plot	field	nLvl	irrigation	rep	row	range	genotype	population	anthesisDate	silkDate	notes	leafDimHtDate	earHt	flagLeafHt	tasselTipHt	harvestDate	combineYield	combineMoisture	combineTestWt	harvestSeq	earFillLen	earWidth	shelledCobLen	shelledCobWidth	shelledCobWt	kernelsPerEar	kernelMass	kernelColor	kernelStriping	kernelsPerRow	kernelRows	hundredKernelWt	moistureCorrectedStarch	moistureCorrectedProtein	moistureCorrectedOil	moistureCorrectedFiber	moistureCorrectedAsh	pctMoistureNIR	latitude	longitude	yieldPerAc	plantDensity	pctRootLodge	pctStalkLodge	plantDate	totalStandCt	plotLen	daysToAnthesis	daysToSilk	moistureCorrectedKernelMass	moistureCorrectedHundredKernelWt	earLen	earWt	lbsNPerAc	ASI	GDDToAnthesis	GDDToSilk	ASI.GDD	exp
MV$INBRED-HIPS$REP2$PLOT212$ROW57$RANGE68$B73	Missouri Valley	212	Inbred HIPS	Medium	Non-Irrigated	1	57	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	11	2.6	15	195.2	37.9	yellow	N	19.5	14.5	NA	NA	NA	NA	NA	NA	NA	41.670945	-95.941616	NA	29000	NA	NA	2022-04-29	29	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT213$ROW56$RANGE68$A632	Missouri Valley	213	Inbred HIPS	Medium	Non-Irrigated	1	56	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	14.4	2.5	13.9	286.2	49.1	yellow	N	25.8	15.5	NA	NA	NA	NA	NA	NA	NA	41.670973	-95.94165	NA	21000	NA	NA	2022-04-29	21	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT214$ROW55$RANGE68$S8326	Missouri Valley	214	Inbred HIPS	Medium	Non-Irrigated	1	55	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	14.4	2.4	13.4	346	80.6	yellow	N	29.5	12.5	NA	NA	NA	NA	NA	NA	NA	41.670973	-95.94165	NA	8000	NA	NA	2022-04-29	8	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT215$ROW54$RANGE68$B37	Missouri Valley	215	Inbred HIPS	Medium	Non-Irrigated	1	54	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	14.1	2.5	19.5	36.8	5.3	yellow	N	23	10	NA	NA	NA	NA	NA	NA	NA	41.671	-95.941613	NA	26000	NA	NA	2022-04-29	26	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT216$ROW53$RANGE68$K64	Missouri Valley	216	Inbred HIPS	Medium	Non-Irrigated	1	53	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	10.1	2.5	13	139.8	31.2	NA	N	16	14	NA	NA	NA	NA	NA	NA	NA	41.671	-95.941613	NA	24000	NA	NA	2022-04-29	24	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
22-A-1572699	Ames	1572699	B1	High	Non-Irrigated	1	17	4	29MIBZ2	Inbred	NA	NA	collect;	NA	35	88	NA	NA	NA	NA	NA	NA	NA	3.78475	15.1476666666667	2.41533333333333	19.2333333333333	256	58.3833333333333	NA	NA	NA	13	22.8059895833333	NA	NA	NA	NA	NA	NA	42.015348	93.732259	NA	10000	NA	NA	2022-05-22	10	7.5	NA	NA	61.7930502909184	24.13791026989	15.3235	84.45	250	NA	NA	NA	NA	LC_2231
22-A-1572700	Ames	1572700	B1	High	Non-Irrigated	1	25	5	F42	Inbred	NA	NA	collect;	NA	NA	105	NA	NA	NA	NA	NA	NA	NA	4.05916666666667	10.3308	2.719	13.98	255.6	51.06	NA	NA	NA	19.6666666666667	19.9765258215962	NA	NA	NA	NA	NA	NA	42.01532	93.732406	NA	24000	NA	NA	2022-05-22	24	7.5	NA	NA	54.0420179478326	21.1431995101066	10.1731666666667	72.0333333333333	250	NA	NA	NA	NA	LC_2231
22-A-1593501	Ames	1593501	B1	High	Non-Irrigated	1	24	6	LH54	Inbred	NA	NA	collect;	NA	56	125	NA	NA	NA	NA	NA	NA	NA	3.685	20.093	2.0982	22.48	215.4	75.96	NA	NA	NA	10	35.2646239554318	NA	NA	NA	NA	NA	NA	42.015313	93.73237	NA	12000	NA	NA	2022-05-22	12	7.5	NA	NA	80.396233515812	37.3241566925775	19.2658333333333	101.633333333333	250	NA	NA	NA	NA	LC_2231
22-A-1593502	Ames	1593502	B1	High	Non-Irrigated	1	27	6	NC230	Inbred	NA	NA	x- set aside;	NA	53	102	NA	NA	NA	NA	NA	NA	NA	3.609	9.1005	2.1375	8.9	202	40.05	NA	NA	NA	14.6666666666667	19.8267326732673	NA	NA	NA	NA	NA	NA	42.015314	93.732443	NA	29000	NA	NA	2022-05-22	29	7.5	NA	NA	42.3890093774127	20.9846581076301	9.7896	57.08	250	NA	NA	NA	NA	LC_2231
22-A-1593503	Ames	1593503	B1	High	Non-Irrigated	1	27	5	A188	Inbred	NA	NA	x - collect data, but analyze team may need to assess photos;	NA	47	97	NA	NA	NA	NA	NA	NA	NA	3.467	11.167	1.79925	8.05	196.5	48.1825	NA	NA	NA	12	24.5203562340967	NA	NA	NA	NA	NA	NA	42.015341	93.732443	NA	22000	NA	NA	2022-05-22	22	7.5	NA	NA	50.9964655262719	25.952399758917	11.5168	62.18	250	NA	NA	NA	NA	LC_2231
22-A-1593504	Ames	1593504	B1	High	Non-Irrigated	1	18	3	CI187-2	Inbred	NA	NA	set aside;	NA	69	113	NA	NA	NA	NA	NA	NA	NA	3.6954	15.7825	2.339	12.675	338.25	69	NA	NA	NA	13.6	20.3991130820399	NA	NA	NA	NA	NA	NA	42.015375	93.732259	NA	17000	NA	NA	2022-05-22	17	7.5	NA	NA	73.0297539835575	21.5904668096253	16.3406	90.2	250	NA	NA	NA	NA	LC_2231
22-A-1593505	Ames	1593505	B1	High	Non-Irrigated	1	26	5	NC290A	Inbred	NA	NA	collect;	NA	37	76	NA	NA	NA	NA	NA	NA	NA	3.417	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	42.01532	93.732406	NA	23000	NA	NA	2022-05-22	23	7.5	NA	NA	NA	NA	8.886	19.2	250	NA	NA	NA	NA	LC_2231
22-A-1593506	Ames	1593506	B1	High	Non-Irrigated	1	21	3	NC364	Inbred	NA	NA	collect;	NA	62	124	NA	NA	NA	NA	NA	NA	NA	3.90066666666667	12.0326	2.5444	15.96	206.2	54.934	NA	NA	NA	14.6666666666667	26.6411251212415	NA	NA	NA	NA	NA	NA	42.015375	93.732332	NA	18000	NA	NA	2022-05-22	18	7.5	NA	NA	58.1422681932282	28.197026281876	12.0241666666667	70.55	250	NA	NA	NA	NA	LC_2231
22-A-1593507	Ames	1593507	B1	High	Non-Irrigated	1	25	3	W22	Inbred	NA	NA	set aside;	NA	38	100	NA	NA	NA	NA	NA	NA	NA	3.4498	13.00225	2.4115	19.925	100.75	20.055	NA	NA	NA	14.8	19.9057071960298	NA	NA	NA	NA	NA	NA	42.015375	93.732406	NA	17000	NA	NA	2022-05-22	17	7.5	NA	NA	21.2262567556557	21.068244918765	13.2568	44.92	250	NA	NA	NA	NA	LC_2231
22-A-1593508	Ames	1593508	B1	High	Non-Irrigated	1	18	6	NC262	Inbred	NA	NA	collect;	NA	52	129	NA	NA	NA	NA	NA	NA	NA	4.1055	11.3416	2.721	14.62	161	47.4	NA	NA	NA	16.1666666666667	29.4409937888199	NA	NA	NA	NA	NA	NA	42.015293	93.732259	NA	20000	NA	NA	2022-05-22	20	7.5	NA	NA	50.1682657800091	31.1604135279559	11.2235	68.8666666666667	250	NA	NA	NA	NA	LC_2231
22-A-1593509	Ames	1593509	B1	High	Non-Irrigated	1	22	4	RS 710	Inbred	NA	NA	set aside;	NA	NA	81	NA	NA	NA	NA	NA	NA	NA	4.186	16.819	2.6665	26.1	205	70.075	NA	NA	NA	16	34.1829268292683	NA	NA	NA	NA	NA	NA	42.015347	93.732332	NA	15000	NA	NA	2022-05-22	15	7.5	NA	NA	74.1675363825767	36.1792860402813	16.9305	97.75	250	NA	NA	NA	NA	LC_2231
22-A-1593510	Ames	1593510	B1	High	Non-Irrigated	1	21	4	MO47	Inbred	NA	NA		NA	40	118	NA	NA	NA	NA	NA	NA	NA	3.80633333333333	11.883	2.4524	12.38	213.8	48.408	NA	NA	NA	14.3333333333333	22.6417212347989	NA	NA	NA	NA	NA	NA	42.015347	93.732332	NA	24000	NA	NA	2022-05-22	24	7.5	NA	NA	51.235135229508	23.9640482832124	11.9845	70.9833333333333	250	NA	NA	NA	NA	LC_2231
22-A-1593511	Ames	1593511	B1	High	Non-Irrigated	1	26	6	78010	Inbred	NA	NA	set aside;	NA	49	100	NA	NA	NA	NA	NA	NA	NA	4.0018	11.1	2.402	12.725	138	37.475	NA	NA	NA	14.8	27.1557971014493	NA	NA	NA	NA	NA	NA	42.015293	93.732406	NA	22000	NA	NA	2022-05-22	22	7.5	NA	NA	39.6636236309249	28.7417562542934	11.904	60.68	250	NA	NA	NA	NA	LC_2231
22-A-1593512	Ames	1593512	B1	High	Non-Irrigated	1	19	5	LH57	Inbred	NA	NA	set aside;	NA	NA	96	NA	NA	NA	NA	NA	NA	NA	3.4574	11.8985	1.732	5.5	246.75	60.075	NA	NA	NA	10.4	24.3465045592705	NA	NA	NA	NA	NA	NA	42.015341	93.732296	NA	26000	NA	NA	2022-05-22	26	7.5	NA	NA	63.5835140661191	25.7683947583056	13.6224	74.92	250	NA	NA	NA	NA	LC_2231
22-A-1593513	Ames	1593513	B1	High	Non-Irrigated	1	25	6	PHG47	Inbred	NA	NA	collect;	NA	40	110	NA	NA	NA	NA	NA	NA	NA	3.92483333333333	12.8056	2.2088	10.92	309.2	70.08	NA	NA	NA	15.6666666666667	22.6649417852523	NA	NA	NA	NA	NA	NA	42.015293	93.732406	NA	22000	NA	NA	2022-05-22	22	7.5	NA	NA	74.1728283937349	23.9886249656323	12.6728333333333	85.0333333333333	250	NA	NA	NA	NA	LC_2231
22-A-1593514	Ames	1593514	B1	High	Non-Irrigated	1	29	6	778	Inbred	NA	NA		NA	70	150	NA	NA	NA	NA	NA	NA	NA	4.20766666666667	12.2478	2.0702	11.14	226.6	70.786	NA	NA	NA	14	31.2383053839365	NA	NA	NA	NA	NA	NA	42.015292	93.73248	NA	25000	NA	NA	2022-05-22	25	7.5	NA	NA	74.9200603692769	33.0626921311901	12.5301666666667	91.6166666666667	250	NA	NA	NA	NA	LC_2231
22-A-1593515	Ames	1593515	B1	High	Non-Irrigated	1	20	4	WIL500	Inbred	NA	NA		NA	35	102	NA	NA	NA	NA	NA	NA	NA	3.9775	14.2246666666667	2.62266666666667	25	94.3333333333333	22.6433333333333	NA	NA	NA	14	24.0035335689046	NA	NA	NA	NA	NA	NA	42.015369	93.732295	NA	20000	NA	NA	2022-05-22	20	7.5	NA	NA	23.9657545318989	25.4053934967126	13.916	52.15	250	NA	NA	NA	NA	LC_2231
22-A-1593516	Ames	1593516	B1	High	Non-Irrigated	1	17	6	L127	Inbred	NA	NA	collect;	NA	49	127	NA	NA	NA	NA	NA	NA	NA	4.04933333333333	14.0318	2.6128	17.14	277.8	70.314	NA	NA	NA	14	25.3110151187905	NA	NA	NA	NA	NA	NA	42.015293	93.732259	NA	23000	NA	NA	2022-05-22	23	7.5	NA	NA	74.42049451594	26.7892348869475	14.5198333333333	93.5333333333333	250	NA	NA	NA	NA	LC_2231
22-A-1593517	Ames	1593517	B1	High	Non-Irrigated	1	29	4	NC360	Inbred	NA	NA	set aside;	NA	57	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.015347	93.732479	NA	27000	NA	NA	2022-05-22	27	7.5	NA	NA	NA	NA	NA	NA	250	NA	NA	NA	NA	LC_2231
22-A-1593518	Ames	1593518	B1	High	Non-Irrigated	1	21	6	W117HT	Inbred	NA	NA	collect;	NA	NA	90	NA	NA	NA	NA	NA	NA	NA	3.39883333333333	9.4696	2.066	6.98	122.4	30.928	NA	NA	NA	11.6666666666667	25.2679738562091	NA	NA	NA	NA	NA	NA	42.015293	93.732332	NA	16000	NA	NA	2022-05-22	16	7.5	NA	NA	32.7342642203401	26.7436799185785	9.46416666666667	43.15	250	NA	NA	NA	NA	LC_2231
22-A-1593519	Ames	1593519	B1	High	Non-Irrigated	1	18	7	MT42	Inbred	NA	NA		NA	47	98	NA	NA	NA	NA	NA	NA	NA	3.132	11.1564	2.2538	8.14	179.4	26	NA	NA	NA	13.6666666666667	14.4927536231884	NA	NA	NA	NA	NA	NA	42.015266	93.732258	NA	19000	NA	NA	2022-05-22	19	7.5	NA	NA	27.5184580227898	15.3391627774748	11.9413333333333	43.35	250	NA	NA	NA	NA	LC_2231
22-A-1593520	Ames	1593520	B1	High	Non-Irrigated	1	17	3	CM37	Inbred	NA	NA	set aside;	NA	NA	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.015375	93.732259	NA	27000	NA	NA	2022-05-22	27	7.5	NA	NA	NA	NA	NA	NA	250	NA	NA	NA	NA	LC_2231
22-A-1593521	Ames	1593521	B1	High	Non-Irrigated	1	27	4	IDS69	Inbred	NA	NA	x - collect data, but analyze team may need to assess photos;	NA	55	98	NA	NA	NA	NA	NA	NA	NA	2.551	10.925	1.774	7.7	74	19.13	NA	NA	NA	13	25.8513513513513	NA	NA	NA	NA	NA	NA	42.015369	93.732443	NA	23000	NA	NA	2022-05-22	23	7.5	NA	NA	20.2472346913834	27.3611279613289	12.077	29.25	250	NA	NA	NA	NA	LC_2231
22-A-1593522	Ames	1593522	B1	High	Non-Irrigated	1	26	3	CML220	Inbred	NA	NA	set aside;	NA	43	96	NA	NA	NA	NA	NA	NA	NA	3.6655	10.988	2.429	12.5	59	16.9	NA	NA	NA	13	28.6440677966102	NA	NA	NA	NA	NA	NA	42.015375	93.732406	NA	23000	NA	NA	2022-05-22	23	7.5	NA	NA	17.8869977148134	30.3169452793447	10.044	30.05	250	NA	NA	NA	NA	LC_2231
22-A-1593523	Ames	1593523	B1	High	Non-Irrigated	1	23	5	EP1	Inbred	NA	NA	set aside;	NA	41	103	NA	NA	NA	NA	NA	NA	NA	3.171	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	42.015341	93.732369	NA	27000	NA	NA	2022-05-22	27	7.5	NA	NA	NA	NA	9.805	28	250	NA	NA	NA	NA	LC_2231
22-A-1593524	Ames	1593524	B1	High	Non-Irrigated	1	20	6	I29	Inbred	NA	NA	Severe bend in ear. String used to measure ear length;	NA	50	122	NA	NA	NA	NA	NA	NA	NA	3.18033333333333	10.4136	2.3596	15.52	123.6	28.616	NA	NA	NA	18.6666666666667	23.1521035598706	NA	NA	NA	NA	NA	NA	42.015314	93.732296	NA	16000	NA	NA	2022-05-22	16	7.5	NA	NA	30.2872382607751	24.5042380750608	11.463	47.95	250	NA	NA	NA	NA	LC_2231
22-A-1593525	Ames	1593525	B1	High	Non-Irrigated	1	18	4	NC302	Inbred	NA	NA	collect;	NA	36	92	NA	NA	NA	NA	NA	NA	NA	3.44133333333333	12.7118	2.373	12.72	97	28.52	NA	NA	NA	10.3333333333333	29.4020618556701	NA	NA	NA	NA	NA	NA	42.015348	93.732259	NA	25000	NA	NA	2022-05-22	25	7.5	NA	NA	30.1856316465371	31.1192078830279	12.8461666666667	45.2166666666667	250	NA	NA	NA	NA	LC_2231
22-A-1593526	Ames	1593526	B1	High	Non-Irrigated	1	28	4	NC346	Inbred	NA	NA	set aside;	NA	63	113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.015369	93.732443	NA	19000	NA	NA	2022-05-22	19	7.5	NA	NA	NA	NA	NA	NA	250	NA	NA	NA	NA	LC_2231
22-A-1593527	Ames	1593527	B1	High	Non-Irrigated	1	19	6	YU796_NS	Inbred	NA	NA		NA	50	124	NA	NA	NA	NA	NA	NA	NA	4.17233333333333	11.355	2.3648	18.82	257	79.52	NA	NA	NA	10.6666666666667	30.9416342412451	NA	NA	NA	NA	NA	NA	42.015314	93.732296	NA	18000	NA	NA	2022-05-22	18	7.5	NA	NA	84.1641454604709	32.7486947317007	11.6395	101.566666666667	250	NA	NA	NA	NA	LC_2231
22-A-1593528	Ames	1593528	B1	High	Non-Irrigated	1	29	5	P39	Inbred	NA	NA	collect;sweetcorn;	NA	NA	79	NA	NA	NA	NA	NA	NA	NA	2.164	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	42.01532	93.73248	NA	23000	NA	NA	2022-05-22	23	7.5	NA	NA	NA	NA	7.014	7.7	250	NA	NA	NA	NA	LC_2231
22-A-1593529	Ames	1593529	B1	High	Non-Irrigated	1	17	7	IA2132	Inbred	NA	NA	collect;sweetcorn;	NA	52	121	NA	NA	NA	NA	NA	NA	NA	4.152	13.14	2.68	12	261.333333333333	52.5866666666667	NA	NA	NA	16	20.1224489795918	NA	NA	NA	NA	NA	NA	42.015266	93.732258	NA	12000	NA	NA	2022-05-22	12	7.5	NA	NA	55.6578453548118	21.297644906178	13.18975	68.975	250	NA	NA	NA	NA	LC_2231
22-A-1593530	Ames	1593530	B1	High	Non-Irrigated	1	26	4	F7	Inbred	NA	NA		NA	NA	73	NA	NA	NA	NA	NA	NA	NA	4.02333333333333	11.244	1.8625	11	248	70.35	NA	NA	NA	14	28.366935483871	NA	NA	NA	NA	NA	NA	42.015348	93.732406	NA	13000	NA	NA	2022-05-22	13	7.5	NA	NA	74.4585969962793	30.0236278210804	12.575	108.766666666667	250	NA	NA	NA	NA	LC_2231
22-A-1593531	Ames	1593531	B1	High	Non-Irrigated	1	29	3	H99	Inbred	NA	NA	collect;	NA	NA	81	NA	NA	NA	NA	NA	NA	NA	3.366	13.475	1.8855	12.15	NA	NA	NA	NA	NA	10.6666666666667	NA	NA	NA	NA	NA	NA	NA	42.015374	93.732479	NA	30000	NA	NA	2022-05-22	30	7.5	NA	NA	NA	NA	13.777	60.9666666666667	250	NA	NA	NA	NA	LC_2231
22-A-1593532	Ames	1593532	B1	High	Non-Irrigated	1	24	3	A654	Inbred	NA	NA		NA	39	106	NA	NA	NA	NA	NA	NA	NA	3.7135	11.219	2.141	13.7	145	39.83	NA	NA	NA	14	27.4689655172414	NA	NA	NA	NA	NA	NA	42.015396	93.732369	NA	22000	NA	NA	2022-05-22	22	7.5	NA	NA	42.1561608864507	29.0732144044487	11.2965	59.3	250	NA	NA	NA	NA	LC_2231
22-A-1593533	Ames	1593533	B1	High	Non-Irrigated	1	19	3	CI66	Inbred	NA	NA		NA	52	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.015396	93.732295	NA	24000	NA	NA	2022-05-22	24	7.5	NA	NA	NA	NA	NA	NA	250	NA	NA	NA	NA	LC_2231
22-A-1593534	Ames	1593534	B1	High	Non-Irrigated	1	20	5	W153R	Inbred	NA	NA		NA	NA	68	NA	NA	NA	NA	NA	NA	NA	3.56933333333333	10.1025	2.123	8.85	232.5	52.695	NA	NA	NA	12.6666666666667	22.6645161290323	NA	NA	NA	NA	NA	NA	42.015341	93.732296	NA	5000	NA	NA	2022-05-22	5	7.5	NA	NA	55.7725055965734	23.9881744501391	11.051	64.8666666666667	250	NA	NA	NA	NA	LC_2231
22-A-1593535	Ames	1593535	B1	High	Non-Irrigated	1	28	6	779	Inbred	NA	NA	set aside;	NA	62	125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.015314	93.732443	NA	25000	NA	NA	2022-05-22	25	7.5	NA	NA	NA	NA	NA	NA	250	NA	NA	NA	NA	LC_2231
22-A-1593536	Ames	1593536	B1	High	Non-Irrigated	1	28	3	S8324	Inbred	NA	NA		NA	NA	86	NA	NA	NA	NA	NA	NA	NA	4.257	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	42.015396	93.732443	NA	24000	NA	NA	2022-05-22	24	7.5	NA	NA	NA	NA	12.873	103.9	250	NA	NA	NA	NA	LC_2231
22-A-1593537	Ames	1593537	B1	High	Non-Irrigated	1	27	3	LH1	Inbred	NA	NA	x- set aside;	NA	41	108	NA	NA	NA	NA	NA	NA	NA	4.38166666666667	14.7265	2.842	32.1	198.5	50.7	NA	NA	NA	16	25.5415617128463	NA	NA	NA	NA	NA	NA	42.015396	93.732443	NA	19000	NA	NA	2022-05-22	19	7.5	NA	NA	53.6609931444401	27.0332459165945	14.1143333333333	97.3	250	NA	NA	NA	NA	LC_2231
22-A-1593538	Ames	1593538	B1	High	Non-Irrigated	1	23	3	B73	Inbred	NA	NA	set aside;Check	NA	86	160	NA	NA	NA	NA	NA	NA	NA	3.98525	13.1606666666667	2.55633333333333	21.4	154.333333333333	31.3333333333333	NA	NA	NA	17.5	20.3023758099352	NA	NA	NA	NA	NA	NA	42.015396	93.732369	NA	27000	NA	NA	2022-05-22	27	7.5	NA	NA	33.1632699249005	21.4880798649463	13.15125	61.925	250	NA	NA	NA	NA	LC_2231
