qr	loc	plot	field	nLvl	irrigation	rep	row	range	genotype	population	harvestDate	combineYield	combineMoisture	combineTestWt	harvestSeq	combineNotes
4114$ROW3$RANGE8$PHW52 X PHN82	Lincoln	4114	Hybrid HIPS	Medium	Dryland	1	3	8	PHW52 X PHN82	Hybrid	2022-10-10 11:37:56	7.62	12.5	62.8	230	NA
4208$ROW3$RANGE9$PIONEER P0589 AMXT	Lincoln	4208	Hybrid HIPS	Medium	Dryland	2	3	9	PIONEER P0589 AMXT	Hybrid	2022-10-10 12:06:00	11.61	12.5	62.8	303	NA
4209$ROW3$RANGE10$PHP02 X PHK76	Lincoln	4209	Hybrid HIPS	Medium	Dryland	2	3	10	PHP02 X PHK76	Hybrid	2022-10-10 12:07:20	8.16	12.3	62.9	306	NA
4210$ROW3$RANGE11$PHP02 X LH185	Lincoln	4210	Hybrid HIPS	Medium	Dryland	2	3	11	PHP02 X LH185	Hybrid	2022-10-10 13:18:33	4.54	12.2	62.4	379	NA
4211$ROW3$RANGE12$PHW52 X PHZ51	Lincoln	4211	Hybrid HIPS	Medium	Dryland	2	3	12	PHW52 X PHZ51	Hybrid	2022-10-10 13:19:39	6.14	12.2	62.6	382	NA
4212$ROW3$RANGE13$PHN46 X PHB47	Lincoln	4212	Hybrid HIPS	Medium	Dryland	2	3	13	PHN46 X PHB47	Hybrid	2022-10-10 13:43:24	5.25	12.2	62.4	455	NA
4213$ROW3$RANGE14$PHB47 X PHJ89	Lincoln	4213	Hybrid HIPS	Medium	Dryland	2	3	14	PHB47 X PHJ89	Hybrid	2022-10-10 13:44:55	7.27	11.7	62.6	458	NA
4214$ROW3$RANGE15$PHK56 X W606S	Lincoln	4214	Hybrid HIPS	Medium	Dryland	2	3	15	PHK56 X W606S	Hybrid	2022-10-10 14:05:45	4.24	12	62.5	531	NA
4115$ROW4$RANGE2$PHK76 X LH82	Lincoln	4115	Hybrid HIPS	Medium	Dryland	1	4	2	PHK76 X LH82	Hybrid	2022-10-10 09:51:44	7.32	14.6	61.6	3	NA
4116$ROW4$RANGE3$B73 X PHN82	Lincoln	4116	Hybrid HIPS	Medium	Dryland	1	4	3	B73 X PHN82	Hybrid	2022-10-10 10:27:16	2.57	14.7	61.3	74	NA
4117$ROW4$RANGE4$PHP02 X PHN46	Lincoln	4117	Hybrid HIPS	Medium	Dryland	1	4	4	PHP02 X PHN46	Hybrid	2022-10-10 10:29:28	6	13.3	62.4	79	NA
4118$ROW4$RANGE5$PIONEER 1311 AMXT	Lincoln	4118	Hybrid HIPS	Medium	Dryland	1	4	5	PIONEER 1311 AMXT	Hybrid	2022-10-10 10:57:10	8.09	12.8	62.6	150	NA
4120$ROW4$RANGE7$PHK56 X 3IIH6	Lincoln	4120	Hybrid HIPS	Medium	Dryland	1	4	7	PHK56 X 3IIH6	Hybrid	2022-10-10 11:32:57	3.48	12.8	62.4	226	NA
4121$ROW4$RANGE8$HOEGEMEYER 8065RR	Lincoln	4121	Hybrid HIPS	Medium	Dryland	1	4	8	HOEGEMEYER 8065RR	Hybrid	2022-10-10 11:38:22	10.47	12.6	62.7	231	NA
4215$ROW4$RANGE9$PHB47 X PHK56	Lincoln	4215	Hybrid HIPS	Medium	Dryland	2	4	9	PHB47 X PHK56	Hybrid	2022-10-10 12:05:38	6.54	12.5	62.7	302	NA
4216$ROW4$RANGE10$B84 X 3IIH6	Lincoln	4216	Hybrid HIPS	Medium	Dryland	2	4	10	B84 X 3IIH6	Hybrid	2022-10-10 12:08:03	2.6	12.1	62.5	307	NA
4217$ROW4$RANGE11$2FACC X 3IIH6	Lincoln	4217	Hybrid HIPS	Medium	Dryland	2	4	11	2FACC X 3IIH6	Hybrid	2022-10-10 13:18:12	0.96	7.88	64.3	378	NA
4218$ROW4$RANGE12$PHK56 X LH185	Lincoln	4218	Hybrid HIPS	Medium	Dryland	2	4	12	PHK56 X LH185	Hybrid	2022-10-10 13:19:56	5.27	12.4	62.4	383	NA
4219$ROW4$RANGE13$PHT69 X 3IIH6	Lincoln	4219	Hybrid HIPS	Medium	Dryland	2	4	13	PHT69 X 3IIH6	Hybrid	2022-10-10 13:43:02	5.34	11.8	62.6	454	NA
4220$ROW4$RANGE14$PHW52 X PHM49	Lincoln	4220	Hybrid HIPS	Medium	Dryland	2	4	14	PHW52 X PHM49	Hybrid	2022-10-10 13:45:13	8.06	12.6	61.9	459	NA
4221$ROW4$RANGE15$B105 X 3IIH6	Lincoln	4221	Hybrid HIPS	Medium	Dryland	2	4	15	B105 X 3IIH6	Hybrid	2022-10-10 14:05:27	6.11	11.8	62.5	530	NA
4122$ROW5$RANGE2$B73 X MO17	Lincoln	4122	Hybrid HIPS	Medium	Dryland	1	5	2	B73 X MO17	Hybrid	2022-10-10 09:52:31	5.77	13.8	62.3	4	NA
4123$ROW5$RANGE3$PHB47 X 3IIH6	Lincoln	4123	Hybrid HIPS	Medium	Dryland	1	5	3	PHB47 X 3IIH6	Hybrid	2022-10-10 10:26:53	0.86	7.11	65	73	NA
4124$ROW5$RANGE4$B73 X PHZ51	Lincoln	4124	Hybrid HIPS	Medium	Dryland	1	5	4	B73 X PHZ51	Hybrid	2022-10-10 10:29:47	5.04	13.9	62	80	NA
4125$ROW5$RANGE5$2369 X 3IIH6	Lincoln	4125	Hybrid HIPS	Medium	Dryland	1	5	5	2369 X 3IIH6	Hybrid	2022-10-10 10:56:47	4.89	13	62.5	149	NA
4126$ROW5$RANGE6$PHG39 X PHM49	Lincoln	4126	Hybrid HIPS	Medium	Dryland	1	5	6	PHG39 X PHM49	Hybrid	2022-10-10 11:01:32	7.36	14.6	61.2	156	NA
4127$ROW5$RANGE7$WF9 X H95	Lincoln	4127	Hybrid HIPS	Medium	Dryland	1	5	7	WF9 X H95	Hybrid	2022-10-10 11:32:37	3.4	13.3	62.3	225	NA
4128$ROW5$RANGE8$F42 X MO17	Lincoln	4128	Hybrid HIPS	Medium	Dryland	1	5	8	F42 X MO17	Hybrid	2022-10-10 11:38:43	5.69	12.7	62.7	232	NA
4222$ROW5$RANGE9$PHP02 X PHK56	Lincoln	4222	Hybrid HIPS	Medium	Dryland	2	5	9	PHP02 X PHK56	Hybrid	2022-10-10 12:05:17	8.78	12.2	63	301	NA
4223$ROW5$RANGE10$PHK56 X 3IIH6	Lincoln	4223	Hybrid HIPS	Medium	Dryland	2	5	10	PHK56 X 3IIH6	Hybrid	2022-10-10 12:08:23	3.48	12	62.6	308	NA
4224$ROW5$RANGE11$LH195 X LH123HT	Lincoln	4224	Hybrid HIPS	Medium	Dryland	2	5	11	LH195 X LH123HT	Hybrid	2022-10-10 13:17:56	1.2	10	63.7	377	NA
4225$ROW5$RANGE12$B73 X PHZ51	Lincoln	4225	Hybrid HIPS	Medium	Dryland	2	5	12	B73 X PHZ51	Hybrid	2022-10-10 13:20:11	6.69	13	61.9	384	NA
4226$ROW5$RANGE13$LH198 X PHB47	Lincoln	4226	Hybrid HIPS	Medium	Dryland	2	5	13	LH198 X PHB47	Hybrid	2022-10-10 13:42:43	5.64	12.5	62.3	453	NA
4227$ROW5$RANGE14$PHK56 X LH82	Lincoln	4227	Hybrid HIPS	Medium	Dryland	2	5	14	PHK56 X LH82	Hybrid	2022-10-10 13:45:33	9.96	13.2	61.4	460	NA
4228$ROW5$RANGE15$PIONEER 1311 AMXT	Lincoln	4228	Hybrid HIPS	Medium	Dryland	2	5	15	PIONEER 1311 AMXT	Hybrid	2022-10-10 14:05:11	8.68	11.9	62.6	529	NA
4129$ROW6$RANGE2$B37 X H95	Lincoln	4129	Hybrid HIPS	Medium	Dryland	1	6	2	B37 X H95	Hybrid	2022-10-10 09:52:54	4.62	14.1	62.3	5	NA
4130$ROW6$RANGE3$PHP02 X PHG47	Lincoln	4130	Hybrid HIPS	Medium	Dryland	1	6	3	PHP02 X PHG47	Hybrid	2022-10-10 10:26:33	6.98	13.2	62.3	72	NA
4131$ROW6$RANGE4$B14A X MO17	Lincoln	4131	Hybrid HIPS	Medium	Dryland	1	6	4	B14A X MO17	Hybrid	2022-10-10 10:30:05	7.23	12.9	62.6	81	NA
4132$ROW6$RANGE5$LH195 X 3IIH6	Lincoln	4132	Hybrid HIPS	Medium	Dryland	1	6	5	LH195 X 3IIH6	Hybrid	2022-10-10 10:56:24	2.15	12.8	62.6	148	NA
4133$ROW6$RANGE6$PHP02 X PHJ89	Lincoln	4133	Hybrid HIPS	Medium	Dryland	1	6	6	PHP02 X PHJ89	Hybrid	2022-10-10 11:01:58	7.09	12.8	62.5	157	NA
4134$ROW6$RANGE7$LH74 X PHM49	Lincoln	4134	Hybrid HIPS	Medium	Dryland	1	6	7	LH74 X PHM49	Hybrid	2022-10-10 11:32:15	2.59	13	62.5	224	NA
4135$ROW6$RANGE8$PHZ51 X LH145	Lincoln	4135	Hybrid HIPS	Medium	Dryland	1	6	8	PHZ51 X LH145	Hybrid	2022-10-10 11:39:08	4.37	12.7	62.7	233	NA
4229$ROW6$RANGE9$PHK76 X W606S	Lincoln	4229	Hybrid HIPS	Medium	Dryland	2	6	9	PHK76 X W606S	Hybrid	2022-10-10 12:04:56	7.56	12.7	62.6	300	NA
4230$ROW6$RANGE10$LH74 X PHN82	Lincoln	4230	Hybrid HIPS	Medium	Dryland	2	6	10	LH74 X PHN82	Hybrid	2022-10-10 12:08:42	7.77	12.3	62.5	309	NA
4231$ROW6$RANGE11$LH123HT X PHB47	Lincoln	4231	Hybrid HIPS	Medium	Dryland	2	6	11	LH123HT X PHB47	Hybrid	2022-10-10 13:17:39	1.33	10.5	63.4	376	NA
4232$ROW6$RANGE12$LH145 X LH162	Lincoln	4232	Hybrid HIPS	Medium	Dryland	2	6	12	LH145 X LH162	Hybrid	2022-10-10 13:20:27	6.51	12.7	62.1	385	NA
4233$ROW6$RANGE13$PHP02 X PHJ89	Lincoln	4233	Hybrid HIPS	Medium	Dryland	2	6	13	PHP02 X PHJ89	Hybrid	2022-10-10 13:42:16	7.27	11.7	62.7	452	NA
4234$ROW6$RANGE14$B14A X MO17	Lincoln	4234	Hybrid HIPS	Medium	Dryland	2	6	14	B14A X MO17	Hybrid	2022-10-10 13:45:50	5.68	12.1	62.4	461	NA
4235$ROW6$RANGE15$PHP02 X LH145	Lincoln	4235	Hybrid HIPS	Medium	Dryland	2	6	15	PHP02 X LH145	Hybrid	2022-10-10 14:04:54	5.93	11.6	62.8	528	NA
4136$ROW7$RANGE2$LH82 X PHB47	Lincoln	4136	Hybrid HIPS	Medium	Dryland	1	7	2	LH82 X PHB47	Hybrid	2022-10-10 09:53:18	5.5	14	62.1	6	NA
4137$ROW7$RANGE3$PHP02 X PHK56	Lincoln	4137	Hybrid HIPS	Medium	Dryland	1	7	3	PHP02 X PHK56	Hybrid	2022-10-10 10:26:13	5.47	12.7	62.7	71	NA
4138$ROW7$RANGE4$2369 X PHZ51	Lincoln	4138	Hybrid HIPS	Medium	Dryland	1	7	4	2369 X PHZ51	Hybrid	2022-10-10 10:30:26	8.89	12.7	62.7	82	NA
4139$ROW7$RANGE5$PHP02 X LH198	Lincoln	4139	Hybrid HIPS	Medium	Dryland	1	7	5	PHP02 X LH198	Hybrid	2022-10-10 10:56:02	4.69	12.7	62.7	147	NA
4140$ROW7$RANGE6$PHB47 X PHK56	Lincoln	4140	Hybrid HIPS	Medium	Dryland	1	7	6	PHB47 X PHK56	Hybrid	2022-10-10 11:02:23	6.95	12	63.1	158	NA
4141$ROW7$RANGE7$LH195 X LH123HT	Lincoln	4141	Hybrid HIPS	Medium	Dryland	1	7	7	LH195 X LH123HT	Hybrid	2022-10-10 11:31:57	1.31	11.2	63.3	223	NA
4142$ROW7$RANGE8$PHK56 X LH185	Lincoln	4142	Hybrid HIPS	Medium	Dryland	1	7	8	PHK56 X LH185	Hybrid	2022-10-10 11:39:30	3.91	12.6	62.7	234	NA
4236$ROW7$RANGE9$B37 X MO17	Lincoln	4236	Hybrid HIPS	Medium	Dryland	2	7	9	B37 X MO17	Hybrid	2022-10-10 12:04:37	3.77	15.5	60.3	299	NA
4238$ROW7$RANGE11$LH82 X W606S	Lincoln	4238	Hybrid HIPS	Medium	Dryland	2	7	11	LH82 X W606S	Hybrid	2022-10-10 13:17:23	8.2	12	62.7	375	NA
4239$ROW7$RANGE12$LH195 X 3IIH6	Lincoln	4239	Hybrid HIPS	Medium	Dryland	2	7	12	LH195 X 3IIH6	Hybrid	2022-10-10 13:20:43	5.34	12.3	62.5	386	NA
4240$ROW7$RANGE13$PHP02 X PHG47	Lincoln	4240	Hybrid HIPS	Medium	Dryland	2	7	13	PHP02 X PHG47	Hybrid	2022-10-10 13:41:58	6.14	11.8	62.7	451	NA
4241$ROW7$RANGE14$SYNGENTA NK0760-3111	Lincoln	4241	Hybrid HIPS	Medium	Dryland	2	7	14	SYNGENTA NK0760-3111	Hybrid	2022-10-10 13:46:08	8.08	11.9	62.6	462	NA
4242$ROW7$RANGE15$PHP02 X W606S	Lincoln	4242	Hybrid HIPS	Medium	Dryland	2	7	15	PHP02 X W606S	Hybrid	2022-10-10 14:04:37	7.9	11.5	62.9	527	NA
4143$ROW8$RANGE2$2369 X PHP02	Lincoln	4143	Hybrid HIPS	Medium	Dryland	1	8	2	2369 X PHP02	Hybrid	2022-10-10 09:53:41	6.49	13.6	62.4	7	NA
4144$ROW8$RANGE3$N209 X 3IIH6	Lincoln	4144	Hybrid HIPS	Medium	Dryland	1	8	3	N209 X 3IIH6	Hybrid	2022-10-10 10:25:52	7.22	12.4	63	70	NA
4145$ROW8$RANGE4$2369 X PHN82	Lincoln	4145	Hybrid HIPS	Medium	Dryland	1	8	4	2369 X PHN82	Hybrid	2022-10-10 10:30:49	4.66	13.8	61.9	83	NA
4146$ROW8$RANGE5$B105 X 3IIH6	Lincoln	4146	Hybrid HIPS	Medium	Dryland	1	8	5	B105 X 3IIH6	Hybrid	2022-10-10 10:55:37	2.57	13.1	62.2	146	NA
4147$ROW8$RANGE6$2369 X LH123HT	Lincoln	4147	Hybrid HIPS	Medium	Dryland	1	8	6	2369 X LH123HT	Hybrid	2022-10-10 11:02:52	2.2	17.9	57.4	159	NA
4148$ROW8$RANGE7$PHB47 X LH185	Lincoln	4148	Hybrid HIPS	Medium	Dryland	1	8	7	PHB47 X LH185	Hybrid	2022-10-10 11:31:36	4.01	12.7	62.5	222	NA
4149$ROW8$RANGE8$PHP02 X LH145	Lincoln	4149	Hybrid HIPS	Medium	Dryland	1	8	8	PHP02 X LH145	Hybrid	2022-10-10 11:39:53	4.86	12.7	62.7	235	NA
4243$ROW8$RANGE9$LH195 X PHM49	Lincoln	4243	Hybrid HIPS	Medium	Dryland	2	8	9	LH195 X PHM49	Hybrid	2022-10-10 12:04:15	4.78	14.6	60.9	298	NA
4244$ROW8$RANGE10$B37 X H95	Lincoln	4244	Hybrid HIPS	Medium	Dryland	2	8	10	B37 X H95	Hybrid	2022-10-10 12:09:23	0.86	7.92	64.3	311	NA
4245$ROW8$RANGE11$2369 X PHP02	Lincoln	4245	Hybrid HIPS	Medium	Dryland	2	8	11	2369 X PHP02	Hybrid	2022-10-10 13:17:06	4.32	12.2	62.5	374	NA
4246$ROW8$RANGE12$PHP02 X LH82	Lincoln	4246	Hybrid HIPS	Medium	Dryland	2	8	12	PHP02 X LH82	Hybrid	2022-10-10 13:21:00	7.36	11.9	62.8	387	NA
4247$ROW8$RANGE13$PHZ51 X LH145	Lincoln	4247	Hybrid HIPS	Medium	Dryland	2	8	13	PHZ51 X LH145	Hybrid	2022-10-10 13:41:42	8.66	12.1	62.5	450	NA
4248$ROW8$RANGE14$B73 X PHN82	Lincoln	4248	Hybrid HIPS	Medium	Dryland	2	8	14	B73 X PHN82	Hybrid	2022-10-10 13:46:25	7.16	12.4	62.2	463	NA
4249$ROW8$RANGE15$LH185 X LH145	Lincoln	4249	Hybrid HIPS	Medium	Dryland	2	8	15	LH185 X LH145	Hybrid	2022-10-10 14:04:21	8.7	12.1	62.4	526	NA
4150$ROW9$RANGE2$PHW52 X PHM49	Lincoln	4150	Hybrid HIPS	Medium	Dryland	1	9	2	PHW52 X PHM49	Hybrid	2022-10-10 09:54:08	6.89	14.1	62	8	NA
4151$ROW9$RANGE3$LH145 X LH162	Lincoln	4151	Hybrid HIPS	Medium	Dryland	1	9	3	LH145 X LH162	Hybrid	2022-10-10 10:25:31	6.61	12.9	62.5	69	NA
4152$ROW9$RANGE4$PHK76 X W606S	Lincoln	4152	Hybrid HIPS	Medium	Dryland	1	9	4	PHK76 X W606S	Hybrid	2022-10-10 10:31:13	6.57	13.4	62.4	84	NA
4153$ROW9$RANGE5$B73 X PHM49	Lincoln	4153	Hybrid HIPS	Medium	Dryland	1	9	5	B73 X PHM49	Hybrid	2022-10-10 10:55:15	5.02	13.8	61.7	145	NA
4155$ROW9$RANGE7$LH123HT X 3IIH6	Lincoln	4155	Hybrid HIPS	Medium	Dryland	1	9	7	LH123HT X 3IIH6	Hybrid	2022-10-10 11:31:15	1.43	11.4	63.2	221	NA
4156$ROW9$RANGE8$SYNGENTA NK0760-3111	Lincoln	4156	Hybrid HIPS	Medium	Dryland	1	9	8	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:40:17	8.72	12.4	62.9	236	NA
4250$ROW9$RANGE9$LH82 X PHJ89	Lincoln	4250	Hybrid HIPS	Medium	Dryland	2	9	9	LH82 X PHJ89	Hybrid	2022-10-10 12:03:54	8.01	12.4	62.8	297	NA
4251$ROW9$RANGE10$PHB47 X LH185	Lincoln	4251	Hybrid HIPS	Medium	Dryland	2	9	10	PHB47 X LH185	Hybrid	2022-10-10 12:09:43	3.88	12.7	62	312	NA
4252$ROW9$RANGE11$LH82 X PHB47	Lincoln	4252	Hybrid HIPS	Medium	Dryland	2	9	11	LH82 X PHB47	Hybrid	2022-10-10 13:16:48	1.66	12.1	62.1	373	NA
4253$ROW9$RANGE12$SYNGENTA NK0760-3111	Lincoln	4253	Hybrid HIPS	Medium	Dryland	2	9	12	SYNGENTA NK0760-3111	Hybrid	2022-10-10 13:21:17	6.52	12.5	62.3	388	NA
4254$ROW9$RANGE13$2369 X PHN82	Lincoln	4254	Hybrid HIPS	Medium	Dryland	2	9	13	2369 X PHN82	Hybrid	2022-10-10 13:41:25	7.76	12.9	61.9	449	NA
4255$ROW9$RANGE14$LH74 X PHM49	Lincoln	4255	Hybrid HIPS	Medium	Dryland	2	9	14	LH74 X PHM49	Hybrid	2022-10-10 13:46:43	5.36	13.4	61.3	464	NA
4256$ROW9$RANGE15$B73 X MO17	Lincoln	4256	Hybrid HIPS	Medium	Dryland	2	9	15	B73 X MO17	Hybrid	2022-10-10 14:04:04	7.1	12	62.4	525	NA
4157$ROW10$RANGE2$LH195 X LH185	Lincoln	4157	Hybrid HIPS	Medium	Dryland	1	10	2	LH195 X LH185	Hybrid	2022-10-10 09:54:32	7.74	13.6	62.4	9	NA
4158$ROW10$RANGE3$B84 X 3IIH6	Lincoln	4158	Hybrid HIPS	Medium	Dryland	1	10	3	B84 X 3IIH6	Hybrid	2022-10-10 10:25:11	3.2	13.5	62.3	68	NA
4159$ROW10$RANGE4$B73 X 3IIH6	Lincoln	4159	Hybrid HIPS	Medium	Dryland	1	10	4	B73 X 3IIH6	Hybrid	2022-10-10 10:31:36	2.85	13.4	62.4	85	NA
4160$ROW10$RANGE5$HOEGEMEYER 7089 AMXT	Lincoln	4160	Hybrid HIPS	Medium	Dryland	1	10	5	HOEGEMEYER 7089 AMXT	Hybrid	2022-10-10 10:54:52	9.5	12.7	62.6	144	NA
4161$ROW10$RANGE6$PHW52 X PHZ51	Lincoln	4161	Hybrid HIPS	Medium	Dryland	1	10	6	PHW52 X PHZ51	Hybrid	2022-10-10 11:03:43	4.21	13.5	62.2	161	NA
4162$ROW10$RANGE7$PHP02 X LH82	Lincoln	4162	Hybrid HIPS	Medium	Dryland	1	10	7	PHP02 X LH82	Hybrid	2022-10-10 11:30:53	5.15	11.8	63.1	220	NA
4163$ROW10$RANGE8$SYNGENTA NK0760-3111	Lincoln	4163	Hybrid HIPS	Medium	Dryland	1	10	8	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:40:40	5.51	12.5	62.8	237	NA
4257$ROW10$RANGE9$PHK56 X LH198	Lincoln	4257	Hybrid HIPS	Medium	Dryland	2	10	9	PHK56 X LH198	Hybrid	2022-10-10 12:03:31	7.68	12.6	62.8	296	NA
4258$ROW10$RANGE10$PHB47 X 3IIH6	Lincoln	4258	Hybrid HIPS	Medium	Dryland	2	10	10	PHB47 X 3IIH6	Hybrid	2022-10-10 12:10:26	2.94	12.2	62.4	313	NA
4259$ROW10$RANGE11$LH198 X PHZ51	Lincoln	4259	Hybrid HIPS	Medium	Dryland	2	10	11	LH198 X PHZ51	Hybrid	2022-10-10 13:16:30	5.98	14.3	60.8	372	NA
4260$ROW10$RANGE12$LH123HT X 3IIH6	Lincoln	4260	Hybrid HIPS	Medium	Dryland	2	10	12	LH123HT X 3IIH6	Hybrid	2022-10-10 13:21:34	2.27	12.1	62.6	389	NA
4261$ROW10$RANGE13$PHG39 X PHN82	Lincoln	4261	Hybrid HIPS	Medium	Dryland	2	10	13	PHG39 X PHN82	Hybrid	2022-10-10 13:41:07	8.87	12.2	62.5	448	NA
4262$ROW10$RANGE14$4N506 X 3IIH6	Lincoln	4262	Hybrid HIPS	Medium	Dryland	2	10	14	4N506 X 3IIH6	Hybrid	2022-10-10 13:47:01	5.52	12	62.5	465	NA
4263$ROW10$RANGE15$PHN46 X W606S	Lincoln	4263	Hybrid HIPS	Medium	Dryland	2	10	15	PHN46 X W606S	Hybrid	2022-10-10 14:03:48	9.58	12.2	62.4	524	NA
4164$ROW11$RANGE2$LH82 X W606S	Lincoln	4164	Hybrid HIPS	Medium	Dryland	1	11	2	LH82 X W606S	Hybrid	2022-10-10 09:54:53	7.69	13.2	62.7	10	NA
4165$ROW11$RANGE3$PHK56 X LH82	Lincoln	4165	Hybrid HIPS	Medium	Dryland	1	11	3	PHK56 X LH82	Hybrid	2022-10-10 10:24:46	5.73	13.5	62.3	67	NA
4166$ROW11$RANGE4$4N506 X 3IIH6	Lincoln	4166	Hybrid HIPS	Medium	Dryland	1	11	4	4N506 X 3IIH6	Hybrid	2022-10-10 10:31:57	3.54	12.8	62.8	86	NA
4167$ROW11$RANGE5$F42 X OH43	Lincoln	4167	Hybrid HIPS	Medium	Dryland	1	11	5	F42 X OH43	Hybrid	2022-10-10 10:54:28	6.09	13.8	61.8	143	NA
4168$ROW11$RANGE6$LH195 X PHM49	Lincoln	4168	Hybrid HIPS	Medium	Dryland	1	11	6	LH195 X PHM49	Hybrid	2022-10-10 11:04:08	2.66	15.7	60.4	162	NA
4169$ROW11$RANGE7$PHW52 X LH185	Lincoln	4169	Hybrid HIPS	Medium	Dryland	1	11	7	PHW52 X LH185	Hybrid	2022-10-10 11:30:32	5.49	14	60.9	219	NA
4170$ROW11$RANGE8$SYNGENTA NK0760-3111	Lincoln	4170	Hybrid HIPS	Medium	Dryland	1	11	8	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:41:05	11.44	12.3	63	238	NA
4264$ROW11$RANGE9$HOEGEMEYER 8065RR	Lincoln	4264	Hybrid HIPS	Medium	Dryland	2	11	9	HOEGEMEYER 8065RR	Hybrid	2022-10-10 12:03:08	8.98	12.5	62.8	295	NA
