qrCode,year,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,pedigreeID,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes
22-A-1594271,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,27,1,52,4,1594271,MT42,1715824,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,41,102,5956,10.558,NA,3.031,2.232,NA,12,111,22.793,16.6,8.7,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x - collect data; but alyze team may need to assess photos;;;;
22-A-1594272,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,1,49,3,1594272,CM37,1715812,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,42,128,6397,12.914,NA,3.97,2.494,NA,13,107,30.561,17.3,15.4,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594273,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,17,1,59,6,1594273,IDS69,1715829,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,46,104,3750,13.709,NA,2.901,2.108,NA,13.3,188,11.789,11.18,10.92,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594274,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,37,1,50,5,1594274,CML220,1715835,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,43,99,8162,10.294,NA,3.974,2.668,NA,13.6,81,31.296,11.88,13.525,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594275,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,1,58,5,1594275,EP1,1715830,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,7500,NA,NA,2.714,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;x - collect data; but alyze team may need to assess photos;;
22-A-1594276,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,1,49,5,1594276,I29,1715699,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,53,106,5735,9.368,NA,2.752,2.112,NA,15.3,135,7.829,4.96,5.64,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;Cob broke in pieces;Cob broke in pieces;;;Seed missing on either side of ear at widest point;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594277,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,1,57,3,1594277,NC302,1715838,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,39,82,6618,11.026,NA,3.312,2.167,NA,10.4,72,29.135,10.78,10.225,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594278,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,1,47,3,1594278,NC346,1715700,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,65,110,5735,13.785,NA,2.876,2.566,NA,12,48,29.792,2.2,12.1,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;Seed missing on either side of ear at widest point;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594279,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,19,1,58,6,1594279,YU796_NS,1715827,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,47,116,4191,10.44,NA,3.968,2.385,NA,11,209,25.44,37.88,15.32,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;;;
22-A-1594280,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,1,48,4,1594280,P39,1715802,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,40,84,5515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;
22-A-1594281,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,24,1,53,4,1594281,IA2132,1715825,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,34,99,5294,10.358,NA,3.745,2.383,NA,17,183,19.255,28.63,6.667,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x - collect data; but alyze team may need to assess photos;;;;;
22-A-1594282,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,1,56,5,1594282,F7,1715809,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,39,90,5515,11.02,NA,2.725,2.064,NA,11,81,13.443,3.47,7.433,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594283,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,1,54,4,1594283,H99,1715801,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,28,81,6838,12.072,NA,2.993,2.02,NA,10.5,67,18.75,3.93,8.567,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594284,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,1,50,3,1594284,A654,1715695,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,20,82,5515,10.313,NA,3.056,2.36,NA,11.3,72,25.793,4.25,14.45,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594285,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,1,52,5,1594285,CI66,1715810,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,49,76,7059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;;
22-A-1594286,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,15,1,55,3,1594286,W153R,1715836,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,47,97,3309,10.267,NA,3.466,2.145,NA,13,111,23.705,17.7,8.5,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x - collect data; but alyze team may need to assess photos;;;;;
22-A-1594287,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,1,52,3,1594287,779,1715818,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,54,122,6397,NA,NA,2.667,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;x -set asside;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;;
22-A-1594288,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,33,1,53,3,1594288,S8324,1715805,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,26,87,7279,11.333,NA,3.834,2.211,NA,15,213,27.554,48.84,9.76,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;
22-A-1594289,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,1,57,6,1594289,LH1,1715815,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,43,97,6176,14.731,NA,4.08,2.757,NA,16,212,25.849,27.9,26.9,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594290,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,33,1,47,4,1594290,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,62,105,7279,10.815,NA,3.975,2.737,NA,17,83,21.807,1,17.1,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594291,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,1,55,6,1594291,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,66,135,7500,12.405,NA,4.425,2.96,NA,18,247,25.182,41.2,21,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;x - collect data; but alyze team may need to assess photos;;;
22-A-1594292,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,1,57,5,1594292,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,76,135,6397,12.698,NA,3.978,2.547,NA,16,70,13.857,-8.4,18.1,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594293,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,1,51,5,1594293,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,73,156,5515,12.062,NA,4.047,2.711,NA,18,121,25.651,12.48,18.62,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594294,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,1,59,5,1594294,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,69,132,6176,12.415,NA,3.879,2.72,NA,16.7,162,21.015,16.15,17.95,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594295,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,1,57,8,1594295,K55,1716042,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,47,104,6397,12.677,NA,4.332,2.807,NA,14.7,256,23.601,36.95,23.35,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594296,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,1,53,9,1594296,VA99,1716079,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,65,126,6618,14.617,NA,4.036,2.524,NA,16,304,28.049,67.54,17.86,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;;;
22-A-1594297,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,1,54,10,1594297,AQA3,1716036,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,52,120,6838,12.032,NA,4.041,2.568,NA,13.2,215,31.209,47.35,19.75,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;
22-A-1594298,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,1,54,11,1594298,3IIH6,1716050,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,57,136,6618,14.138,NA,3.878,2.402,NA,16.3,327,24.905,70.15,11.35,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;;;
22-A-1594299,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,1,54,6,1594299,PHV63,1716047,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,39,114,6618,12.87,NA,3.962,2.562,NA,14.8,303,23.21,53.9,16.4,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;
22-A-1594300,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,12,1,50,8,1594300,11430,1716055,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,40,122,2647,15.414,NA,4.114,2.614,NA,16,275,20.836,35,22.3,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;
22-A-1594301,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,35,1,59,11,1594301,NC236,1715882,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,93,162,7721,16.184,NA,4.312,2.529,NA,13.3,394,26.04,81.56,21.14,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;;
22-A-1594302,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,1,56,10,1594302,A634,1716016,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,67,140,7059,12.653,NA,3.835,2.508,NA,14.4,209,28.571,43.7,15.9,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;x - collect data; but alyze team may need to assess photos;;;;
22-A-1594303,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,1,50,13,1594303,A635,1716086,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,53,98,5735,9.264,NA,3.321,2.02,NA,14,141,21.331,23.28,6.82,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;
22-A-1594304,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,1,56,12,1594304,CM174,1715895,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,32,103,5515,11.901,NA,3.739,2.684,NA,14.7,183,19.606,22.54,13.26,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594305,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,1,51,13,1594305,H95,1716049,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,42,106,7059,12.523,NA,3.786,2.454,NA,15,196,24.082,33.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;x -set asside;x -set asside;;x - collect data; but alyze team may need to assess photos;;
22-A-1594306,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,33,1,51,6,1594306,A239,1716010,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,70,126,7279,12.955,NA,3.526,2.224,NA,12.7,166,28.697,33.26,14.34,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594307,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,1,58,9,1594307,IDS91,1716071,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,63,111,5735,12.552,NA,2.628,1.778,NA,12.3,140,10.943,5.84,9.46,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594308,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,17,1,49,7,1594308,CO255,1716039,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,50,138,3750,14.552,NA,3.203,2.474,NA,13.3,115,22.391,14.05,11.75,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594309,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,27,1,52,13,1594309,N6,1716013,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,61,125,5956,13.135,NA,4.001,2.491,NA,13.7,188,26.008,33.6,15.4,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594310,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,1,52,14,1594310,N28HT,1716027,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,67,132,6838,9.624,NA,3.954,2.466,NA,16.3,197,24.791,36.9,11.8,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;;;;;x - collect data; but alyze team may need to assess photos;;
