qr,plot,loc,field,nLvl,irrigation,rep,row,range,genotype,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafLen1,leafWidth1,leafLen2,leafWidth2,earHt1,flagLeafHt1,plantHt1,earHt2,flagLeafHt2,plantHt2,leafDimHtCollector,leafDimHtDate,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,population,leafDimHtNotes,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,looseKernelCt,looseKernelWt,totalMoisture,earDataCollector1,earPhenotypeNotes1,seedColor1,earWidth1,kernelFillLen1,kernelRows1,kernelsPerRow1,earWt1,totalKernelCt1,cobWidth1,cobLen1,cobWt1,hundredKernelWt1,greenAtHarvest1,earDataCollector2,earPhenotypeNotes2,seedColor2,earWidth2,kernelFillLen2,kernelRows2,kernelsPerRow2,earWt2,totalKernelCt2,cobWidth2,cobLen2,cobWt2,hundredKernelWt2,greenAtHarvest2,earDataCollector3,earPhenotypeNotes3,seedColor3,earWidth3,kernelFillLen3,kernelRows3,kernelsPerRow3,earWt3,totalKernelCt3,cobWidth3,cobLen3,cobWt3,hundredKernelWt3,greenAtHarvest3,earDataCollector4,earPhenotypeNotes4,seedColor4,earWidth4,kernelFillLen4,kernelRows4,kernelsPerRow4,earWt4,totalKernelCt4,cobWidth4,cobLen4,cobWt4,hundredKernelWt4,greenAtHarvest4,combineNotes
4111$Row3$Range5$PHK76 x 3IIH6,4111,Lincoln,Hybrid HIPS,Medium,Dryland,1,3,5,PHK76 X 3IIH6,2022-07-17,Vla,2022-07-17,Vla,NA,79.6,9.8,84.5,10,90,199,239,100,185,250,Isabel/Lina,2022-08-02,2022-10-10 10:57:36,4.28,12.9,62.5,151,Hybrid,NA,69.59,10.35,4.43,0.7,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4112$Row3$Range6$PHP02 x LH185,4112,Lincoln,Hybrid HIPS,Medium,Dryland,1,3,6,PHP02 X LH185,2022-07-18,Vla,2022-07-18,Vla,NA,84.2,11.6,79.6,10.6,81,162,230,70,170,210,Isabel/Lina,2022-08-02,2022-10-10 11:00:39,3.83,12.8,62.6,154,Hybrid,NA,64.89,12.33,3.66,2.4,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4113$Row3$Range7$PHK76 x LH198,4113,Lincoln,Hybrid HIPS,Medium,Dryland,1,3,7,PHK76 X LH198,2022-07-18,Vla,2022-07-19,Vla,NA,87,9.4,87.5,10,88,180,230,86,197,244,Lina,2022-08-02,2022-10-10 11:33:17,6.2,16.2,59.3,227,Hybrid,NA,70.15,9.22,3.77,0.85,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4114$Row3$Range8$PHW52 x PHN82,4114,Lincoln,Hybrid HIPS,Medium,Dryland,1,3,8,PHW52 X PHN82,2022-07-19,Lina,2022-07-21,Lina,NA,85.3,9.8,80.3,9,83,182,231,82,170,230,Lina,2022-08-02,2022-10-10 11:37:56,7.62,12.5,62.8,230,Hybrid,NA,71.37,10.14,4.22,0.61,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4115$Row4$Range2$PHK76 x LH82,4115,Lincoln,Hybrid HIPS,Medium,Dryland,1,4,2,PHK76 X LH82,2022-07-15,Vla,2022-07-17,Vla,NA,76.4,10.8,77.7,11.1,80,162,200,80,158,193,Isabel/Lina,2022-08-02,2022-10-10 09:51:44,7.32,14.6,61.6,3,Hybrid,NA,70.87,10.42,4.5,0.48,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4116$Row4$Range3$B73 x PHN82,4116,Lincoln,Hybrid HIPS,Medium,Dryland,1,4,3,B73 X PHN82,2022-07-24,Deniz,2022-07-28,Deniz,Uneven growth in almost 30% of the plots (Deniz),85.1,8.6,84.4,9.4,90,177,229,91,188,232,Isabel/Lina,2022-08-02,2022-10-10 10:27:16,2.57,14.7,61.3,74,Hybrid,NA,67.84,8.52,3.96,1.25,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4117$Row4$Range4$PHP02 x PHN46,4117,Lincoln,Hybrid HIPS,Medium,Dryland,1,4,4,PHP02 X PHN46,2022-07-17,Vla,2022-07-21,Lina,NA,67.7,8.3,82.2,8.1,82,150,190,70,158,201,Isabel/Lina,2022-08-02,2022-10-10 10:29:28,6,13.3,62.4,79,Hybrid,NA,67.45,11.27,4.08,1,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4118$Row4$Range5$Pioneer 1311 AMXT,4118,Lincoln,Hybrid HIPS,Medium,Dryland,1,4,5,PIONEER 1311 AMXT,2022-07-21,Lina,2022-07-25,Deniz,NA,81.1,10.8,85.3,10.5,88,187,240,83,182,232,Isabel/Lina,2022-08-02,2022-10-10 10:57:10,8.09,12.8,62.6,150,Hybrid,NA,70.31,7.6,3.32,1.05,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4119$Row4$Range6$PHK76 x LH145,4119,Lincoln,Hybrid HIPS,Medium,Dryland,1,4,6,PHK76 X LH145,2022-07-18,Vla,2022-07-18,Vla,NA,81.5,8.8,79.2,9.1,83,181,229,81,182,230,Isabel/Lina,2022-08-02,2022-10-10 11:01:07,7.06,13,62.5,155,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4120$Row4$Range7$PHK56 x 3IIH6,4120,Lincoln,Hybrid HIPS,Medium,Dryland,1,4,7,PHK56 X 3IIH6,2022-07-18,Vla,2022-07-21,Lina,NA,71.8,9.9,80.2,9,88,160,225,74,162,231,Isabel/Lina,2022-08-02,2022-10-10 11:32:57,3.48,12.8,62.4,226,Hybrid,NA,69.59,11.21,3.98,1.83,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4121$Row4$Range8$Hoegemeyer 8065RR,4121,Lincoln,Hybrid HIPS,Medium,Dryland,1,4,8,HOEGEMEYER 8065RR,2022-07-17,Vla,2022-07-19,Vla,NA,88.6,10.2,81.7,9.3,63,172,222,82,168,215,Isabel/Lina,2022-08-02,2022-10-10 11:38:22,10.47,12.6,62.7,231,Hybrid,NA,68.28,10.64,3.96,0.85,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4122$Row5$Range2$B73 x Mo17,4122,Lincoln,Hybrid HIPS,Medium,Dryland,1,5,2,B73 X MO17,2022-07-21,Lina,2022-07-28,Deniz,NA,82.8,8.7,55.6,9.6,100,190,240,100,199,247,Han/Lina,2022-08-05,2022-10-10 09:52:31,5.77,13.8,62.3,4,Hybrid,NA,70.53,10.42,3.87,1.23,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4123$Row5$Range3$PHB47 x 3IIH6,4123,Lincoln,Hybrid HIPS,Medium,Dryland,1,5,3,PHB47 X 3IIH6,2022-07-19,Vla,2022-07-23,Turkus,NA,82,10,77.5,8.5,80,180,230,89,182,230,Han/Lina,2022-08-05,2022-10-10 10:26:53,0.86,7.11,65,73,Hybrid,NA,64.55,11.13,4.51,1.32,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4124$Row5$Range4$B73 x PHZ51,4124,Lincoln,Hybrid HIPS,Medium,Dryland,1,5,4,B73 X PHZ51,2022-07-19,Vla,2022-07-24,Turkus,NA,83.5,8.7,81.5,8.8,107,205,250,103,195,242,Han/Lina,2022-08-05,2022-10-10 10:29:47,5.04,13.9,62,80,Hybrid,NA,69.75,10.36,4.66,0.89,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4125$Row5$Range5$2369 x 3IIH6,4125,Lincoln,Hybrid HIPS,Medium,Dryland,1,5,5,2369 X 3IIH6,2022-07-17,Vla,2022-07-19,Vla,NA,79.6,8,80,8.8,88,170,212,89,189,225,Han/Lina,2022-08-05,2022-10-10 10:56:47,4.89,13,62.5,149,Hybrid,NA,68.78,10.59,4.11,2.26,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4126$Row5$Range6$PHG39 x PHM49,4126,Lincoln,Hybrid HIPS,Medium,Dryland,1,5,6,PHG39 X PHM49,2022-07-25,Deniz,2022-07-28,Deniz,NA,79.3,10,74.5,9.8,102,190,234,91,185,226,Han/Lina,2022-08-05,2022-10-10 11:01:32,7.36,14.6,61.2,156,Hybrid,NA,69.26,9.5,3.98,1.65,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4127$Row5$Range7$WF9 x H95,4127,Lincoln,Hybrid HIPS,Medium,Dryland,1,5,7,WF9 X H95,2022-07-21,Lina,2022-07-28,Deniz,NA,88.6,12.3,88,12,90,190,230,82,190,232,Han/Lina,2022-08-05,2022-10-10 11:32:37,3.4,13.3,62.3,225,Hybrid,NA,67.64,11.47,4.45,1.1,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4128$Row5$Range8$F42 x Mo17,4128,Lincoln,Hybrid HIPS,Medium,Dryland,1,5,8,F42 X MO17,2022-07-19,Vla,2022-07-21,Lina,NA,86.9,9.6,88.1,9.3,98,198,249,100,200,250,Han/Lina,2022-08-05,2022-10-10 11:38:43,5.69,12.7,62.7,232,Hybrid,NA,70.82,10.27,4.01,1.5,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4129$Row6$Range2$B37 x H95,4129,Lincoln,Hybrid HIPS,Medium,Dryland,1,6,2,B37 X H95,2022-07-21,Lina,2022-07-28,Deniz,NA,87.6,10.3,79.5,10.3,92,200,240,100,193,238,Han/Lina,2022-08-05,2022-10-10 09:52:54,4.62,14.1,62.3,5,Hybrid,NA,70.1,9.53,4.94,0.93,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4130$Row6$Range3$PHP02 x PHG47,4130,Lincoln,Hybrid HIPS,Medium,Dryland,1,6,3,PHP02 X PHG47,2022-07-17,Vla,2022-07-18,Vla,NA,85.3,9.3,86.4,9.2,71,180,230,70,172,225,Han/Lina,2022-08-05,2022-10-10 10:26:33,6.98,13.2,62.3,72,Hybrid,NA,67.17,10.91,4.01,0.9,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4131$Row6$Range4$B14A x Mo17,4131,Lincoln,Hybrid HIPS,Medium,Dryland,1,6,4,B14A X MO17,2022-07-21,Lina,2022-07-23,Turkus,NA,78.3,9.2,79.6,9.3,75,179,212,110,180,220,Han/Lina,2022-08-05,2022-10-10 10:30:05,7.23,12.9,62.6,81,Hybrid,NA,70.93,9.35,3.93,1.73,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4132$Row6$Range5$LH195 x 3IIH6,4132,Lincoln,Hybrid HIPS,Medium,Dryland,1,6,5,LH195 X 3IIH6,2022-07-21,Lina,2022-07-27,Deniz,NA,77.9,9.3,77.7,8.2,67,149,196,62,157,201,Han/Lina,2022-08-05,2022-10-10 10:56:24,2.15,12.8,62.6,148,Hybrid,NA,67.19,12.79,4.47,1.23,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4133$Row6$Range6$PHP02 x PHJ89,4133,Lincoln,Hybrid HIPS,Medium,Dryland,1,6,6,PHP02 X PHJ89,2022-07-17,Vla,2022-07-17,Vla,NA,84,9.4,87,9.3,75,180,228,79,180,228,Han/Lina,2022-08-05,2022-10-10 11:01:58,7.09,12.8,62.5,157,Hybrid,NA,68.41,9.5,4.46,0.67,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4134$Row6$Range7$LH74 x PHM49,4134,Lincoln,Hybrid HIPS,Medium,Dryland,1,6,7,LH74 X PHM49,2022-07-21,Lina,2022-07-24,Turkus,NA,83.5,8.3,86.7,8.8,79,168,211,85,164,210,Han/Lina,2022-08-05,2022-10-10 11:32:15,2.59,13,62.5,224,Hybrid,NA,66.85,10.52,3.61,1.36,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
