qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes
22-A-1583822,Ames,Ames B1,0,Medium,150,LC_4232,17.5,73,1,22,5,1583822,WF9 X H95,2022-05-22,,,,,,,,,86,208,36500,5.21,51.91,5.3,,13.999,,4.718,2.439,,17.5,496,24.769,122.9,17.067,,,,,,,,0,2022-10-16,counting;Check;Tattoo sensor
22-A-1583823,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,17,6,1583823,LH82 X PHJ89,2022-05-22,,,,,,,,,100,178,27500,13.54,125.35,12,,15.303,,4.409,2.273,,16,536,22.217,119,13.267,,,,,,,,0,2022-10-16,Check;Nitrate sensor
22-A-1583824,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,18,6,1583824,LH74 X PHM49,2022-05-22,,,,,,,,,95,198,31000,13.97,125.07,14.9,,15.853,,4.476,2.335,,14.5,453,29.604,134.2,17.7,,,,,,,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor
22-A-1583825,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,19,6,1583825,PHK56 X LH198,2022-05-22,,,,,,,,,104,210,27500,13.31,121.12,13.5,,16.173,,5.013,2.503,,17.5,651,28.999,188.7,29.067,,,,,,,,1.82,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor
22-A-1583826,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,20,6,1583826,PHP02 X LH82,2022-05-22,,,,,,,,,101,187,35500,11.6,113.74,6.8,,15.15,,4.129,2.513,,16,436,22.433,97.7,12.333,,,,,,,,0,2022-10-16,Check
22-A-1583827,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,21,6,1583827,HOEGEMEYER 8065RR,2022-05-22,,,,,,,,,58,,30500,18.04,159.04,16.2,,15.47,,4.848,2.45,,15,448,31.193,139.7,14.833,,,,,,,,0,2022-10-16,Check
22-A-1583828,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,22,6,1583828,PHK76 X LH82,2022-05-22,,,,,,,,,89,174,34500,12.44,121.32,7.3,,15.025,,4.109,2.357,,14.5,454,23.31,105.9,15.8,,,,,,,,0,2022-10-16,Check
22-A-1583829,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,17,7,1583829,LH82 X PHB47,2022-05-22,,,,,,,,,86,178,31500,13.52,127.16,10.6,,16.102,,4.274,2.426,,15.5,563,22.694,127.8,17.033,,,,,,,,0,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor;Tattoo sensor
22-A-1583831,Ames,Ames B1,0,Medium,150,LC_4232,17.5,64,1,19,7,1583831,B84 X 3IIH6,2022-05-22,,,,,,,,,120,204,32000,10.69,104.59,7,,15.587,,4.571,2.633,,17.5,496,23.289,115.4,20.933,,,,,,,,6.25,2022-10-16,Check;Tattoo sensor
22-A-1583832,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,20,7,1583832,LH123HT X PHB47,2022-05-22,,,,,,,,,111,233,33000,11.03,106.87,7.9,,16.79,,4.436,2.481,,13,449,26.981,121.2,22.733,,,,,,,,0,2022-10-16,Check
22-A-1583833,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,21,7,1583833,PHK56 X 3IIH6,2022-05-22,,,,,,,,,54,167,28500,11.57,112.84,7.3,,12.486,,4.325,2.418,,15.5,364,27.445,99.9,16.4,,,,,,,,0,2022-10-16,Check
22-A-1583834,Ames,Ames B1,0,Medium,150,LC_4232,17.5,59,1,22,7,1583834,LH82 X W606S,2022-05-22,,,,,,,,,74,179,29500,13.41,119.92,15,,16.578,,4.179,2.692,,17,519,22.551,117,18.667,,,,,,,,0,2022-10-16,Check
22-A-1583835,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,17,8,1583835,B73 X PHZ51,2022-05-22,,,,,,,,,120,246,30500,13.62,120.22,16.1,,17.204,,4.366,2.718,,15.5,561,25.791,144.6,25.033,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583836,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,18,8,1583836,PHZ51 X LH145,2022-05-22,,,,,,,,,90,225,31500,11.31,112.32,5.6,,16.618,,4.21,2.672,,16,451,23.92,107.8,23.667,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583837,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,19,8,1583837,PHG39 X PHM49,2022-05-22,,,,,,,,,104,216,33000,11.44,102.3,15,,15.551,,4.403,2.375,,14,471,28.96,136.4,18.733,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583838,Ames,Ames B1,0,Medium,150,LC_4232,17.5,53,1,20,8,1583838,2369 X PHP02,2022-05-22,,,,,,,,,105,221,26500,13.34,126.31,10,,16.236,,4.318,2.614,,15,478,23.112,110.4,14.3,,,,,,,,1.89,2022-10-16,Check
22-A-1583839,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,21,8,1583839,LH198 X PHB47,2022-05-22,,,,,,,,,84,183,30500,7.01,69.84,5.3,,11.503,,3.75,2.361,,12,259,22.358,57.8,12.8,,,,,,,,6.56,2022-10-16,Check
22-A-1583840,Ames,Ames B1,0,Medium,150,LC_4232,17.5,42,1,22,8,1583840,PHP02 X PHN46,2022-05-22,,,,,,,,,85,179,21000,12.78,115.36,14.2,,11.704,,4.344,2.501,,15,319,22.759,72.6,6.733,,,,,,,,0,2022-10-16,Severe bend in ear. String used to measure cob length;Check
22-A-1583841,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,17,9,1583841,LH198 X PHZ51,2022-05-22,,,,,,,,,109,248,34500,14.34,126.88,15.9,,,,4.417,,,13.5,435,29.364,127.8,,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583842,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,18,9,1583842,B73 X PHM49,2022-05-22,,,,,,,,,131,238,34000,14.85,121.7,22.1,,,,4.757,,,15.5,500,28.674,143.5,,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583843,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,19,9,1583843,B37 X MO17,2022-05-22,,,,,,,,,120,230,34000,8.39,83.59,5.3,,,,4.453,,,13.5,372,28.117,104.5,,,,,,,,,5.88,2022-10-16,Check;Tattoo sensor
22-A-1583844,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,20,9,1583844,PHK56 X LH185,2022-05-22,,,,,,,,,101,219,28500,16.69,146.79,16.4,,,,4.389,,,13.5,447,27.437,122.7,,,,,,,,,0,2022-10-16,Check
22-A-1583845,Ames,Ames B1,0,Medium,150,LC_4232,17.5,58,1,21,9,1583845,PHK56 X LH145,2022-05-22,,,,,,,,,89,196,29000,9.17,91.36,5.3,,,,4.307,,,15.5,525,22.502,118.1,,,,,,,,,0,2022-10-16,Check
22-A-1583846,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,22,9,1583846,SYNGENTA NK0760-3111,2022-05-22,,,,,,,,,98,223,35500,16.76,148.82,15.6,,,,4.581,,,14,466,28.441,132.5,,,,,,,,,0,2022-10-16,Check
22-A-1583847,Ames,Ames B1,0,Medium,150,LC_4232,17.5,67,1,17,10,1583847,B37 X H95,2022-05-22,,,,,,,,,118,249,33500,9.56,91.52,9,,,,4.713,,,17,434,23.812,103.3,,,,,,,,,2.99,2022-10-16,Check;Tattoo sensor
22-A-1583848,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,18,10,1583848,2FACC X 3IIH6,2022-05-22,,,,,,,,,103,195,30500,17.16,159.05,11.9,,,,4.598,,,16,451,27.605,124.5,,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583849,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,19,10,1583849,LH195 X PHM49,2022-05-22,,,,,,,,,98,192,30500,7.08,70.54,5.3,,,,3.519,,,14,266,,48.5,,,,,,,,,3.28,2022-10-16,Check;Tattoo sensor
22-A-1583850,Ames,Ames B1,0,Medium,150,LC_4232,17.5,51,1,20,10,1583850,PHK76 X W606S,2022-05-22,,,,,,,,,93,201,25500,14.97,138.75,11.9,,,,4.172,,,14,410,23.415,96,,,,,,,,,1.96,2022-10-16,Check
22-A-1583851,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,21,10,1583851,PHP02 X W606S,2022-05-22,,,,,,,,,101,202,27500,8.27,82.39,5.3,,,,4.816,,,15,569,27.903,158.8,,,,,,,,,0,2022-10-16,Check
22-A-1583852,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,22,10,1583852,LH185 X LH145,2022-05-22,,,,,,,,,88,188,28500,7.18,71.53,5.3,,,,3.925,,,12.5,352,22.346,78.7,,,,,,,,,0,2022-10-16,Check
22-A-1583853,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,17,11,1583853,B73 X MO17,2022-05-22,,,,,,,,,124,228,31000,16.2,136.17,20.1,,,,4.745,,,14.5,634,28.638,181.5,,,,,,,,,12.9,2022-10-16,Check;Tattoo sensor
22-A-1583854,Ames,Ames B1,0,Medium,150,LC_4232,17.5,70,1,18,11,1583854,F42 X OH43,2022-05-22,,,,,,,,,115,244,35000,14.06,115.08,22.2,,,,4.769,,,17.5,506,25.231,127.7,,,,,,,,,8.57,2022-10-16,Check;Tattoo sensor
22-A-1583855,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,19,11,1583855,PHP02 X PHB47,2022-05-22,,,,,,,,,87,206,31000,10.09,100.53,5.3,,,,4.474,,,14.5,434,27.98,121.4,,,,,,,,,4.84,2022-10-16,Check;Tattoo sensor
22-A-1583856,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,20,11,1583856,PHP02 X LH145,2022-05-22,,,,,,,,,103,199,34000,8.3,82.69,5.3,,,,4.207,,,15.5,513,25.699,131.8,,,,,,,,,8.82,2022-10-16,Check
22-A-1583857,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,21,11,1583857,PHP02 X PHK56,2022-05-22,,,,,,,,,98,204,27500,11.07,108.31,7,,15.811,,4.636,2.569,,15,515,29.029,149.5,21.767,,,,,,,,0,2022-10-16,Check
22-A-1583858,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,22,11,1583858,PHP02 X PHJ89,2022-05-22,,,,,,,,,90,218,30500,10.36,101.58,6.8,,14.642,,4.263,2.302,,14.5,432,24.136,104.3,11.667,,,,,,,,0,2022-10-16,Check
22-A-1583859,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,17,12,1583859,4N506 X 3IIH6,2022-05-22,,,,,,,,,109,250,34500,16.4,151.66,12.1,,17.49,,4.529,2.605,,15.5,533,24.919,132.7,20.667,,,,,,,,5.8,2022-10-16,Check;Tattoo sensor
22-A-1583861,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,19,12,1583861,2369 X PHZ51,2022-05-22,,,,,,,,,126,247,34000,11.29,111.17,6.4,,16.493,,4.399,2.525,,14,482,26.558,128.1,22,,,,,,,,7.35,2022-10-16,Check;Tattoo sensor
22-A-1583862,Ames,Ames B1,0,Medium,150,LC_4232,17.5,65,1,20,12,1583862,PHK76 X LH198,2022-05-22,,,,,,,,,104,218,32500,12.55,123.19,6.7,,15.328,,4.464,2.533,,15,478,26.767,128,21.067,,,,,,,,0,2022-10-16,Check
22-A-1583863,Ames,Ames B1,0,Medium,150,LC_4232,17.5,53,1,21,12,1583863,LH185 X W606S,2022-05-22,,,,,,,,,77,207,26500,11.16,104.49,11,,,,4.055,,,14,495,21.279,105.4,,,,,,,,,0,2022-10-16,Check
22-A-1583864,Ames,Ames B1,0,Medium,150,LC_4232,17.5,54,1,22,12,1583864,PHP02 X LH198,2022-05-22,,,,,,,,,113,202,27000,13.61,119.13,16.8,,,,4.547,,,16,387,26.974,104.3,,,,,,,,,0,2022-10-16,Check
22-A-1583865,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,17,13,1583865,LH195 X LH185,2022-05-22,,,,,,,,,104,202,33000,17.46,150.62,18,,,,4.625,,,14,508,29.934,152.2,,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583866,Ames,Ames B1,0,Medium,150,LC_4232,17.5,72,1,18,13,1583866,PHG39 X PHN82,2022-05-22,,,,,,,,,90,219,36000,21.86,188.35,18.1,,,,4.508,,,16,535,29.097,155.8,,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583867,Ames,Ames B1,0,Medium,150,LC_4232,17.5,59,1,19,13,1583867,PHW52 X PHZ51,2022-05-22,,,,,,,,,115,236,29500,13.87,126.8,13.1,,,,4.928,,,15.5,508,32.23,163.8,,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583868,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,20,13,1583868,PHP02 X PHG47,2022-05-22,,,,,,,,,100,196,31500,12.44,120.93,7.6,,,,4.283,,,16.5,560,24.836,139,,,,,,,,,0,2022-10-16,Check
22-A-1583869,Ames,Ames B1,0,Medium,150,LC_4232,17.5,48,1,21,13,1583869,PHN46 X PHK56,2022-05-22,,,,,,,,,85,210,24000,14.52,129.39,15.3,,16.309,,4.91,2.654,,18.5,697,26.922,187.7,25.867,,,,,,,,0,2022-10-16,Check
22-A-1583870,Ames,Ames B1,0,Medium,150,LC_4232,17.5,52,1,22,13,1583870,PHN46 X W606S,2022-05-22,,,,,,,,,107,211,26000,13.5,119.16,16.1,,15.466,,4.825,2.793,,15.5,474,27.665,131.1,20.733,,,,,,,,0,2022-10-16,Check
22-A-1583871,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,17,14,1583871,PHT69 X 3IIH6,2022-05-22,,,,,,,,,92,194,34500,14.45,134.69,11.4,,17.565,,4.251,2.612,,14.5,478,24.519,117.2,17.8,,,,,,,,1.45,2022-10-16,Check;Tattoo sensor
22-A-1583872,Ames,Ames B1,0,Medium,150,LC_4232,17.5,74,1,18,14,1583872,B105 X 3IIH6,2022-05-22,,,,,,,,,95,196,37000,15.86,140.83,15.6,,18.172,,4.422,2.605,,16.5,521,25.083,130.6,14.267,,,,,,,,0,2022-10-16,Cob broke in pieces during shelling;Check;Tattoo sensor
22-A-1583873,Ames,Ames B1,0,Medium,150,LC_4232,17.5,70,1,19,14,1583873,N209 X 3IIH6,2022-05-22,,,,,,,,,113,202,35000,14.03,130.63,11.5,,14.762,,4.419,2.332,,16,420,25.623,107.7,12.7,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583874,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,20,14,1583874,PIONEER 1311 AMXT,2022-05-22,,,,,,,,,129,245,28500,13.92,123.31,15.8,,15.863,,4.842,2.62,,16.5,429,31.003,132.9,15.167,,,,,,,,0,2022-10-16,Check
22-A-1583875,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,21,14,1583875,PHJ40 X LH82,2022-05-22,,,,,,,,,96,171,35500,10.44,103.9,5.4,,15.533,,4.376,2.621,,17.5,467,23.181,108.3,20.033,,,,,,,,0,2022-10-16,Check
22-A-1583876,Ames,Ames B1,0,Medium,150,LC_4232,17.5,52,1,22,14,1583876,HOEGEMEYER 7089 AMXT,2022-05-22,,,,,,,,,93,201,26000,14.79,136.46,12.3,,16.462,,4.366,2.448,,16.5,490,30.434,149,20,,,,,,,,0,2022-10-16,x - seed spilled during counting; re-started the counting so AKW would be accurate;Check
22-A-1583877,Ames,Ames B1,0,Medium,150,LC_4232,17.5,58,1,17,15,1583877,PHP02 X PHK76,2022-05-22,,,,,,,,,90,196,29000,16.15,145.61,14.3,,15.457,,4.494,2.636,,14,461,30.803,142,20.367,,,,,,,,5.17,2022-10-16,Check
22-A-1583878,Ames,Ames B1,0,Medium,150,LC_4232,17.5,56,1,18,15,1583878,PHK56 X W606S,2022-05-22,,,,,,,,,112,224,28000,17.32,150.69,17.3,,16.885,,4.624,2.628,,14.5,533,30.544,162.7,26.567,,,,,,,,8.93,2022-10-16,Check
22-A-1583879,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,19,15,1583879,PHK76 X LH145,2022-05-22,,,,,,,,,87,171,31000,6.65,66.25,5.3,,16.178,,3.897,2.407,,14.5,427,23.638,100.9,17.867,,,,,,,,0,2022-10-16,Check
22-A-1583880,Ames,Ames B1,0,Medium,150,LC_4232,17.5,59,1,20,15,1583880,PHK56 X LH82,2022-05-22,,,,,,,,,97,185,29500,16.44,150.82,12.8,,14.29,,4.311,2.417,,18,524,23.412,122.6,16.467,,,,,,,,0,2022-10-16,Check
22-A-1583881,Ames,Ames B1,0,Medium,150,LC_4232,17.5,49,1,21,15,1583881,PHP02 X LH185,2022-05-22,,,,,,,,,91,178,24500,8.96,89.17,5.4,,16.681,,4.465,2.611,,14.5,513,24.185,124.1,16.667,,,,,,,,0,2022-10-16,Check
22-A-1583882,Ames,Ames B1,0,Medium,150,LC_4232,17.5,59,1,22,15,1583882,PHK76 X 3IIH6,2022-05-22,,,,,,,,,102,183,29500,11.13,109.01,6.9,,15.091,,4.01,2.386,,15.2,394,23.838,94,13.933,,,,,,,,0,2022-10-16,Check
22-A-1583883,Ames,Ames B1,0,Medium,150,LC_4232,17.5,60,1,17,16,1583883,PHK56 X PHJ89,2022-05-22,,,,,,,,,82,214,30000,18.77,162.52,17.7,,15.57,,4.54,2.243,,13.5,507,31.216,158.4,19.033,,,,,,,,0,2022-10-16,Check
22-A-1583884,Ames,Ames B1,0,Medium,150,LC_4232,17.5,58,1,18,16,1583884,PHN46 X PHB47,2022-05-22,,,,,,,,,123,226,29000,20.29,180.16,15.6,,16.192,,4.71,2.731,,14,495,33.336,164.9,20.967,,,,,,,,0,2022-10-16,Check
22-A-1583885,Ames,Ames B1,0,Medium,150,LC_4232,17.5,60,1,19,16,1583885,PIONEER P0589 AMXT,2022-05-22,,,,,,,,,105,208,30000,20.51,184.49,14.5,,15.806,,4.571,2.411,,16,472,30.756,145.2,17.233,,,,,,,,0,2022-10-16,Check
22-A-1583886,Ames,Ames B1,0,Medium,150,LC_4232,17.5,56,1,20,16,1583886,LH185 X LH82,2022-05-22,,,,,,,,,75,179,28000,16.01,140.47,16.6,,17.794,,4.663,2.668,,17,621,29.195,181.4,17.7,,,,,,,,0,2022-10-16,x - seed spilled during counting; re-started the counting so AKW would be accurate;Check
22-A-1585420,Ames,Ames B1,0,Medium,150,LC_4232,17.5,64,2,19,17,1585420,B73 X 3IIH6,2022-05-22,,,,,,,,,111,225,32000,17.11,158.58,11.9,,18.544,,4.758,2.646,,18,651,25.709,167.4,22.1,,,,,,,,1.56,2022-10-16,Check
22-A-1585421,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,2,21,20,1585421,2369 X 3IIH6,2022-05-22,,,,,,,,,109,236,30500,14.95,137.78,12.4,,17.014,,4.55,2.56,,16.5,592,24.702,146.2,18.267,,,,,,,,0,2022-10-16,Check
22-A-1585422,Ames,Ames B1,0,Medium,150,LC_4232,17.5,49,2,21,23,1585422,PHW52 X LH185,2022-05-22,,,,,,,,,82,198,24500,12.24,107.39,16.6,,16.261,,4.739,2.449,,15,481,32.883,158.2,16.533,,,,,,,,0,2022-10-16,Check
22-A-1585423,Ames,Ames B1,0,Medium,150,LC_4232,17.5,64,2,18,28,1585423,LH195 X 3IIH6,2022-05-22,,,,,,,,,104,210,32000,19.24,173.67,14.2,,15.875,,4.437,2.393,,17.5,518,25.724,133.2,14.433,,,,,,,,0,2022-10-16,Check
22-A-1585424,Ames,Ames B1,0,Medium,150,LC_4232,17.5,65,2,22,27,1585424,B73 X PHN82,2022-05-22,,,,,,,,,108,209,32500,14.08,120.87,18.4,,16.245,,4.855,2.638,,17,614,29.397,180.5,27.7,,,,,,,,0,2022-10-16,Check
22-A-1585425,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,2,22,29,1585425,2369 X LH123HT,2022-05-22,,,,,,,,,128,241,30500,15.93,133.91,20.1,,16.659,,4.372,2.512,,14.5,540,26.214,141.5,22.933,,,,,,,,1.64,2022-10-16,Check
22-A-1585426,Ames,Ames B1,0,Medium,150,LC_4232,17.5,59,2,20,26,1585426,PHW52 X PHN82,2022-05-22,,,,,,,,,83,184,29500,18.39,155.16,19.8,,17.341,,4.666,2.507,,15.5,507,32.93,167.1,22.6,,,,,,,,0,2022-10-16,Check
22-A-1585427,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,2,19,29,1585427,LH145 X LH162,2022-05-22,,,,,,,,,95,206,33000,16.83,139.7,21.1,,15.331,,4.133,2.276,,13,394,29.712,117.1,17.6,,,,,,,,0,2022-10-16,Check
