qr,loc,plot,field,nLvl,irrigation,rep,row,range,genotype,population,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafDimHtNotes,leafDimHtCollector,leafDimHtDate,earHt,flagLeafHt,plantHt,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,combineNotes,earLen,earFillLen,earWidth,shelledCobWidth,shelledCobWt,kernelsPerEar,kernelMass,kernelColor,kernelStriping,hundredKernelWt,pctMoistureEarPhenotyping,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT161$ROW1$RANGE11$PHK56 X LH145,North Platte1,161,Hybrid HIPS,Low,Full,1,1,11,PHK56 X LH145,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,13.4,4.4,2.5,20.5,20.5,147.3,yellow,N,29.9,4.6,68.72,10.03,3.78,0.78,1.01
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT177$ROW1$RANGE13$PIONEER P0589 AMXT,North Platte1,177,Hybrid HIPS,Medium,Full,1,1,13,PIONEER P0589 AMXT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,14.1,4.2,2.5,23,23,152.7,yellow,N,33.4,4.1,68.37,10.58,3.59,1.07,1.03
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT193$ROW1$RANGE14$PHP02 X PHK56,North Platte1,193,Hybrid HIPS,Medium,Full,1,1,14,PHP02 X PHK56,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,14.1,4,2.2,20.2,20.2,98.5,yellow,N,31.2,NA,68.88,10.67,4.69,1.14,1.04
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT209$ROW1$RANGE15$PHK76 X 3IIH6,North Platte1,209,Hybrid HIPS,Medium,Full,1,1,15,PHK76 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,16.2,3.8,2.5,17.9,17.9,131.8,yellow,N,27.8,NA,71.03,8.83,4.31,0.39,0.9
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT225$ROW1$RANGE16$PHP02 X W606S,North Platte1,225,Hybrid HIPS,Medium,Full,1,1,16,PHP02 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14.1,3.9,2.6,19.4,19.4,87.6,orange,N,31,4.6,70.16,9.87,4.11,0.77,0.78
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT241$ROW1$RANGE17$LH82 X W606S,North Platte1,241,Hybrid HIPS,Medium,Full,1,1,17,LH82 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,16.1,3.6,2.6,21.8,21.8,120.7,orange,N,24.1,NA,70.25,9.94,4.74,0.79,1.08
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT257$ROW1$RANGE18$PHK56 X LH82,North Platte1,257,Hybrid HIPS,Medium,Full,1,1,18,PHK56 X LH82,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,13.5,4.5,2.9,21.4,21.4,133.4,yellow,N,27.8,4.1,68.96,10.67,4.93,0.66,1.04
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT273$ROW1$RANGE19$LH123HT X PHB47,North Platte1,273,Hybrid HIPS,Medium,Full,1,1,19,LH123HT X PHB47,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,18.2,3.9,2.6,25,25,148.3,yellow,N,30.1,NA,69.21,12.11,3.71,1.53,0.76
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT289$ROW1$RANGE20$LH185 X W606S,North Platte1,289,Hybrid HIPS,Medium,Full,1,1,20,LH185 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,19.1,3.9,2.9,25.8,25.8,129.7,orange,N,36.5,NA,69.53,10.04,3.88,1.21,0.78
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT305$ROW1$RANGE21$PHN46 X PHK56,North Platte1,305,Hybrid HIPS,Medium,Full,1,1,21,PHN46 X PHK56,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,12.5,4.4,2.5,18.8,18.8,129.2,yellow,N,31.2,5.1,69.68,9.95,3.48,0.82,0.9
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT337$ROW1$RANGE23$PHP02 X PHG47,North Platte1,337,Hybrid HIPS,Medium,Full,1,1,23,PHP02 X PHG47,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,13.8,4.1,2.5,16.3,16.3,116,yellow,N,28,NA,69.55,9.59,4.67,0.5,1.03
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT353$ROW1$RANGE25$B14A X MO17,North Platte1,353,Hybrid HIPS,High,Full,1,1,25,B14A X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,16.9,4.4,2.8,21.3,21.3,168.8,yellow,N,30.1,NA,72.63,8.73,3.71,1.86,1.17
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT369$ROW1$RANGE26$LH195 X LH185,North Platte1,369,Hybrid HIPS,High,Full,1,1,26,LH195 X LH185,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,16.1,4.4,2.5,20.5,20.5,162,yellow,N,32.9,4.3,71.77,9.52,4.15,0.65,0.87
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT385$ROW1$RANGE27$2369 X PHP02,North Platte1,385,Hybrid HIPS,High,Full,1,1,27,2369 X PHP02,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,15.2,4.4,3,23.7,23.7,135.6,yellow,N,28.8,4.3,70.65,10.56,3.44,0.81,0.92
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT401$ROW1$RANGE28$B73 X PHZ51,North Platte1,401,Hybrid HIPS,High,Full,1,1,28,B73 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15.9,4.5,3,25.6,25.6,156.2,yellow,N,28.9,3.6,71.7,9.57,3.77,0.51,0.78
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT417$ROW1$RANGE29$B37 X H95,North Platte1,417,Hybrid HIPS,High,Full,1,1,29,B37 X H95,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,13.6,3.8,2.6,24.9,24.9,115.6,yellow,N,25.5,4.3,67.51,11.41,4.62,1.37,0.92
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT433$ROW1$RANGE30$LH195 X 3IIH6,North Platte1,433,Hybrid HIPS,High,Full,1,1,30,LH195 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,16,4.4,2.5,21.4,21.4,159.3,yellow,N,25.6,NA,69.74,9.14,3.72,0.58,1.05
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT449$ROW1$RANGE31$WF9 X H95,North Platte1,449,Hybrid HIPS,High,Full,1,1,31,WF9 X H95,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,11.9,3.6,2.5,20.4,20.4,105.8,yellow,N,27.9,4.9,68.44,13.15,3.97,0.6,0.89
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT465$ROW1$RANGE32$B37 X MO17,North Platte1,465,Hybrid HIPS,High,Full,1,1,32,B37 X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,17.4,4.5,3.1,32.6,32.6,159.2,yellow,N,34.1,4.8,66.35,12.05,3.33,1.75,1.03
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT481$ROW1$RANGE33$LH123HT X 3IIH6,North Platte1,481,Hybrid HIPS,High,Full,1,1,33,LH123HT X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,16,4,2.9,23.4,23.4,147.7,yellow,N,29.4,5.2,70.6,9.88,4.67,0.72,0.91
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT497$ROW1$RANGE34$PHN46 X PHB47,North Platte1,497,Hybrid HIPS,High,Full,1,1,34,PHN46 X PHB47,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,16,4,2.2,23.2,23.2,121.7,yellow,N,32.7,4.4,72.05,8.96,3.39,0.8,0.71
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT2$ROW2$RANGE1$LH198 X PHZ51,North Platte1,2,Hybrid HIPS,Low,Full,1,2,1,LH198 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,11.2,3.4,2,16.6,16.6,91.3,yellow,N,28.2,3.3,69.45,11.91,3.79,1.08,0.76
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT18$ROW2$RANGE2$PHK76 X W606S,North Platte1,18,Hybrid HIPS,Low,Full,1,2,2,PHK76 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,15.5,3.6,2.8,21.6,21.6,117.2,orange,N,30.3,4.3,71.04,8.66,4.47,0.04,0.75
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT34$ROW2$RANGE3$LH185 X W606S,North Platte1,34,Hybrid HIPS,Low,Full,1,2,3,LH185 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,18.9,4.1,2.8,23.6,23.6,141.4,red,N,32.3,4.2,71.04,9.19,4.24,0.58,0.68
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT50$ROW2$RANGE4$2369 X LH123HT,North Platte1,50,Hybrid HIPS,Low,Full,1,2,4,2369 X LH123HT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,15.1,4.1,3,23.8,23.8,99.9,yellow,N,25.9,3.9,68.23,11.75,3.71,1.51,0.8
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT66$ROW2$RANGE5$LH195 X 3IIH6,North Platte1,66,Hybrid HIPS,Low,Full,1,2,5,LH195 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,14.8,3.8,2.1,18.6,18.6,142.3,yellow,N,27.6,NA,68.99,9.36,4.22,0.54,1.12
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT82$ROW2$RANGE6$LH195 X PHZ51,North Platte1,82,Hybrid HIPS,Low,Full,1,2,6,LH195 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,15.4,3.6,2.4,21.6,21.6,118.1,yellow,N,28.5,3.8,71.98,9.27,4.1,0.41,0.87
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT98$ROW2$RANGE7$N209 X 3IIH6,North Platte1,98,Hybrid HIPS,Low,Full,1,2,7,N209 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,15.9,4.2,3,17.9,17.9,128.2,yellow,N,27.8,4.4,68.43,8.74,4,0.93,1
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT114$ROW2$RANGE8$B37 X H95,North Platte1,114,Hybrid HIPS,Low,Full,1,2,8,B37 X H95,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10.5,3.8,2.4,14,14,76.3,yellow,N,20.7,5,66.54,12.9,4.4,1.32,0.9
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT130$ROW2$RANGE9$4N506 X 3IIH6,North Platte1,130,Hybrid HIPS,Low,Full,1,2,9,4N506 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,15.5,4.4,2.9,22.6,22.6,144,yellow,N,28.7,6.3,67.48,9.46,5.01,0.28,1.06
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT146$ROW2$RANGE10$PIONEER 1311 AMXT,North Platte1,146,Hybrid HIPS,Low,Full,1,2,10,PIONEER 1311 AMXT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,13.1,4.4,2.8,22.4,22.4,120.3,yellow,N,31.7,4,71.16,10.27,3.66,0.45,0.77
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT162$ROW2$RANGE11$LH123HT X 3IIH6,North Platte1,162,Hybrid HIPS,Low,Full,1,2,11,LH123HT X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,16.5,4.1,2.6,21.7,21.7,132,yellow,N,26.8,5,70.59,9.92,3.78,0.92,0.85
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT178$ROW2$RANGE13$LH195 X PHM49,North Platte1,178,Hybrid HIPS,Medium,Full,1,2,13,LH195 X PHM49,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,15.5,4.1,3,22.1,22.1,156.8,yellow,N,31.5,4.2,71.47,9.88,3.88,0.62,0.93
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT194$ROW2$RANGE14$LH195 X LH123HT,North Platte1,194,Hybrid HIPS,Medium,Full,1,2,14,LH195 X LH123HT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,17.4,4,2.6,26.3,26.3,163.7,yellow,N,27.8,NA,70.11,10.29,3.52,1.05,0.92
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT210$ROW2$RANGE15$2FACC X 3IIH6,North Platte1,210,Hybrid HIPS,Medium,Full,1,2,15,2FACC X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14.8,4.5,2.9,21.2,21.2,106.8,yellow,N,30,NA,68.39,9.18,3.5,0.93,1.09
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT226$ROW2$RANGE16$LH195 X PHZ51,North Platte1,226,Hybrid HIPS,Medium,Full,1,2,16,LH195 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,15.2,4,2.5,25.6,25.6,140.8,yellow,N,28.8,4.5,71.78,9.14,3.9,0.47,0.86
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT242$ROW2$RANGE17$PHP02 X LH145,North Platte1,242,Hybrid HIPS,Medium,Full,1,2,17,PHP02 X LH145,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,15.5,4.2,2.6,20.9,20.9,114.1,yellow,N,29.8,NA,65.95,12.63,4.63,1.35,1.1
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT258$ROW2$RANGE18$HOEGEMEYER 7089 AMXT,North Platte1,258,Hybrid HIPS,Medium,Full,1,2,18,HOEGEMEYER 7089 AMXT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,15.9,4,2.5,22.1,22.1,160.1,yellow,N,35.9,4.1,70.47,9.96,3.77,0.88,0.92
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT274$ROW2$RANGE19$LH185 X LH82,North Platte1,274,Hybrid HIPS,Medium,Full,1,2,19,LH185 X LH82,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,17.1,4.4,2.9,18.9,18.9,161.2,yellow,N,30.9,NA,70.55,10.08,4.52,0.74,0.98
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT290$ROW2$RANGE20$PHP02 X LH185,North Platte1,290,Hybrid HIPS,Medium,Full,1,2,20,PHP02 X LH185,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,20,5,3,31.4,31.4,216.8,yellow,N,38.6,NA,67.92,10.78,3.63,1.34,1.01
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT306$ROW2$RANGE21$PHP02 X LH198,North Platte1,306,Hybrid HIPS,Medium,Full,1,2,21,PHP02 X LH198,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,14,4.5,3.1,27,27,135.3,yellow,N,32.8,4.2,70.42,11.12,3.6,1.08,0.84
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT322$ROW2$RANGE22$PHK56 X PHJ89,North Platte1,322,Hybrid HIPS,Medium,Full,1,2,22,PHK56 X PHJ89,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,17.1,4.4,3,30.6,30.6,170.3,yellow,N,26.2,4.4,71.03,10.31,4.07,0.46,0.9
NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT338$ROW2$RANGE23$PIONEER 1311 AMXT,North Platte1,338,Hybrid HIPS,Medium,Full,1,2,23,PIONEER 1311 AMXT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,14.6,4.4,2.8,27.6,27.6,139.5,yellow,N,30.6,NA,70.74,10.08,3.37,0.85,0.75
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT354$ROW2$RANGE25$2369 X PHZ51,North Platte1,354,Hybrid HIPS,High,Full,1,2,25,2369 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14.8,4.1,2.6,22.8,22.8,133.3,yellow,N,28.5,NA,70.01,10.44,4.14,0.62,0.99
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT370$ROW2$RANGE26$PHK76 X W606S,North Platte1,370,Hybrid HIPS,High,Full,1,2,26,PHK76 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15.2,3.9,2.6,21.3,21.3,122.5,red,N,30.8,4.5,71.16,8.98,4.19,0.43,0.79
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT386$ROW2$RANGE27$B73 X MO17,North Platte1,386,Hybrid HIPS,High,Full,1,2,27,B73 X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,15.2,4.2,3,21.5,21.5,147.9,yellow,N,29.8,4.8,67.24,11.65,3.17,1.32,1.04
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT402$ROW2$RANGE28$2369 X LH123HT,North Platte1,402,Hybrid HIPS,High,Full,1,2,28,2369 X LH123HT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,15.1,4.5,3,24.3,24.3,130.7,yellow,N,31.6,3.8,70.61,10.4,4,1.03,0.83
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT418$ROW2$RANGE29$PHN46 X PHK56,North Platte1,418,Hybrid HIPS,High,Full,1,2,29,PHN46 X PHK56,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,13.8,4.4,2.5,20.6,20.6,148.7,yellow,N,29.7,5.2,69.92,9.63,3.47,0.85,0.96
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT434$ROW2$RANGE30$HOEGEMEYER 8065RR,North Platte1,434,Hybrid HIPS,High,Full,1,2,30,HOEGEMEYER 8065RR,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15.4,4.5,2.5,19.1,19.1,182.4,yellow,N,33.6,NA,71.42,9.54,4.09,0.42,1.02
