qrCode,year,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,pedigreeID,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes
22-A-1583811,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,17,4,1583811,PHW52 X PHM49,1739613,2022-05-22,,,NA,NA,NA,NA,NA,NA,86,200,31500,16.16,131.93,22.4,NA,16.737,NA,4.551,2.274,NA,14.5,483,33.416,161.4,18.6,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583813,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,65,1,19,4,1583813,B14A X MO17,1739655,2022-05-22,,,NA,NA,NA,NA,NA,NA,103,205,32500,14.25,120.53,19.6,NA,17.068,NA,4.36,2.492,NA,13.5,486,25.871,125.7,20.467,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583814,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,20,4,1583814,PHB47 X PHK56,1739653,2022-05-22,,,NA,NA,NA,NA,NA,NA,87,199,34500,15.43,138.47,14.7,NA,14.911,NA,4.468,2.451,NA,15,504,28.366,143,18.3,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583816,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,22,4,1583816,LH195 X PHZ51,1739608,2022-05-22,,,NA,NA,NA,NA,NA,NA,115,227,35500,11.55,104.99,13.6,NA,16.773,NA,4.424,2.632,NA,14,481,29.924,144,26.967,NA,NA,NA,NA,NA,NA,,1.41,2022-10-16,counting;Check;Tattoo sensor
22-A-1583817,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,17,5,1583817,PHB47 X 3IIH6,1739625,2022-05-22,,,NA,NA,NA,NA,NA,NA,90,215,31000,8.7,86.68,5.3,NA,17.463,NA,4.221,2.482,NA,15,478,24.524,117.1,16.3,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor
22-A-1583818,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,18,5,1583818,PHB47 X LH185,1716298,2022-05-22,,,NA,NA,NA,NA,NA,NA,93,206,34500,12.42,118.12,9.6,NA,15.58,NA,4.37,2.444,NA,13.8,427,29.139,124.5,14.7,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor;Tattoo sensor
22-A-1583819,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,19,5,1583819,2369 X PHN82,1739616,2022-05-22,,,NA,NA,NA,NA,NA,NA,88,193,33000,13.5,123.28,13.2,NA,15.378,NA,4.672,2.802,NA,17,532,27.424,145.9,21.433,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor
22-A-1583820,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,20,5,1583820,LH195 X LH123HT,1739658,2022-05-22,,,NA,NA,NA,NA,NA,NA,111,232,33000,12.71,108.71,18.7,NA,18.057,NA,4.665,2.602,NA,14,549,32.981,181,29.1,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583821,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,21,5,1583821,F42 X MO17,1739657,2022-05-22,,,NA,NA,NA,NA,NA,NA,104,209,33000,11.23,101.6,14,NA,15.09,NA,4.272,2.369,NA,14,428,26.885,115,18,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583822,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,73,1,22,5,1583822,WF9 X H95,1739666,2022-05-22,,,NA,NA,NA,NA,NA,NA,86,208,36500,5.21,51.91,5.3,NA,13.999,NA,4.718,2.439,NA,17.5,496,24.769,122.9,17.067,NA,NA,NA,NA,NA,NA,,0,2022-10-16,counting;Check;Tattoo sensor
22-A-1583823,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,17,6,1583823,LH82 X PHJ89,1716296,2022-05-22,,,NA,NA,NA,NA,NA,NA,100,178,27500,13.54,125.35,12,NA,15.303,NA,4.409,2.273,NA,16,536,22.217,119,13.267,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor
22-A-1583824,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,18,6,1583824,LH74 X PHM49,1739623,2022-05-22,,,NA,NA,NA,NA,NA,NA,95,198,31000,13.97,125.07,14.9,NA,15.853,NA,4.476,2.335,NA,14.5,453,29.604,134.2,17.7,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor
22-A-1583825,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,19,6,1583825,PHK56 X LH198,1739632,2022-05-22,,,NA,NA,NA,NA,NA,NA,104,210,27500,13.31,121.12,13.5,NA,16.173,NA,5.013,2.503,NA,17.5,651,28.999,188.7,29.067,NA,NA,NA,NA,NA,NA,,1.82,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor
22-A-1583826,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,20,6,1583826,PHP02 X LH82,1739648,2022-05-22,,,NA,NA,NA,NA,NA,NA,101,187,35500,11.6,113.74,6.8,NA,15.15,NA,4.129,2.513,NA,16,436,22.433,97.7,12.333,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583827,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,21,6,1583827,HOEGEMEYER 8065RR,NA,2022-05-22,,,NA,NA,NA,NA,NA,NA,58,16,30500,18.04,159.04,16.2,NA,15.47,NA,4.848,2.45,NA,15,448,31.193,139.7,14.833,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583828,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,22,6,1583828,PHK76 X LH82,1739640,2022-05-22,,,NA,NA,NA,NA,NA,NA,89,174,34500,12.44,121.32,7.3,NA,15.025,NA,4.109,2.357,NA,14.5,454,23.31,105.9,15.8,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583829,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,17,7,1583829,LH82 X PHB47,1716295,2022-05-22,,,NA,NA,NA,NA,NA,NA,86,178,31500,13.52,127.16,10.6,NA,16.102,NA,4.274,2.426,NA,15.5,563,22.694,127.8,17.033,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor;Tattoo sensor
22-A-1583831,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,64,1,19,7,1583831,B84 X 3IIH6,1739621,2022-05-22,,,NA,NA,NA,NA,NA,NA,120,204,32000,10.69,104.59,7,NA,15.587,NA,4.571,2.633,NA,17.5,496,23.289,115.4,20.933,NA,NA,NA,NA,NA,NA,,6.25,2022-10-16,Check;Tattoo sensor
22-A-1583832,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,20,7,1583832,LH123HT X PHB47,1739622,2022-05-22,,,NA,NA,NA,NA,NA,NA,111,233,33000,11.03,106.87,7.9,NA,16.79,NA,4.436,2.481,NA,13,449,26.981,121.2,22.733,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583833,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,21,7,1583833,PHK56 X 3IIH6,1739631,2022-05-22,,,NA,NA,NA,NA,NA,NA,54,167,28500,11.57,112.84,7.3,NA,12.486,NA,4.325,2.418,NA,15.5,364,27.445,99.9,16.4,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583834,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,59,1,22,7,1583834,LH82 X W606S,1716297,2022-05-22,,,NA,NA,NA,NA,NA,NA,74,179,29500,13.41,119.92,15,NA,16.578,NA,4.179,2.692,NA,17,519,22.551,117,18.667,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583835,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,17,8,1583835,B73 X PHZ51,1739604,2022-05-22,,,NA,NA,NA,NA,NA,NA,120,246,30500,13.62,120.22,16.1,NA,17.204,NA,4.366,2.718,NA,15.5,561,25.791,144.6,25.033,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583836,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,18,8,1583836,PHZ51 X LH145,1739614,2022-05-22,,,NA,NA,NA,NA,NA,NA,90,225,31500,11.31,112.32,5.6,NA,16.618,NA,4.21,2.672,NA,16,451,23.92,107.8,23.667,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583837,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,19,8,1583837,PHG39 X PHM49,1739626,2022-05-22,,,NA,NA,NA,NA,NA,NA,104,216,33000,11.44,102.3,15,NA,15.551,NA,4.403,2.375,NA,14,471,28.96,136.4,18.733,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583838,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,53,1,20,8,1583838,2369 X PHP02,1739615,2022-05-22,,,NA,NA,NA,NA,NA,NA,105,221,26500,13.34,126.31,10,NA,16.236,NA,4.318,2.614,NA,15,478,23.112,110.4,14.3,NA,NA,NA,NA,NA,NA,,1.89,2022-10-16,Check
22-A-1583839,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,21,8,1583839,LH198 X PHB47,1716294,2022-05-22,,,NA,NA,NA,NA,NA,NA,84,183,30500,7.01,69.84,5.3,NA,11.503,NA,3.75,2.361,NA,12,259,22.358,57.8,12.8,NA,NA,NA,NA,NA,NA,,6.56,2022-10-16,Check
22-A-1583840,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,42,1,22,8,1583840,PHP02 X PHN46,1739644,2022-05-22,,,NA,NA,NA,NA,NA,NA,85,179,21000,12.78,115.36,14.2,NA,11.704,NA,4.344,2.501,NA,15,319,22.759,72.6,6.733,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Severe bend in ear. String used to measure cob length;Check
22-A-1583841,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,17,9,1583841,LH198 X PHZ51,1739662,2022-05-22,,,NA,NA,NA,NA,NA,NA,109,248,34500,14.34,126.88,15.9,NA,NA,NA,4.417,NA,NA,13.5,435,29.364,127.8,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583842,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,18,9,1583842,B73 X PHM49,1739605,2022-05-22,,,NA,NA,NA,NA,NA,NA,131,238,34000,14.85,121.7,22.1,NA,NA,NA,4.757,NA,NA,15.5,500,28.674,143.5,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583843,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,19,9,1583843,B37 X MO17,1739656,2022-05-22,,,NA,NA,NA,NA,NA,NA,120,230,34000,8.39,83.59,5.3,NA,NA,NA,4.453,NA,NA,13.5,372,28.117,104.5,NA,NA,NA,NA,NA,NA,NA,,5.88,2022-10-16,Check;Tattoo sensor
22-A-1583844,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,20,9,1583844,PHK56 X LH185,1739634,2022-05-22,,,NA,NA,NA,NA,NA,NA,101,219,28500,16.69,146.79,16.4,NA,NA,NA,4.389,NA,NA,13.5,447,27.437,122.7,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583845,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,58,1,21,9,1583845,PHK56 X LH145,1739635,2022-05-22,,,NA,NA,NA,NA,NA,NA,89,196,29000,9.17,91.36,5.3,NA,NA,NA,4.307,NA,NA,15.5,525,22.502,118.1,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583846,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,22,9,1583846,SYNGENTA NK0760-3111,1739673,2022-05-22,,,NA,NA,NA,NA,NA,NA,98,223,35500,16.76,148.82,15.6,NA,NA,NA,4.581,NA,NA,14,466,28.441,132.5,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583847,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,67,1,17,10,1583847,B37 X H95,1739665,2022-05-22,,,NA,NA,NA,NA,NA,NA,118,249,33500,9.56,91.52,9,NA,NA,NA,4.713,NA,NA,17,434,23.812,103.3,NA,NA,NA,NA,NA,NA,NA,,2.99,2022-10-16,Check;Tattoo sensor
22-A-1583848,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,18,10,1583848,2FACC X 3IIH6,1739618,2022-05-22,,,NA,NA,NA,NA,NA,NA,103,195,30500,17.16,159.05,11.9,NA,NA,NA,4.598,NA,NA,16,451,27.605,124.5,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583849,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,19,10,1583849,LH195 X PHM49,1739609,2022-05-22,,,NA,NA,NA,NA,NA,NA,98,192,30500,7.08,70.54,5.3,NA,NA,NA,3.519,NA,NA,14,266,18.243,48.5,NA,NA,NA,NA,NA,NA,NA,,3.28,2022-10-16,Check;Tattoo sensor
22-A-1583850,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,51,1,20,10,1583850,PHK76 X W606S,1739639,2022-05-22,,,NA,NA,NA,NA,NA,NA,93,201,25500,14.97,138.75,11.9,NA,NA,NA,4.172,NA,NA,14,410,23.415,96,NA,NA,NA,NA,NA,NA,NA,,1.96,2022-10-16,Check
22-A-1583851,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,21,10,1583851,PHP02 X W606S,1739647,2022-05-22,,,NA,NA,NA,NA,NA,NA,101,202,27500,8.27,82.39,5.3,NA,NA,NA,4.816,NA,NA,15,569,27.903,158.8,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583852,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,22,10,1583852,LH185 X LH145,1716291,2022-05-22,,,NA,NA,NA,NA,NA,NA,88,188,28500,7.18,71.53,5.3,NA,NA,NA,3.925,NA,NA,12.5,352,22.346,78.7,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583853,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,17,11,1583853,B73 X MO17,1739603,2022-05-22,,,NA,NA,NA,NA,NA,NA,124,228,31000,16.2,136.17,20.1,NA,NA,NA,4.745,NA,NA,14.5,634,28.638,181.5,NA,NA,NA,NA,NA,NA,NA,,12.9,2022-10-16,Check;Tattoo sensor
22-A-1583854,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,70,1,18,11,1583854,F42 X OH43,1739668,2022-05-22,,,NA,NA,NA,NA,NA,NA,115,244,35000,14.06,115.08,22.2,NA,NA,NA,4.769,NA,NA,17.5,506,25.231,127.7,NA,NA,NA,NA,NA,NA,NA,,8.57,2022-10-16,Check;Tattoo sensor
22-A-1583855,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,19,11,1583855,PHP02 X PHB47,1739641,2022-05-22,,,NA,NA,NA,NA,NA,NA,87,206,31000,10.09,100.53,5.3,NA,NA,NA,4.474,NA,NA,14.5,434,27.98,121.4,NA,NA,NA,NA,NA,NA,NA,,4.84,2022-10-16,Check;Tattoo sensor
22-A-1583856,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,20,11,1583856,PHP02 X LH145,1739645,2022-05-22,,,NA,NA,NA,NA,NA,NA,103,199,34000,8.3,82.69,5.3,NA,NA,NA,4.207,NA,NA,15.5,513,25.699,131.8,NA,NA,NA,NA,NA,NA,NA,,8.82,2022-10-16,Check
22-A-1583857,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,55,1,21,11,1583857,PHP02 X PHK56,1739649,2022-05-22,,,NA,NA,NA,NA,NA,NA,98,204,27500,11.07,108.31,7,NA,15.811,NA,4.636,2.569,NA,15,515,29.029,149.5,21.767,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583858,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,22,11,1583858,PHP02 X PHJ89,1739642,2022-05-22,,,NA,NA,NA,NA,NA,NA,90,218,30500,10.36,101.58,6.8,NA,14.642,NA,4.263,2.302,NA,14.5,432,24.136,104.3,11.667,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583859,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,17,12,1583859,4N506 X 3IIH6,1739619,2022-05-22,,,NA,NA,NA,NA,NA,NA,109,250,34500,16.4,151.66,12.1,NA,17.49,NA,4.529,2.605,NA,15.5,533,24.919,132.7,20.667,NA,NA,NA,NA,NA,NA,,5.8,2022-10-16,Check;Tattoo sensor
22-A-1583861,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,19,12,1583861,2369 X PHZ51,1739663,2022-05-22,,,NA,NA,NA,NA,NA,NA,126,247,34000,11.29,111.17,6.4,NA,16.493,NA,4.399,2.525,NA,14,482,26.558,128.1,22,NA,NA,NA,NA,NA,NA,,7.35,2022-10-16,Check;Tattoo sensor
22-A-1583862,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,65,1,20,12,1583862,PHK76 X LH198,1739637,2022-05-22,,,NA,NA,NA,NA,NA,NA,104,218,32500,12.55,123.19,6.7,NA,15.328,NA,4.464,2.533,NA,15,478,26.767,128,21.067,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583863,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,53,1,21,12,1583863,LH185 X W606S,1716293,2022-05-22,,,NA,NA,NA,NA,NA,NA,77,207,26500,11.16,104.49,11,NA,NA,NA,4.055,NA,NA,14,495,21.279,105.4,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583864,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,54,1,22,12,1583864,PHP02 X LH198,1739650,2022-05-22,,,NA,NA,NA,NA,NA,NA,113,202,27000,13.61,119.13,16.8,NA,NA,NA,4.547,NA,NA,16,387,26.974,104.3,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583865,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,17,13,1583865,LH195 X LH185,1739607,2022-05-22,,,NA,NA,NA,NA,NA,NA,104,202,33000,17.46,150.62,18,NA,NA,NA,4.625,NA,NA,14,508,29.934,152.2,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583866,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,72,1,18,13,1583866,PHG39 X PHN82,NA,2022-05-22,,,NA,NA,NA,NA,NA,NA,90,219,36000,21.86,188.35,18.1,NA,NA,NA,4.508,NA,NA,16,535,29.097,155.8,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583867,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,59,1,19,13,1583867,PHW52 X PHZ51,1739612,2022-05-22,,,NA,NA,NA,NA,NA,NA,115,236,29500,13.87,126.8,13.1,NA,NA,NA,4.928,NA,NA,15.5,508,32.23,163.8,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583868,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,20,13,1583868,PHP02 X PHG47,1739627,2022-05-22,,,NA,NA,NA,NA,NA,NA,100,196,31500,12.44,120.93,7.6,NA,NA,NA,4.283,NA,NA,16.5,560,24.836,139,NA,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583869,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,48,1,21,13,1583869,PHN46 X PHK56,1716300,2022-05-22,,,NA,NA,NA,NA,NA,NA,85,210,24000,14.52,129.39,15.3,NA,16.309,NA,4.91,2.654,NA,18.5,697,26.922,187.7,25.867,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583870,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,52,1,22,13,1583870,PHN46 X W606S,1739601,2022-05-22,,,NA,NA,NA,NA,NA,NA,107,211,26000,13.5,119.16,16.1,NA,15.466,NA,4.825,2.793,NA,15.5,474,27.665,131.1,20.733,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583871,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,17,14,1583871,PHT69 X 3IIH6,1739628,2022-05-22,,,NA,NA,NA,NA,NA,NA,92,194,34500,14.45,134.69,11.4,NA,17.565,NA,4.251,2.612,NA,14.5,478,24.519,117.2,17.8,NA,NA,NA,NA,NA,NA,,1.45,2022-10-16,Check;Tattoo sensor
22-A-1583872,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,74,1,18,14,1583872,B105 X 3IIH6,1739620,2022-05-22,,,NA,NA,NA,NA,NA,NA,95,196,37000,15.86,140.83,15.6,NA,18.172,NA,4.422,2.605,NA,16.5,521,25.083,130.6,14.267,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Cob broke in pieces during shelling;Check;Tattoo sensor
22-A-1583873,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,70,1,19,14,1583873,N209 X 3IIH6,1739624,2022-05-22,,,NA,NA,NA,NA,NA,NA,113,202,35000,14.03,130.63,11.5,NA,14.762,NA,4.419,2.332,NA,16,420,25.623,107.7,12.7,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor
22-A-1583874,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,57,1,20,14,1583874,PIONEER 1311 AMXT,NA,2022-05-22,,,NA,NA,NA,NA,NA,NA,129,245,28500,13.92,123.31,15.8,NA,15.863,NA,4.842,2.62,NA,16.5,429,31.003,132.9,15.167,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
22-A-1583875,2022,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,21,14,1583875,PHJ40 X LH82,1739610,2022-05-22,,,NA,NA,NA,NA,NA,NA,96,171,35500,10.44,103.9,5.4,NA,15.533,NA,4.376,2.621,NA,17.5,467,23.181,108.3,20.033,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check
