qrCode,location,sublocation,irrigationProvided,N,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,column,range,plot,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,plantH,plantDensity,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,kernelColor,notes,rep
22-A-1594261,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,27,1,56,4,1594261,RS 710,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,29,97,5956,9.43,NA,3.014,2.074,NA,14,86,15.289,13.2,2.074,NA,;;Seed missing on either side of ear at widest point;;;;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594262,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,30,1,57,4,1594262,MO47,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,35,83,6618,11.738,NA,3.443,2.344,NA,13.3,132,20.952,27.7,2.344,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594263,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,30,1,47,5,1594263,78010,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,50,87,6618,11.7,NA,4.064,2.557,NA,15.2,163,29.171,47.5,2.557,NA,;;;;;;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594264,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,36,1,54,3,1594264,LH57,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,35,100,7941,10.346,NA,3.296,1.49,NA,10.7,136,24.28,32.9,1.49,NA,;;;;x - collect data; but analyze team may need to assess photos;;;NA;NA,1
22-A-1594265,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,28,1,51,4,1594265,PHG47,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,33,103,6176,10.755,NA,3.453,2.108,NA,13.7,184,25.011,46,2.108,NA,;;;;;;;;;;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594266,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,33,1,56,3,1594266,778,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,69,131,7279,12.315,NA,4.234,2.317,NA,13.7,245,29.625,72.6,2.317,NA,;;;;;;;;;;;;;NA;NA,1
22-A-1594267,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,25,1,58,4,1594267,WIL500,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,43,83,5515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;x -set asside;NA;NA,1
22-A-1594268,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,28,1,53,5,1594268,L127,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,51,112,6176,14.394,NA,3.954,2.559,NA,13.3,225,27.345,61.6,2.559,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;;NA;NA,1
22-A-1594269,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,24,1,54,5,1594269,NC360,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,65,100,5294,13.737,NA,3.565,2.41,NA,13,128,31.484,40.3,2.41,NA,;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594270,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,20,1,59,3,1594270,W117HT,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,28,77,4412,9.465,NA,3.39,2.231,NA,13,58,25.977,15.1,2.231,NA,;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594271,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,27,1,52,4,1594271,MT42,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,41,102,5956,10.558,NA,3.031,2.232,NA,12,111,22.793,25.3,2.232,NA,;;;;x - collect data; but analyze team may need to assess photos;;;NA;NA,1
22-A-1594272,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,29,1,49,3,1594272,CM37,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,42,128,6397,12.914,NA,3.97,2.494,NA,13,107,30.561,32.7,2.494,NA,;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594273,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,17,1,59,6,1594273,IDS69,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,46,104,3750,13.709,NA,2.901,2.108,NA,13.3,188,11.789,22.1,2.108,NA,;;;;;;;;;;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594274,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,37,1,50,5,1594274,CML220,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,43,99,8162,10.294,NA,3.974,2.668,NA,13.6,81,31.296,25.4,2.668,NA,;;;;;;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594275,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,34,1,58,5,1594275,EP1,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,7500,NA,NA,2.714,NA,NA,12,NA,NA,NA,NA,NA,;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594276,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,26,1,49,5,1594276,I29,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,53,106,5735,9.368,NA,2.752,2.112,NA,15.3,135,7.829,10.6,2.112,NA,;;Cob broke in pieces;Cob broke in pieces;;;Seed missing on either side of ear at widest point;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594277,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,30,1,57,3,1594277,NC302,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,39,82,6618,11.026,NA,3.312,2.167,NA,10.4,72,29.135,21,2.167,NA,;;;;;;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594278,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,26,1,47,3,1594278,NC346,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,65,110,5735,13.785,NA,2.876,2.566,NA,12,48,29.792,14.3,2.566,NA,;;Seed missing on either side of ear at widest point;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594279,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,19,1,58,6,1594279,YU796_NS,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,47,116,4191,10.44,NA,3.968,2.385,NA,11,209,25.44,53.2,2.385,NA,;;;;;;;;;;;;;NA;NA,1
22-A-1594280,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,25,1,48,4,1594280,P39,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,40,84,5515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;NA;NA;NA,1
22-A-1594281,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,24,1,53,4,1594281,IA2132,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,34,99,5294,10.358,NA,3.745,2.383,NA,17,183,19.255,35.3,2.383,NA,;;;;;x - collect data; but analyze team may need to assess photos;;;;NA;NA,1
22-A-1594282,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,25,1,56,5,1594282,F7,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,39,90,5515,11.02,NA,2.725,2.064,NA,11,81,13.443,10.9,2.064,NA,;;;;;x -set asside;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594283,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,31,1,54,4,1594283,H99,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,28,81,6838,12.072,NA,2.993,2.02,NA,10.5,67,18.75,12.5,2.02,NA,;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594284,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,25,1,50,3,1594284,A654,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,20,82,5515,10.313,NA,3.056,2.36,NA,11.3,72,25.793,18.7,2.36,NA,;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594285,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,32,1,52,5,1594285,CI66,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,49,76,7059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;NA;NA,1
22-A-1594286,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,15,1,55,3,1594286,W153R,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,47,97,3309,10.267,NA,3.466,2.145,NA,13,111,23.705,26.2,2.145,NA,;;;;;x - collect data; but analyze team may need to assess photos;;;;NA;NA,1
22-A-1594287,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,29,1,52,3,1594287,779,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,54,122,6397,NA,NA,2.667,NA,NA,10,NA,NA,NA,NA,NA,;;x -set asside;x -set asside;x -set asside;x -set asside;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594288,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,33,1,53,3,1594288,S8324,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,26,87,7279,11.333,NA,3.834,2.211,NA,15,213,27.554,58.6,2.211,NA,;;;;;;;;;;;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594289,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,28,1,57,6,1594289,LH1,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,43,97,6176,14.731,NA,4.08,2.757,NA,16,212,25.849,54.8,2.757,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594290,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,33,1,47,4,1594290,B73,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,62,105,7279,10.815,NA,3.975,2.737,NA,17,83,21.807,18.1,2.737,NA,Check;;;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594291,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,34,1,55,6,1594291,B73,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,66,135,7500,12.405,NA,4.425,2.96,NA,18,247,25.182,62.2,2.96,NA,Check;;;x - collect data; but analyze team may need to assess photos;;NA;NA,1
22-A-1594292,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,29,1,57,5,1594292,B73,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,76,135,6397,12.698,NA,3.978,2.547,NA,16,70,13.857,9.7,2.547,NA,Check;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594293,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,25,1,51,5,1594293,B73,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,73,156,5515,12.062,NA,4.047,2.711,NA,18,121,25.651,31.1,2.711,NA,Check;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594294,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,28,1,59,5,1594294,B73,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,69,132,6176,12.415,NA,3.879,2.72,NA,16.7,162,21.015,34.1,2.72,NA,Check;;;;x -set asside;x -set asside;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594295,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,29,1,57,8,1594295,K55,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,47,104,6397,12.677,NA,4.332,2.807,NA,14.7,256,23.601,60.3,2.807,NA,;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594296,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,30,1,53,9,1594296,VA99,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,65,126,6618,14.617,NA,4.036,2.524,NA,16,304,28.049,85.4,2.524,NA,;;;;;;;;;;;;;NA;NA,1
22-A-1594297,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,31,1,54,10,1594297,AQA3,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,52,120,6838,12.032,NA,4.041,2.568,NA,13.2,215,31.209,67.1,2.568,NA,;;;;;;;;;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594298,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,30,1,54,11,1594298,3IIH6,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,57,136,6618,14.138,NA,3.878,2.402,NA,16.3,327,24.905,81.5,2.402,NA,;;;;;;;;;;;;;NA;NA,1
22-A-1594299,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,30,1,54,6,1594299,PHV63,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,39,114,6618,12.87,NA,3.962,2.562,NA,14.8,303,23.21,70.3,2.562,NA,;;;;;;;;;;;NA;NA,1
22-A-1594300,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,12,1,50,8,1594300,11430,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,40,122,2647,15.414,NA,4.114,2.614,NA,16,275,20.836,57.3,2.614,NA,;;;NA;NA,1
22-A-1594301,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,35,1,59,11,1594301,NC236,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,93,162,7721,16.184,NA,4.312,2.529,NA,13.3,394,26.04,102.7,2.529,NA,;;;;;;;;;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;;NA;NA,1
22-A-1594302,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,32,1,56,10,1594302,A634,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,67,140,7059,12.653,NA,3.835,2.508,NA,14.4,209,28.571,59.6,2.508,NA,;;;;;;;;x - collect data; but analyze team may need to assess photos;;;NA;NA,1
22-A-1594303,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,26,1,50,13,1594303,A635,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,53,98,5735,9.264,NA,3.321,2.02,NA,14,141,21.331,30.1,2.02,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;NA;NA,1
22-A-1594304,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,25,1,56,12,1594304,CM174,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,32,103,5515,11.901,NA,3.739,2.684,NA,14.7,183,19.606,35.8,2.684,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594305,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,32,1,51,13,1594305,H95,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,42,106,7059,12.523,NA,3.786,2.454,NA,15,196,24.082,47.2,2.454,NA,;;;x -set asside;x -set asside;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594306,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,33,1,51,6,1594306,A239,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,70,126,7279,12.955,NA,3.526,2.224,NA,12.7,166,28.697,47.6,2.224,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594307,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,26,1,58,9,1594307,IDS91,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,63,111,5735,12.552,NA,2.628,1.778,NA,12.3,140,10.943,15.3,1.778,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594308,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,17,1,49,7,1594308,CO255,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,50,138,3750,14.552,NA,3.203,2.474,NA,13.3,115,22.391,25.8,2.474,NA,;;;;x -set asside;x -set asside;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594309,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,27,1,52,13,1594309,N6,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,61,125,5956,13.135,NA,4.001,2.491,NA,13.7,188,26.008,49,2.491,NA,;;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594310,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,31,1,52,14,1594310,N28HT,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,67,132,6838,9.624,NA,3.954,2.466,NA,16.3,197,24.791,48.7,2.466,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;;;;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594311,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,21,1,59,13,1594311,PA762,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,46,114,4632,15.211,NA,4.215,2.587,NA,13.7,368,24.976,92,2.587,NA,;;;;;;;;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;;;NA;NA,1
22-A-1594312,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,24,1,58,14,1594312,792,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,64,139,5294,12.109,NA,3.931,2.417,NA,16,238,25.227,60,2.417,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;;;;NA;NA,1
22-A-1594313,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,24,1,58,13,1594313,NC264,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,66,147,5294,11.589,NA,4.034,2.449,NA,12.8,234,25.326,59.2,2.449,NA,;;;;;;;;;;;NA;NA,1
22-A-1594314,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,32,1,53,7,1594314,B64,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,63,115,7059,13.614,NA,3.449,2.274,NA,12.8,115,25.494,29.4,2.274,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594315,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,33,1,56,11,1594315,N192,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,52,111,7279,13.108,NA,3.656,2.57,NA,16,281,19.715,55.4,2.57,NA,;;;;;;;;;;;;;NA;NA,1
22-A-1594316,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,30,1,55,10,1594316,ZS365,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,62,121,6618,9.395,NA,3.957,2.499,NA,15,210,28.974,60.7,2.499,NA,;;;;;NA;NA,1
22-A-1594317,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,31,1,52,7,1594317,ML606,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,56,118,6838,12.666,NA,4.034,2.495,NA,12,328,27.575,90.5,2.495,NA,;;;;;;;;;;;;;NA;NA,1
22-A-1594318,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,25,1,49,6,1594318,CM105,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,57,160,5515,14.245,NA,3.422,2.528,NA,12.8,134,24.384,32.7,2.528,NA,;;;;;;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594319,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,25,1,58,11,1594319,H105W,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,64,130,5515,11.896,NA,3.733,2.43,NA,17,250,18.371,45.9,2.43,NA,;;;;;;;;;NA;NA,1
22-A-1594320,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,12,1,52,8,1594320,MDF-13D,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,53,133,2647,14.551,NA,3.687,2.218,NA,11.3,221,31.855,70.4,2.218,NA,;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;NA;NA,1
