"qrCode","year","location","sublocation","irrigationProvided","plotLength","totalStandCount","pedigreeID","plantingDate","anthesisDate","silkDate","daysToAnthesis","daysToSilk","anthesisSilkingInterval","GDDToAnthesis","GDDToSilk","anthesisSilkingIntervalGDD","plantDensity","earLength","earFillLength","earWidth","shelledCobWidth","kernelsPerRow","kernelRowNumber","kernelsPerEar","hundredKernelMass","kernelMassPerEar","shelledCobMass","kernelColor","harvestDate","notes","locationYear","poundsOfNitrogenPerAcre","genotype","rep","plotLatitude","plotLongitude","plotNumber","row","range","plantSeedCount","population","flagLeafHeight","earHeight","experiment","nitrogenTreatment","block","environment"
"23-A-1730623",2023,"Ames","Ames",0,7.5,NA,1715467,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8705,NA,4.6616,2.527,NA,15.6,431.5,29.0376733971624,121.825,21.05,NA,2023-10-19,"x -set aside;Sweetcorn","2023 Ames",150,"PHH93",1,42.015767,-93.728657,7,27,3,32,32000,"198","87","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730624",2023,"Ames","Ames",0,7.5,NA,1715468,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5408,NA,4.41666666666667,2.5918,NA,19.3333333333333,381.8,19.1403978403495,73.24,14,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"CI64",1,42.015377,-93.728614,121,26,16,34,34000,"180","95","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730625",2023,"Ames","Ames",0,7.5,NA,1715469,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.63775,NA,4.131,2.318,NA,11.2,305.5,29.0511791329051,77.75,16.8,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure ear length","2023 Ames",150,"NC236",1,42.014801,-93.728607,311,25,37,31,31000,"231","125","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730626",2023,"Ames","Ames",0,7.5,NA,1715470,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9396,NA,4.20866666666667,2.64,NA,14.3333333333333,294,28.0750159286501,82.32,17.72,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"A634",1,42.014719,-93.728605,338,25,40,33,33000,"160","70","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730627",2023,"Ames","Ames",0,7.5,NA,1715471,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6752,NA,4.094,2.5382,NA,14,230.2,19.391135585032,44.38,9.64,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"CM174",1,42.014916,-93.728645,282,27,34,33,33000,"129","53","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730628",2023,"Ames","Ames",0,7.5,NA,1715472,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9654,NA,3.958,2.6178,NA,15.6666666666667,217.4,21.0863058528825,44.16,14.26,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"H95",1,42.014884,-93.728534,288,21,34,32,32000,"165","68","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730629",2023,"Ames","Ames",0,7.5,NA,1715473,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2052,NA,4.24816666666667,2.3356,NA,16.6666666666667,479,22.4428769431834,103.8,18.68,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"R168",1,42.014637,-93.728604,366,26,43,32,32000,"194","95","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730630",2023,"Ames","Ames",0,7.5,NA,1715474,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7325,NA,4.689,2.9595,NA,15.6,279.75,24.9989138146494,68.4,23.175,NA,2023-10-19,"x -set aside;Sweetcorn","2023 Ames",150,"K55",1,42.014861,-93.728571,304,23,36,32,32000,"161","49","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730631",2023,"Ames","Ames",0,7.5,NA,1715475,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0442,NA,3.01933333333333,2.1398,NA,12.6666666666667,305.2,12.321781927231,37.44,10.42,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"IDS91",1,42.014719,-93.728605,337,26,40,33,33000,"171","87","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730632",2023,"Ames","Ames",0,7.5,NA,1715476,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.367,NA,4.389,2.4678,NA,16.3333333333333,364,33.1466328814484,120.62,22.08,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"Va99",1,42.014751,-93.728569,340,23,40,32,32000,"194","83","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730633",2023,"Ames","Ames",0,7.5,NA,1715477,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4634,NA,3.8535,2.3046,NA,16,278.6,17.6426736710325,50.5,12.78,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure ear length","2023 Ames",150,"38-11",1,42.015295,-93.728613,150,26,19,32,32000,"206","119","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730634",2023,"Ames","Ames",0,7.5,NA,1715478,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.543,NA,3.886,2.3104,NA,16.5,265.8,14.0955348651637,37.7,9.6,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"CI3A",1,42.014664,-93.728678,352,29,42,32,32000,"183","87","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730635",2023,"Ames","Ames",0,7.5,NA,1715479,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3718,NA,3.70333333333333,1.8736,NA,11,372.8,21.4574864982645,80.04,12,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"CH701-30",1,42.015433,-93.728541,107,22,14,33,33000,"177","81","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730636",2023,"Ames","Ames",0,7.5,NA,1715480,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.179,NA,3.2075,2.11,NA,11,95,25.8947368421053,24.6,21.3,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"CML10",1,42.015272,-93.728576,166,24,21,33,33000,"233","154","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730637",2023,"Ames","Ames",0,7.5,NA,1715481,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7028,NA,4.0725,2.4062,NA,14,295,25.4373285899988,72.46,13.52,NA,2023-10-19,"x-collect;Sweetcorn;Cob broke in pieces during shelling","2023 Ames",150,"CML103",1,42.014636,-93.728678,369,29,43,32,32000,"206","146","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730638",2023,"Ames","Ames",0,7.5,NA,1715482,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1148,NA,4.167,2.5572,NA,16.6666666666667,317.4,21.0479576030823,66.9,16.98,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"CML108",1,42.014642,-93.728641,372,27,44,33,33000,"200","102","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730639",2023,"Ames","Ames",0,7.5,NA,1715483,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-19,"x -set aside;Sweetcorn","2023 Ames",150,"CML321",1,42.015268,-93.728613,158,25,20,33,33000,"214","109","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730640",2023,"Ames","Ames",0,7.5,NA,1715484,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.937,NA,4.03833333333333,2.4758,NA,16.3333333333333,168.2,20.3559583331641,34.18,16.5,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"CML322",1,42.015685,-93.728655,30,27,6,31,31000,"180","117","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730641",2023,"Ames","Ames",0,7.5,NA,1715485,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-19,"x -set aside;Sweetcorn","2023 Ames",150,"CML331",1,42.015327,-93.72865,152,28,19,34,34000,"242","132","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730642",2023,"Ames","Ames",0,7.5,NA,1715486,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-19,"x -set aside;Sweetcorn","2023 Ames",150,"D940Y",1,42.014697,-93.728642,353,28,42,32,32000,"209","92","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730643",2023,"Ames","Ames",0,7.5,NA,1715487,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.248,NA,3.93625,1.974,NA,11.5,279,27.8124275715014,73.8333333333333,15.1,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure ear length","2023 Ames",150,"E2558W",1,42.015437,-93.728578,111,23,15,33,33000,"205","92","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730644",2023,"Ames","Ames",0,7.5,NA,1715488,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3252,NA,3.727,2.0668,NA,13.6666666666667,169,26.1898798798799,44.6,17.22,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure ear length","2023 Ames",150,"F2834T",1,42.015296,-93.728539,146,22,19,32,32000,"211","143","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730645",2023,"Ames","Ames",0,7.5,NA,1715489,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4326,NA,4.25416666666667,2.7806,NA,14.3333333333333,244.4,27.9836114240974,68.32,17.94,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"K64",1,42.015383,-93.728651,133,27,17,32,32000,"203","102","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730646",2023,"Ames","Ames",0,7.5,NA,1715490,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-19,"x -set aside;Sweetcorn","2023 Ames",150,"Ki11",1,42.015547,-93.728653,80,28,11,33,33000,"165","105","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730647",2023,"Ames","Ames",0,7.5,NA,1715491,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1666,NA,4.427,2.5876,NA,15.3333333333333,300.2,28.4386411683952,81.94,20.92,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure ear length;Cob broke in pieces during shelling","2023 Ames",150,"N6",1,42.014747,-93.728605,329,25,39,33,33000,"177","93","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730648",2023,"Ames","Ames",0,7.5,NA,1715492,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9474,NA,4.364,2.658,NA,17.8333333333333,467,23.5883556276434,109.34,21.12,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"N28Ht",1,42.014774,-93.728606,320,25,38,32,32000,"187","89","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730649",2023,"Ames","Ames",0,7.5,NA,1715493,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5092,NA,3.58833333333333,2.294,NA,11.6666666666667,131.2,28.2826286154576,35.36,8.46,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"NC296",1,42.014944,-93.728645,277,27,33,35,35000,"186","103","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730650",2023,"Ames","Ames",0,7.5,NA,1715494,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9876,NA,4.2075,2.2694,NA,13,361.6,22.6566302791482,82.94,10.46,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"NC320",1,42.01461,-93.72853,378,21,44,36,36000,"201","107","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730651",2023,"Ames","Ames",0,7.5,NA,1715495,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4138,NA,4.13666666666667,2.3874,NA,13.6666666666667,359.4,23.1012133990877,82.94,15.28,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"NC340",1,42.014883,-93.728608,283,26,34,32,32000,"160","86","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730652",2023,"Ames","Ames",0,7.5,NA,1715496,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.753,NA,3.84883333333333,2.4718,NA,14.6666666666667,283.4,21.9815303020418,61.88,15.68,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"NC342",1,42.015602,-93.728581,58,24,9,32,32000,"204","95","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730653",2023,"Ames","Ames",0,7.5,NA,1715497,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.09875,NA,4.46475,2.59875,NA,15.6,389.666666666667,27.8036860663346,111.3,24.025,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"Oh43E",1,42.015569,-93.728617,59,25,9,31,31000,"210","75","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730654",2023,"Ames","Ames",0,7.5,NA,1715498,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8828,NA,4.20416666666667,2.246,NA,12.6666666666667,261.4,23.3005993887149,56.76,11.22,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"Pa875",1,42.015488,-93.728542,89,22,12,33,33000,"179","101","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730655",2023,"Ames","Ames",0,7.5,NA,1715499,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1626,NA,3.464,2.211,NA,13.3333333333333,107,30.816013427347,32.24,14.68,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"T234",1,42.01557,-93.728543,55,21,9,33,33000,"215","96","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730656",2023,"Ames","Ames",0,7.5,NA,1715500,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2074,NA,4.268,2.6968,NA,16.3333333333333,250,23.4750770363807,58.98,17.26,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"CI.7",1,42.015327,-93.72865,151,27,19,32,32000,"250","141","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730657",2023,"Ames","Ames",0,7.5,NA,1715601,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5106,NA,4.68283333333333,2.862,NA,16.3333333333333,381.4,21.9178012264926,84.12,17.18,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"W64A",1,42.015652,-93.728618,32,25,6,33,33000,"155","71","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730658",2023,"Ames","Ames",0,7.5,NA,1715602,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0588,NA,4.262,2.436,NA,17,266.6,29.5654038121155,78.54,13.34,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"792",1,42.014802,-93.728533,307,21,37,33,33000,"166","50","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730659",2023,"Ames","Ames",0,7.5,NA,1715603,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3676,NA,4.04483333333333,2.3372,NA,13,338.8,23.5302885873102,77.02,19.58,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"SC357",1,42.014637,-93.728604,365,25,43,33,33000,"213","105","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730660",2023,"Ames","Ames",0,7.5,NA,1715604,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1165,NA,3.9675,2.03425,NA,14,183.4,27.183970635251,49.82,15.45,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure ear length","2023 Ames",150,"B10",1,42.015547,-93.728653,79,27,11,31,31000,"189","104","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730661",2023,"Ames","Ames",0,7.5,NA,1715605,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.315,NA,4.62,2.5004,NA,15,353.8,27.0219185526736,98.5,18.1,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"R109B",1,42.01524,-93.728612,167,25,21,32,32000,"201","84","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730662",2023,"Ames","Ames",0,7.5,NA,1715606,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-19,"x -set aside;Sweetcorn","2023 Ames",150,"Tzi10",1,42.01541,-93.728652,120,27,16,31,31000,"154","98","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730663",2023,"Ames","Ames",0,7.5,NA,1715607,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2902,NA,4.17583333333333,2.425,NA,14.3333333333333,288.8,24.4885135466315,70.64,18.84,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"FBLA",1,42.015487,-93.728616,85,26,12,32,32000,"195","69","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730664",2023,"Ames","Ames",0,7.5,NA,1715608,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2322,NA,4.32566666666667,2.2872,NA,14.3333333333333,390.4,28.8492696223667,111.92,22.18,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"LH208",1,42.014692,-93.728605,348,26,41,32,32000,"203","98","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730665",2023,"Ames","Ames",0,7.5,NA,1715609,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0835,NA,4.172,2.38,NA,14,347,25.4088746406127,88.55,18.3,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"29MIBZ2",1,42.015108,-93.728574,219,23,27,32,32000,"155","70","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730666",2023,"Ames","Ames",0,7.5,NA,1715610,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.26275,NA,4.18925,2.708,NA,14,309,28.3812768422327,87.5,31.15,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"B64",1,42.014719,-93.728679,334,29,40,32,32000,"185","103","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730667",2023,"Ames","Ames",0,7.5,NA,1715611,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.714,NA,3.81816666666667,2.31,NA,14.6666666666667,321.4,20.3895670610336,67.52,25.675,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"B46",1,42.015515,-93.728542,74,22,11,33,33000,"187","54","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730668",2023,"Ames","Ames",0,7.5,NA,1715612,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5606,NA,4.53683333333333,2.6534,NA,15,318.2,27.5709345400536,88.1,19.84,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"B57",1,42.015053,-93.728573,237,23,29,31,31000,"144","65","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730669",2023,"Ames","Ames",0,7.5,NA,1715613,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1588,NA,4.71,2.4928,NA,15,401.2,33.1334747840991,132.16,23.42,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"T8",1,42.014582,-93.728603,383,25,45,32,32000,"215","108","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730670",2023,"Ames","Ames",0,7.5,NA,1715614,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.787,NA,4.27666666666667,2.3322,NA,16.3333333333333,335,21.9095603113288,73.2,9.68,NA,2023-10-19,"Sweetcorn;Severe bend in ear. String used to measure ear length","2023 Ames",150,"CS405",1,42.015602,-93.728581,57,23,9,32,32000,"175","74","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730671",2023,"Ames","Ames",0,7.5,NA,1715615,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9622,NA,3.97733333333333,2.2232,NA,13.6666666666667,273,22.1326440675575,60.1,9.92,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"OQ403",1,42.015492,-93.728653,97,27,13,32,32000,"153","55","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730672",2023,"Ames","Ames",0,7.5,NA,1715616,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7565,NA,4.78866666666667,2.73725,NA,15.3333333333333,435.5,30.9774688441177,133.475,23.9,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"MQ305",1,42.015651,-93.728692,28,29,6,32,32000,"214","93","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730673",2023,"Ames","Ames",0,7.5,NA,1715617,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.473,NA,4.556,2.5394,NA,13.3333333333333,322.6,35.4411925758916,114.24,20.06,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"B97",1,42.015652,-93.728544,35,22,6,32,32000,"195","74","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730674",2023,"Ames","Ames",0,7.5,NA,1715618,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.876,NA,3.73783333333333,2.1994,NA,15.3333333333333,378,16.0865674788059,60.08,9.5,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure ear length","2023 Ames",150,"AQA3",1,42.014911,-93.728608,276,26,33,34,34000,"135","41","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730675",2023,"Ames","Ames",0,7.5,NA,1715619,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.504,NA,4.40216666666667,2.5848,NA,15.3333333333333,322.8,27.337883274491,88.56,16.44,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"ZS365",1,42.014998,-93.728572,256,24,31,35,35000,"154","57","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730676",2023,"Ames","Ames",0,7.5,NA,1715620,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.307,NA,3.829,2.713,NA,20,324,9.84567901234568,31.9,17.3,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"Mo45",1,42.014582,-93.728603,384,26,45,32,32000,"210","131","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730677",2023,"Ames","Ames",0,7.5,NA,1715621,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7814,NA,4.2505,2.4656,NA,12.6666666666667,330.4,26.2436295271981,85.86,17.82,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"ML606",1,42.015026,-93.728647,245,28,30,33,33000,"156","46","LC2320","Medium",3,"2023 Ames Medium"
